ID,Date,Time,League,Matchup_US_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result
27,2016-12-31,16:00:00,premier-league,Southampton FC vs West Bromwich Albion FC,Southampton FC,West Bromwich Albion FC,1.75,3.54,5.41,Southampton,Southampton,0.479,N,Upcoming
28,2016-12-31,16:00:00,premier-league,Burnley FC vs Sunderland,Burnley FC,Sunderland,2.39,3.23,3.24,Burnley,Burnley,0.54,N,Upcoming
29,2016-12-31,16:00:00,premier-league,Swansea City vs Bournemouth AFC,Swansea City,Bournemouth AFC,2.84,3.4,2.56,Bournemouth,Bournemouth,0.4,N,Upcoming
30,2016-12-31,16:00:00,premier-league,Chelsea vs Stoke City FC,Chelsea,Stoke City FC,1.27,5.91,12.28,Chelsea,Chelsea,0.668,N,Upcoming
31,2016-12-31,16:00:00,premier-league,Leicester City vs West Ham United,Leicester City,West Ham United,2.07,3.53,3.67,Leicester City,Leicester City,0.418,N,Upcoming
32,2016-12-31,16:00:00,premier-league,Manchester United FC vs Middlesbrough FC,Manchester United FC,Middlesbrough FC,1.25,5.81,14.85,Manchester Utd,Manchester Utd,0.614,N,Upcoming
33,2016-12-31,18:30:00,premier-league,Liverpool vs Manchester City,Liverpool,Manchester City,2.36,3.49,3.05,Liverpool,Liverpool,0.495,N,Upcoming
34,2017-01-01,14:30:00,premier-league,Watford FC vs Tottenham Hotspur,Watford FC,Tottenham Hotspur,5.46,3.84,1.67,Tottenham,Tottenham,0.492,N,Upcoming
35,2017-01-01,17:00:00,premier-league,Arsenal vs Crystal Palace FC,Arsenal,Crystal Palace FC,1.33,5.51,9.53,Arsenal,Arsenal,0.662,N,Upcoming
36,2017-01-02,13:30:00,premier-league,Middlesbrough FC vs Leicester City,Middlesbrough FC,Leicester City,2.73,3.08,2.83,Middlesbrough,Middlesbrough,0.488,N,Upcoming
37,2017-01-02,16:00:00,premier-league,Manchester City vs Burnley FC,Manchester City,Burnley FC,1.16,8.1,18.2,Manchester City,Manchester City,0.647,N,Upcoming
38,2017-01-02,16:00:00,premier-league,Sunderland vs Liverpool,Sunderland,Liverpool,8.36,5.04,1.38,Liverpool,Liverpool,0.623,N,Upcoming
39,2017-01-02,16:00:00,premier-league,West Bromwich Albion FC vs Hull City AFC,West Bromwich Albion FC,Hull City AFC,1.76,3.57,5.11,West Bromwich,West Bromwich,0.598,N,Upcoming
40,2017-01-02,16:00:00,premier-league,Everton vs Southampton FC,Everton,Southampton FC,2.28,3.28,3.33,Everton,Everton,0.485,N,Upcoming
41,2017-01-02,18:15:00,premier-league,West Ham United vs Manchester United FC,West Ham United,Manchester United FC,5.41,3.92,1.66,Manchester Utd,Manchester Utd,0.427,N,Upcoming
42,2017-01-03,20:45:00,premier-league,Bournemouth AFC vs Arsenal,Bournemouth AFC,Arsenal,4.43,3.77,1.81,Arsenal,Arsenal,0.504,N,Upcoming
43,2017-01-03,21:00:00,premier-league,Stoke City FC vs Watford FC,Stoke City FC,Watford FC,1.93,3.49,4.18,Stoke City,Stoke City,0.462,N,Upcoming
44,2017-01-03,21:00:00,premier-league,Crystal Palace FC vs Swansea City,Crystal Palace FC,Swansea City,1.81,3.62,4.62,Crystal Palace,Crystal Palace,0.528,N,Upcoming
45,2017-01-04,21:00:00,premier-league,Tottenham Hotspur vs Chelsea,Tottenham Hotspur,Chelsea,2.88,3.31,2.53,Chelsea,Chelsea,0.406,N,Upcoming
46,2017-01-14,13:30:00,premier-league,Tottenham Hotspur vs West Bromwich Albion FC,Tottenham Hotspur,West Bromwich Albion FC,1.4,5.0,8.22,Tottenham,Tottenham,0.603,N,Upcoming
47,2017-01-14,16:00:00,premier-league,Swansea City vs Arsenal,Swansea City,Arsenal,8.12,4.82,1.43,Arsenal,Arsenal,0.608,N,Upcoming
48,2017-01-14,16:00:00,premier-league,Sunderland vs Stoke City FC,Sunderland,Stoke City FC,2.86,3.33,2.56,Stoke City,Stoke City,0.398,N,Upcoming
49,2017-01-14,16:00:00,premier-league,West Ham United vs Crystal Palace FC,West Ham United,Crystal Palace FC,2.23,3.39,3.37,West Ham Utd,West Ham Utd,0.522,N,Upcoming
50,2017-01-14,16:00:00,premier-league,Hull City AFC vs Bournemouth AFC,Hull City AFC,Bournemouth AFC,3.02,3.43,2.39,Bournemouth,Bournemouth,0.42,N,Upcoming
51,2017-01-14,16:00:00,premier-league,Burnley FC vs Southampton FC,Burnley FC,Southampton FC,3.75,3.47,2.1,Southampton,Burnley,0.398,Y,Upcoming
52,2017-01-14,16:00:00,premier-league,Watford FC vs Middlesbrough FC,Watford FC,Middlesbrough FC,2.31,3.32,3.27,Watford,Watford,0.499,N,Upcoming
53,2017-01-14,18:30:00,premier-league,Leicester City vs Chelsea,Leicester City,Chelsea,5.53,4.09,1.65,Chelsea,Chelsea,0.65,N,Upcoming
54,2017-01-15,14:30:00,premier-league,Everton vs Manchester City,Everton,Manchester City,4.17,3.68,1.89,Manchester City,Manchester City,0.455,N,Upcoming
55,2017-01-15,17:00:00,premier-league,Manchester United FC vs Liverpool,Manchester United FC,Liverpool,2.18,3.41,3.48,Manchester Utd,Manchester Utd,0.376,N,Upcoming
