ID,Date,Time,League,Matchup_US_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result
80,2017-01-07,18:00:00,serie-a,Empoli vs Palermo,Empoli,Palermo,2.01,3.29,4.01,Empoli,Empoli,0.538,N,Upcoming
81,2017-01-07,20:45:00,serie-a,Napoli vs Sampdoria,Napoli,Sampdoria,1.27,5.92,10.7,Napoli,Napoli,0.608,N,Upcoming
82,2017-01-08,12:30:00,serie-a,Udinese Calcio vs Internazionale Milano,Udinese Calcio,Internazionale Milano,3.87,3.49,1.98,Inter Milan,Udinese,0.408,Y,Upcoming
83,2017-01-08,15:00:00,serie-a,SS Lazio vs Crotone,SS Lazio,Crotone,1.25,6.01,12.16,Lazio Roma,Lazio Roma,0.68,N,Upcoming
84,2017-01-08,15:00:00,serie-a,Chievo Verona vs Atalanta Bergamo,Chievo Verona,Atalanta Bergamo,2.63,3.09,2.87,Chievo,Chievo,0.387,N,Upcoming
85,2017-01-08,15:00:00,serie-a,Pescara vs AC Fiorentina,Pescara,AC Fiorentina,4.21,3.65,1.85,Fiorentina,Fiorentina,0.542,N,Upcoming
86,2017-01-08,15:00:00,serie-a,Sassuolo vs Torino FC,Sassuolo,Torino FC,2.71,3.33,2.62,Torino,Torino,0.43,N,Upcoming
87,2017-01-08,15:00:00,serie-a,Genoa vs AS Roma,Genoa,AS Roma,4.13,3.65,1.88,AS Roma,AS Roma,0.481,N,Upcoming
88,2017-01-08,18:00:00,serie-a,AC Milan vs Cagliari,AC Milan,Cagliari,1.39,4.8,7.97,AC Milan,AC Milan,0.613,N,Upcoming
89,2017-01-08,20:45:00,serie-a,Juventus FC vs Bologna F.C.,Juventus FC,Bologna F.C.,1.18,7.09,15.9,Juventus,Juventus,0.645,N,Upcoming
90,2017-01-14,18:00:00,serie-a,Crotone vs Bologna F.C.,Crotone,Bologna F.C.,2.96,3.11,2.53,Bologna,Bologna,0.44,N,Upcoming
91,2017-01-14,20:45:00,serie-a,Internazionale Milano vs Chievo Verona,Internazionale Milano,Chievo Verona,1.48,4.18,7.04,Inter Milan,Inter Milan,0.523,N,Upcoming
92,2017-01-15,12:30:00,serie-a,Cagliari vs Genoa,Cagliari,Genoa,2.61,3.3,2.73,Cagliari,Cagliari,0.44,N,Upcoming
93,2017-01-15,15:00:00,serie-a,Sampdoria vs Empoli,Sampdoria,Empoli,1.84,3.46,4.51,Sampdoria,Sampdoria,0.545,N,Upcoming
94,2017-01-15,15:00:00,serie-a,SS Lazio vs Atalanta Bergamo,SS Lazio,Atalanta Bergamo,1.83,3.6,4.32,Lazio Roma,Lazio Roma,0.506,N,Upcoming
95,2017-01-15,15:00:00,serie-a,Sassuolo vs Palermo,Sassuolo,Palermo,1.65,3.81,5.36,Sassuolo,Sassuolo,0.538,N,Upcoming
96,2017-01-15,15:00:00,serie-a,Napoli vs Pescara,Napoli,Pescara,1.15,7.93,16.49,Napoli,Napoli,0.68,N,Upcoming
97,2017-01-15,15:00:00,serie-a,Udinese Calcio vs AS Roma,Udinese Calcio,AS Roma,4.47,3.62,1.81,AS Roma,AS Roma,0.449,N,Upcoming
98,2017-01-15,20:45:00,serie-a,AC Fiorentina vs Juventus FC,AC Fiorentina,Juventus FC,4.56,3.52,1.82,Juventus,Juventus,0.491,N,Upcoming
99,2017-01-16,20:45:00,serie-a,Torino FC vs AC Milan,Torino FC,AC Milan,2.44,3.28,2.92,Torino,Torino,0.386,N,Upcoming
