ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
0,ligue-1,2016-08-12,19:30,Monaco vs Guingamp,Monaco,Guingamp,1.69,3.68,5.48,Monaco,Monaco,0.598,N,2,2,Draw,3.68
1,premier-league,2016-08-13,15:00,Everton vs Tottenham,Everton,Tottenham,3.55,3.39,2.18,Tottenham,Tottenham,0.428,N,1,1,Draw,3.39
2,premier-league,2016-08-13,15:00,Burnley vs Swansea City,Burnley,Swansea City,2.77,3.14,2.82,Burnley,Burnley,0.562,N,0,1,Swansea City,2.82
3,premier-league,2016-08-13,15:00,Crystal Palace vs West Bromwich,Crystal Palace,West Bromwich,2.17,3.16,3.9,Crystal Palace,Crystal Palace,0.373,N,0,1,West Bromwich,3.9
4,premier-league,2016-08-13,15:00,Southampton vs Watford,Southampton,Watford,1.79,3.71,4.87,Southampton,Southampton,0.504,N,1,1,Draw,3.71
5,premier-league,2016-08-13,15:00,Middlesbrough vs Stoke City,Middlesbrough,Stoke City,2.23,3.24,3.61,Middlesbrough,Middlesbrough,0.438,N,1,1,Draw,3.24
6,ligue-1,2016-08-13,16:00,Bordeaux vs Saint-Etienne,Bordeaux,Saint-Etienne,2.35,3.03,3.42,Bordeaux,Bordeaux,0.447,N,3,2,Bordeaux,2.35
7,premier-league,2016-08-13,17:30,Manchester City vs Sunderland,Manchester City,Sunderland,1.24,6.44,13.98,Manchester City,Manchester City,0.681,N,2,1,Manchester City,1.24
8,ligue-1,2016-08-13,19:00,Caen vs Lorient,Caen,Lorient,2.3,3.2,3.33,Caen,Caen,0.527,N,3,2,Caen,2.3
9,ligue-1,2016-08-13,19:00,Montpellier vs Angers,Montpellier,Angers,1.88,3.21,4.91,Montpellier,Montpellier,0.513,N,1,0,Montpellier,1.88
10,ligue-1,2016-08-13,19:00,Metz vs Lille,Metz,Lille,3.68,3.08,2.22,Lille,Metz,0.475,Y,3,2,Metz,3.68
