ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
1,premier-league,2016-08-13,15:00,Everton vs Tottenham,Everton,Tottenham,3.55,3.39,2.18,Tottenham,Tottenham,0.428,N,1,1,Draw,3.39
2,premier-league,2016-08-13,15:00,Burnley vs Swansea City,Burnley,Swansea City,2.77,3.14,2.82,Burnley,Burnley,0.562,N,0,1,Swansea City,2.82
3,premier-league,2016-08-13,15:00,Crystal Palace vs West Bromwich,Crystal Palace,West Bromwich,2.17,3.16,3.9,Crystal Palace,Crystal Palace,0.373,N,0,1,West Bromwich,3.9
4,premier-league,2016-08-13,15:00,Southampton vs Watford,Southampton,Watford,1.79,3.71,4.87,Southampton,Southampton,0.504,N,1,1,Draw,3.71
5,premier-league,2016-08-13,15:00,Middlesbrough vs Stoke City,Middlesbrough,Stoke City,2.23,3.24,3.61,Middlesbrough,Middlesbrough,0.438,N,1,1,Draw,3.24
7,premier-league,2016-08-13,17:30,Manchester City vs Sunderland,Manchester City,Sunderland,1.24,6.44,13.98,Manchester City,Manchester City,0.681,N,2,1,Manchester City,1.24
12,premier-league,2016-08-14,13:30,Bournemouth vs Manchester Utd,Bournemouth,Manchester Utd,5.29,3.62,1.76,Manchester Utd,Manchester Utd,0.455,N,1,3,Manchester Utd,1.76
14,premier-league,2016-08-14,16:00,Arsenal vs Liverpool,Arsenal,Liverpool,2.73,3.37,2.7,Liverpool,Arsenal,0.424,Y,3,4,Liverpool,2.7
17,premier-league,2016-08-15,20:00,Chelsea vs West Ham Utd,Chelsea,West Ham Utd,1.51,4.33,6.98,Chelsea,Chelsea,0.677,N,2,1,Chelsea,1.51
19,premier-league,2016-08-19,20:00,Manchester Utd vs Southampton,Manchester Utd,Southampton,1.53,4.17,7.19,Manchester Utd,Manchester Utd,0.567,N,2,0,Manchester Utd,1.53
21,premier-league,2016-08-20,12:30,Stoke City vs Manchester City,Stoke City,Manchester City,6.28,4.22,1.57,Manchester City,Manchester City,0.514,N,1,4,Manchester City,1.57
22,premier-league,2016-08-20,15:00,Swansea City vs Hull City,Swansea City,Hull City,1.84,3.48,4.91,Swansea City,Swansea City,0.462,N,0,2,Hull City,4.91
23,premier-league,2016-08-20,15:00,Watford vs Chelsea,Watford,Chelsea,5.9,3.84,1.66,Chelsea,Chelsea,0.607,N,1,2,Chelsea,1.66
24,premier-league,2016-08-20,15:00,Tottenham vs Crystal Palace,Tottenham,Crystal Palace,1.45,4.57,7.86,Tottenham,Tottenham,0.658,N,1,0,Tottenham,1.45
25,premier-league,2016-08-20,15:00,West Bromwich vs Everton,West Bromwich,Everton,3.01,3.14,2.59,Everton,West Bromwich,0.435,Y,1,2,Everton,2.59
26,premier-league,2016-08-20,15:00,Burnley vs Liverpool,Burnley,Liverpool,6.96,4.33,1.52,Liverpool,Liverpool,0.562,N,2,0,Burnley,6.96
29,premier-league,2016-08-20,17:30,Leicester City vs Arsenal,Leicester City,Arsenal,2.77,3.5,2.59,Arsenal,Arsenal,0.553,N,0,0,Draw,3.5
38,premier-league,2016-08-21,13:30,Sunderland vs Middlesbrough,Sunderland,Middlesbrough,2.73,3.06,2.94,Sunderland,Sunderland,0.393,N,1,2,Middlesbrough,2.94
40,premier-league,2016-08-21,16:00,West Ham Utd vs Bournemouth,West Ham Utd,Bournemouth,2.42,3.27,3.17,West Ham Utd,West Ham Utd,0.475,N,1,0,West Ham Utd,2.42
58,premier-league,2016-08-27,12:30,Tottenham vs Liverpool,Tottenham,Liverpool,2.58,3.37,2.87,Tottenham,Tottenham,0.418,N,1,1,Draw,3.37
63,premier-league,2016-08-27,15:00,Southampton vs Sunderland,Southampton,Sunderland,1.47,4.56,7.43,Southampton,Southampton,0.593,N,1,1,Draw,4.56
64,premier-league,2016-08-27,15:00,Crystal Palace vs Bournemouth,Crystal Palace,Bournemouth,2.25,3.26,3.54,Crystal Palace,Crystal Palace,0.413,N,1,1,Draw,3.26
65,premier-league,2016-08-27,15:00,Watford vs Arsenal,Watford,Arsenal,5.8,4.01,1.64,Arsenal,Arsenal,0.494,N,1,3,Arsenal,1.64
66,premier-league,2016-08-27,15:00,Everton vs Stoke City,Everton,Stoke City,1.67,4.03,5.36,Everton,Everton,0.526,N,1,0,Everton,1.67
67,premier-league,2016-08-27,15:00,Leicester City vs Swansea City,Leicester City,Swansea City,1.68,3.94,5.45,Leicester City,Leicester City,0.541,N,2,1,Leicester City,1.68
68,premier-league,2016-08-27,15:00,Chelsea vs Burnley,Chelsea,Burnley,1.24,6.25,14.65,Chelsea,Chelsea,0.669,N,3,0,Chelsea,1.24
74,premier-league,2016-08-27,17:30,Hull City vs Manchester Utd,Hull City,Manchester Utd,8.54,4.47,1.44,Manchester Utd,Manchester Utd,0.589,N,0,1,Manchester Utd,1.44
83,premier-league,2016-08-28,13:30,West Bromwich vs Middlesbrough,West Bromwich,Middlesbrough,2.61,3.06,3.08,West Bromwich,West Bromwich,0.523,N,0,0,Draw,3.06
86,premier-league,2016-08-28,16:00,Manchester City vs West Ham Utd,Manchester City,West Ham Utd,1.26,6.38,11.84,Manchester City,Manchester City,0.647,N,3,1,Manchester City,1.26
105,premier-league,2016-09-10,12:30,Manchester Utd vs Manchester City,Manchester Utd,Manchester City,2.4,3.09,3.39,Manchester Utd,Manchester Utd,0.403,N,1,2,Manchester City,3.39
112,premier-league,2016-09-10,15:00,Stoke City vs Tottenham,Stoke City,Tottenham,4.18,3.61,1.93,Tottenham,Tottenham,0.489,N,0,4,Tottenham,1.93
113,premier-league,2016-09-10,15:00,Arsenal vs Southampton,Arsenal,Southampton,1.62,4.0,6.02,Arsenal,Arsenal,0.602,N,2,1,Arsenal,1.62
114,premier-league,2016-09-10,15:00,Burnley vs Hull City,Burnley,Hull City,2.56,3.1,3.11,Burnley,Burnley,0.555,N,1,1,Draw,3.1
115,premier-league,2016-09-10,15:00,Bournemouth vs West Bromwich,Bournemouth,West Bromwich,2.11,3.18,4.06,Bournemouth,Bournemouth,0.426,N,1,0,Bournemouth,2.11
116,premier-league,2016-09-10,15:00,Middlesbrough vs Crystal Palace,Middlesbrough,Crystal Palace,2.4,3.15,3.32,Middlesbrough,Middlesbrough,0.502,N,1,2,Crystal Palace,3.32
122,premier-league,2016-09-10,17:30,Liverpool vs Leicester City,Liverpool,Leicester City,1.68,4.02,5.35,Liverpool,Liverpool,0.681,N,4,1,Liverpool,1.68
139,premier-league,2016-09-11,16:00,Swansea City vs Chelsea,Swansea City,Chelsea,6.29,4.17,1.58,Chelsea,Chelsea,0.689,N,2,2,Draw,4.17
144,premier-league,2016-09-12,20:00,Sunderland vs Everton,Sunderland,Everton,3.66,3.4,2.14,Everton,Everton,0.462,N,0,3,Everton,2.14
149,premier-league,2016-09-16,20:00,Chelsea vs Liverpool,Chelsea,Liverpool,2.18,3.5,3.43,Chelsea,Chelsea,0.51,N,1,2,Liverpool,3.43
156,premier-league,2016-09-17,15:00,Manchester City vs Bournemouth,Manchester City,Bournemouth,1.25,6.61,12.41,Manchester City,Manchester City,0.646,N,4,0,Manchester City,1.25
157,premier-league,2016-09-17,15:00,West Bromwich vs West Ham Utd,West Bromwich,West Ham Utd,2.82,3.21,2.71,West Ham Utd,West Bromwich,0.499,Y,4,2,West Bromwich,2.82
158,premier-league,2016-09-17,15:00,Leicester City vs Burnley,Leicester City,Burnley,1.48,4.46,7.59,Leicester City,Leicester City,0.443,N,3,0,Leicester City,1.48
159,premier-league,2016-09-17,15:00,Hull City vs Arsenal,Hull City,Arsenal,5.91,4.07,1.62,Arsenal,Arsenal,0.626,N,1,4,Arsenal,1.62
165,premier-league,2016-09-17,17:30,Everton vs Middlesbrough,Everton,Middlesbrough,1.63,3.87,6.09,Everton,Everton,0.548,N,3,1,Everton,1.63
175,premier-league,2016-09-18,12:00,Watford vs Manchester Utd,Watford,Manchester Utd,6.41,4.2,1.56,Manchester Utd,Manchester Utd,0.444,N,3,1,Watford,6.41
181,premier-league,2016-09-18,14:15,Crystal Palace vs Stoke City,Crystal Palace,Stoke City,2.09,3.39,3.82,Crystal Palace,Crystal Palace,0.402,N,4,1,Crystal Palace,2.09
182,premier-league,2016-09-18,14:15,Southampton vs Swansea City,Southampton,Swansea City,1.67,3.89,5.65,Southampton,Southampton,0.613,N,1,0,Southampton,1.67
186,premier-league,2016-09-18,16:30,Tottenham vs Sunderland,Tottenham,Sunderland,1.33,5.51,10.16,Tottenham,Tottenham,0.674,N,1,0,Tottenham,1.33
235,premier-league,2016-09-24,12:30,Manchester Utd vs Leicester City,Manchester Utd,Leicester City,1.69,3.91,5.44,Manchester Utd,Manchester Utd,0.629,N,4,1,Manchester Utd,1.69
