ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
20,laliga,2016-08-19,21:00,Deportivo vs Eibar,Deportivo,Eibar,2.0,3.32,4.19,Deportivo,Eibar,0.393,Y,2,1,Deportivo,2.0
28,laliga,2016-08-20,17:15,FC Barcelona vs Real Betis,FC Barcelona,Real Betis,1.1,11.6,28.09,FC Barcelona,FC Barcelona,0.635,N,6,2,FC Barcelona,1.1
35,laliga,2016-08-20,19:15,Granada vs Villarreal,Granada,Villarreal,2.64,3.15,2.92,Granada,Villarreal,0.566,Y,1,1,Draw,3.15
37,laliga,2016-08-20,21:15,FC Sevilla vs Espanyol,FC Sevilla,Espanyol,1.71,3.88,5.12,FC Sevilla,FC Sevilla,0.564,N,6,4,FC Sevilla,1.71
43,laliga,2016-08-21,17:15,Sporting Gijon vs Athletic Bilbao,Sporting Gijon,Athletic Bilbao,4.46,3.5,1.89,Athletic Bilbao,Athletic Bilbao,0.483,N,2,1,Sporting Gijon,4.46
44,laliga,2016-08-21,19:15,Real Sociedad vs Real Madrid,Real Sociedad,Real Madrid,5.15,3.94,1.7,Real Madrid,Real Madrid,0.427,N,0,3,Real Madrid,1.7
53,laliga,2016-08-21,21:15,Atletico Madrid vs Alaves,Atletico Madrid,Alaves,1.24,5.88,17.52,Atletico Madrid,Atletico Madrid,0.558,N,1,1,Draw,5.88
54,laliga,2016-08-22,19:00,Celta Vigo vs Leganes,Celta Vigo,Leganes,1.64,3.83,5.99,Celta Vigo,Celta Vigo,0.533,N,0,1,Leganes,5.99
55,laliga,2016-08-26,19:45,Real Betis vs Deportivo,Real Betis,Deportivo,2.21,3.27,3.53,Real Betis,Real Betis,0.485,N,0,0,Draw,3.27
57,laliga,2016-08-26,21:00,Espanyol vs Malaga,Espanyol,Malaga,2.31,3.21,3.37,Espanyol,Espanyol,0.488,N,2,2,Draw,3.21
71,laliga,2016-08-27,17:15,Eibar vs Valencia,Eibar,Valencia,2.76,3.28,2.69,Valencia,Eibar,0.578,Y,1,0,Eibar,2.76
