ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
59,bundesliga,2016-08-27,14:30,Wolfsburg @ Augsburg,Wolfsburg,Augsburg,2.54,3.33,2.88,Wolfsburg,Augsburg,0.5,Y,2,0,Wolfsburg,2.54
60,bundesliga,2016-08-27,14:30,Ingolstadt @ Hamburger SV,Ingolstadt,Hamburger SV,3.27,3.19,2.37,Hamburger SV,Hamburger SV,0.489,N,1,1,Draw,3.19
61,bundesliga,2016-08-27,14:30,Schalke 04 @ Frankfurt,Schalke 04,Frankfurt,2.22,3.46,3.31,Schalke 04,Frankfurt,0.599,Y,0,1,Frankfurt,3.31
62,bundesliga,2016-08-27,14:30,Darmstadt @ FC Koln,Darmstadt,FC Koln,6.72,4.08,1.55,FC Koln,FC Koln,0.642,N,0,2,FC Koln,1.55
73,bundesliga,2016-08-27,17:30,Leverkusen @ Monchengladb.,Leverkusen,Monchengladb.,2.88,3.48,2.47,Monchengladb.,Monchengladb.,0.411,N,1,2,Monchengladb.,2.47
85,bundesliga,2016-08-28,14:30,Freiburg @ Hertha Berlin,Freiburg,Hertha Berlin,4.01,3.45,1.99,Hertha Berlin,Hertha Berlin,0.571,N,1,2,Hertha Berlin,1.99
88,bundesliga,2016-08-28,16:30,RB Leipzig @ Hoffenheim,RB Leipzig,Hoffenheim,2.98,3.41,2.43,Hoffenheim,Hoffenheim,0.397,N,2,2,Draw,3.41
101,bundesliga,2016-09-09,19:30,Bayern Munich @ Schalke 04,Bayern Munich,Schalke 04,1.3,5.78,10.76,Bayern Munich,Bayern Munich,0.592,N,2,0,Bayern Munich,1.3
106,bundesliga,2016-09-10,14:30,Hamburger SV @ Leverkusen,Hamburger SV,Leverkusen,6.36,4.34,1.54,Leverkusen,Leverkusen,0.547,N,1,3,Leverkusen,1.54
107,bundesliga,2016-09-10,14:30,Frankfurt @ Darmstadt,Frankfurt,Darmstadt,2.29,3.33,3.29,Frankfurt,Frankfurt,0.605,N,0,1,Darmstadt,3.29
108,bundesliga,2016-09-10,14:30,Hertha Berlin @ Ingolstadt,Hertha Berlin,Ingolstadt,3.38,3.13,2.34,Ingolstadt,Hertha Berlin,0.543,Y,2,0,Hertha Berlin,3.38
109,bundesliga,2016-09-10,14:30,Monchengladb. @ Freiburg,Monchengladb.,Freiburg,2.01,3.68,3.68,Monchengladb.,Freiburg,0.529,Y,1,3,Freiburg,3.68
110,bundesliga,2016-09-10,14:30,FC Koln @ Wolfsburg,FC Koln,Wolfsburg,4.53,3.76,1.81,Wolfsburg,FC Koln,0.419,Y,0,0,Draw,3.76
121,bundesliga,2016-09-10,17:30,Dortmund @ RB Leipzig,Dortmund,RB Leipzig,1.6,4.24,5.67,Dortmund,RB Leipzig,0.547,Y,0,1,RB Leipzig,5.67
137,bundesliga,2016-09-11,14:30,Augsburg @ Werder Bremen,Augsburg,Werder Bremen,2.96,3.47,2.41,Werder Bremen,Werder Bremen,0.419,N,2,1,Augsburg,2.96
145,bundesliga,2016-09-16,19:30,Freiburg @ FC Koln,Freiburg,FC Koln,4.92,3.84,1.74,FC Koln,FC Koln,0.528,N,0,3,FC Koln,1.74
151,bundesliga,2016-09-17,14:30,Wolfsburg @ Hoffenheim,Wolfsburg,Hoffenheim,2.5,3.62,2.74,Wolfsburg,Hoffenheim,0.621,Y,0,0,Draw,3.62
152,bundesliga,2016-09-17,14:30,Leverkusen @ Frankfurt,Leverkusen,Frankfurt,2.02,3.6,3.75,Leverkusen,Frankfurt,0.582,Y,1,2,Frankfurt,3.75
153,bundesliga,2016-09-17,14:30,RB Leipzig @ Hamburger SV,RB Leipzig,Hamburger SV,2.72,3.31,2.7,Hamburger SV,RB Leipzig,0.611,Y,4,0,RB Leipzig,2.72
154,bundesliga,2016-09-17,14:30,Darmstadt @ Dortmund,Darmstadt,Dortmund,17.76,8.23,1.16,Dortmund,Dortmund,0.659,N,0,6,Dortmund,1.16
155,bundesliga,2016-09-17,14:30,Ingolstadt @ Bayern Munich,Ingolstadt,Bayern Munich,22.65,8.77,1.14,Bayern Munich,Bayern Munich,0.686,N,1,3,Bayern Munich,1.14
163,bundesliga,2016-09-17,17:30,Werder Bremen @ Monchengladb.,Werder Bremen,Monchengladb.,6.91,4.99,1.44,Monchengladb.,Monchengladb.,0.481,N,1,4,Monchengladb.,1.44
185,bundesliga,2016-09-18,16:30,Schalke 04 @ Hertha Berlin,Schalke 04,Hertha Berlin,2.66,3.34,2.74,Schalke 04,Hertha Berlin,0.6,Y,0,2,Hertha Berlin,2.74
