ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
0,ligue-1,2016-08-12,19:30,Guingamp @ Monaco,Guingamp,Monaco,5.48,3.68,1.69,Monaco,Monaco,0.598,N,2,2,Draw,3.68
1,premier-league,2016-08-13,15:00,Tottenham @ Everton,Tottenham,Everton,2.18,3.39,3.55,Tottenham,Tottenham,0.428,N,1,1,Draw,3.39
2,premier-league,2016-08-13,15:00,Swansea City @ Burnley,Swansea City,Burnley,2.82,3.14,2.77,Burnley,Burnley,0.562,N,1,0,Swansea City,2.82
3,premier-league,2016-08-13,15:00,West Bromwich @ Crystal Palace,West Bromwich,Crystal Palace,3.9,3.16,2.17,Crystal Palace,Crystal Palace,0.373,N,1,0,West Bromwich,3.9
4,premier-league,2016-08-13,15:00,Watford @ Southampton,Watford,Southampton,4.87,3.71,1.79,Southampton,Southampton,0.504,N,1,1,Draw,3.71
5,premier-league,2016-08-13,15:00,Stoke City @ Middlesbrough,Stoke City,Middlesbrough,3.61,3.24,2.23,Middlesbrough,Middlesbrough,0.438,N,1,1,Draw,3.24
6,ligue-1,2016-08-13,16:00,Saint-Etienne @ Bordeaux,Saint-Etienne,Bordeaux,3.42,3.03,2.35,Bordeaux,Bordeaux,0.447,N,2,3,Bordeaux,2.35
7,premier-league,2016-08-13,17:30,Sunderland @ Manchester City,Sunderland,Manchester City,13.98,6.44,1.24,Manchester City,Manchester City,0.681,N,1,2,Manchester City,1.24
8,ligue-1,2016-08-13,19:00,Lorient @ Caen,Lorient,Caen,3.33,3.2,2.3,Caen,Caen,0.527,N,2,3,Caen,2.3
9,ligue-1,2016-08-13,19:00,Angers @ Montpellier,Angers,Montpellier,4.91,3.21,1.88,Montpellier,Montpellier,0.513,N,0,1,Montpellier,1.88
10,ligue-1,2016-08-13,19:00,Lille @ Metz,Lille,Metz,2.22,3.08,3.68,Lille,Metz,0.475,Y,2,3,Metz,3.68
11,ligue-1,2016-08-13,19:00,Nantes @ Dijon,Nantes,Dijon,3.17,2.98,2.52,Dijon,Dijon,0.466,N,1,0,Nantes,3.17
12,premier-league,2016-08-14,13:30,Manchester Utd @ Bournemouth,Manchester Utd,Bournemouth,1.76,3.62,5.29,Manchester Utd,Manchester Utd,0.455,N,3,1,Manchester Utd,1.76
13,ligue-1,2016-08-14,14:00,Lyon @ Nancy,Lyon,Nancy,2.45,3.23,3.06,Lyon,Lyon,0.472,N,3,0,Lyon,2.45
14,premier-league,2016-08-14,16:00,Liverpool @ Arsenal,Liverpool,Arsenal,2.7,3.37,2.73,Liverpool,Arsenal,0.424,Y,4,3,Liverpool,2.7
15,ligue-1,2016-08-14,16:00,Rennes @ Nice,Rennes,Nice,3.24,3.12,2.41,Nice,Nice,0.635,N,0,1,Nice,2.41
