ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
0,ligue-1,2016-08-12,19:30,Guingamp @ Monaco,Guingamp,Monaco,5.48,3.68,1.69,Monaco,Monaco,0.598,N,2,2,Draw,3.68
6,ligue-1,2016-08-13,16:00,Saint-Etienne @ Bordeaux,Saint-Etienne,Bordeaux,3.42,3.03,2.35,Bordeaux,Bordeaux,0.447,N,2,3,Bordeaux,2.35
8,ligue-1,2016-08-13,19:00,Lorient @ Caen,Lorient,Caen,3.33,3.2,2.3,Caen,Caen,0.527,N,2,3,Caen,2.3
9,ligue-1,2016-08-13,19:00,Angers @ Montpellier,Angers,Montpellier,4.91,3.21,1.88,Montpellier,Montpellier,0.513,N,0,1,Montpellier,1.88
10,ligue-1,2016-08-13,19:00,Lille @ Metz,Lille,Metz,2.22,3.08,3.68,Lille,Metz,0.475,Y,2,3,Metz,3.68
11,ligue-1,2016-08-13,19:00,Nantes @ Dijon,Nantes,Dijon,3.17,2.98,2.52,Dijon,Dijon,0.466,N,1,0,Nantes,3.17
13,ligue-1,2016-08-14,14:00,Lyon @ Nancy,Lyon,Nancy,2.45,3.23,3.06,Lyon,Lyon,0.472,N,3,0,Lyon,2.45
15,ligue-1,2016-08-14,16:00,Rennes @ Nice,Rennes,Nice,3.24,3.12,2.41,Nice,Nice,0.635,N,0,1,Nice,2.41
16,ligue-1,2016-08-14,19:45,Toulouse @ Marseille,Toulouse,Marseille,3.93,3.24,2.07,Marseille,Marseille,0.515,N,0,0,Draw,3.24
18,ligue-1,2016-08-19,19:45,Caen @ Lyon,Caen,Lyon,8.44,5.0,1.38,Lyon,Lyon,0.62,N,0,2,Lyon,1.38
27,ligue-1,2016-08-20,16:00,Monaco @ Nantes,Monaco,Nantes,3.34,3.0,2.43,Nantes,Monaco,0.578,Y,1,0,Monaco,3.34
30,ligue-1,2016-08-20,19:00,Nice @ Angers,Nice,Angers,3.16,2.85,2.65,Angers,Nice,0.62,Y,1,0,Nice,3.16
31,ligue-1,2016-08-20,19:00,Bordeaux @ Toulouse,Bordeaux,Toulouse,2.95,3.09,2.6,Toulouse,Toulouse,0.471,N,1,4,Toulouse,2.6
32,ligue-1,2016-08-20,19:00,Dijon @ Lille,Dijon,Lille,5.75,3.36,1.75,Lille,Lille,0.467,N,0,1,Lille,1.75
33,ligue-1,2016-08-20,19:00,Nancy @ Rennes,Nancy,Rennes,4.04,3.25,2.05,Rennes,Rennes,0.525,N,0,2,Rennes,2.05
34,ligue-1,2016-08-20,19:00,Bastia @ Lorient,Bastia,Lorient,3.89,3.08,2.16,Lorient,Lorient,0.393,N,3,0,Bastia,3.89
39,ligue-1,2016-08-21,14:00,Marseille @ Guingamp,Marseille,Guingamp,2.69,3.11,2.86,Marseille,Guingamp,0.465,Y,1,2,Guingamp,2.86
41,ligue-1,2016-08-21,16:00,Montpellier @ Saint-Etienne,Montpellier,Saint-Etienne,3.48,3.01,2.36,Saint-Etienne,Saint-Etienne,0.525,N,1,3,Saint-Etienne,2.36
52,ligue-1,2016-08-21,19:45,Metz @ Paris SG,Metz,Paris SG,25.03,9.75,1.12,Paris SG,Paris SG,0.625,N,0,3,Paris SG,1.12
56,ligue-1,2016-08-26,19:45,Lorient @ Marseille,Lorient,Marseille,4.61,3.63,1.81,Marseille,Marseille,0.63,N,0,2,Marseille,1.81
69,ligue-1,2016-08-27,16:00,Lyon @ Dijon,Lyon,Dijon,1.76,3.66,4.94,Lyon,Lyon,0.489,N,2,4,Dijon,4.94
75,ligue-1,2016-08-27,19:00,Angers @ Metz,Angers,Metz,3.04,3.0,2.61,Metz,Metz,0.492,N,0,2,Metz,2.61
76,ligue-1,2016-08-27,19:00,Bastia @ Caen,Bastia,Caen,3.72,3.07,2.22,Caen,Caen,0.456,N,0,2,Caen,2.22
77,ligue-1,2016-08-27,19:00,Lille @ Nice,Lille,Nice,3.13,2.91,2.62,Nice,Nice,0.672,N,1,1,Draw,2.91
