ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
20,laliga,2016-08-19,21:00,Eibar @ Deportivo,Eibar,Deportivo,4.19,3.32,2.0,Deportivo,Eibar,0.393,Y,1,2,Deportivo,2.0
28,laliga,2016-08-20,17:15,Real Betis @ FC Barcelona,Real Betis,FC Barcelona,28.09,11.6,1.1,FC Barcelona,FC Barcelona,0.635,N,2,6,FC Barcelona,1.1
35,laliga,2016-08-20,19:15,Villarreal @ Granada,Villarreal,Granada,2.92,3.15,2.64,Granada,Villarreal,0.566,Y,1,1,Draw,3.15
37,laliga,2016-08-20,21:15,Espanyol @ FC Sevilla,Espanyol,FC Sevilla,5.12,3.88,1.71,FC Sevilla,FC Sevilla,0.564,N,4,6,FC Sevilla,1.71
43,laliga,2016-08-21,17:15,Athletic Bilbao @ Sporting Gijon,Athletic Bilbao,Sporting Gijon,1.89,3.5,4.46,Athletic Bilbao,Athletic Bilbao,0.483,N,1,2,Sporting Gijon,4.46
44,laliga,2016-08-21,19:15,Real Madrid @ Real Sociedad,Real Madrid,Real Sociedad,1.7,3.94,5.15,Real Madrid,Real Madrid,0.427,N,3,0,Real Madrid,1.7
53,laliga,2016-08-21,21:15,Alaves @ Atletico Madrid,Alaves,Atletico Madrid,17.52,5.88,1.24,Atletico Madrid,Atletico Madrid,0.558,N,1,1,Draw,5.88
54,laliga,2016-08-22,19:00,Leganes @ Celta Vigo,Leganes,Celta Vigo,5.99,3.83,1.64,Celta Vigo,Celta Vigo,0.533,N,1,0,Leganes,5.99
55,laliga,2016-08-26,19:45,Deportivo @ Real Betis,Deportivo,Real Betis,3.53,3.27,2.21,Real Betis,Real Betis,0.485,N,0,0,Draw,3.27
57,laliga,2016-08-26,21:00,Malaga @ Espanyol,Malaga,Espanyol,3.37,3.21,2.31,Espanyol,Espanyol,0.488,N,2,2,Draw,3.21
71,laliga,2016-08-27,17:15,Valencia @ Eibar,Valencia,Eibar,2.69,3.28,2.76,Valencia,Eibar,0.578,Y,0,1,Eibar,2.76
72,laliga,2016-08-27,17:15,Real Sociedad @ Osasuna,Real Sociedad,Osasuna,2.54,3.11,3.08,Real Sociedad,Real Sociedad,0.605,N,2,0,Real Sociedad,2.54
80,laliga,2016-08-27,19:15,Celta Vigo @ Real Madrid,Celta Vigo,Real Madrid,16.15,8.01,1.17,Real Madrid,Real Madrid,0.641,N,1,2,Real Madrid,1.17
82,laliga,2016-08-27,21:15,Atletico Madrid @ Leganes,Atletico Madrid,Leganes,1.49,3.93,8.71,Atletico Madrid,Atletico Madrid,0.458,N,0,0,Draw,3.93
90,laliga,2016-08-28,17:15,Sporting Gijon @ Alaves,Sporting Gijon,Alaves,3.24,3.16,2.42,Alaves,Alaves,0.588,N,0,0,Draw,3.16
91,laliga,2016-08-28,17:15,Granada @ Las Palmas,Granada,Las Palmas,4.63,3.65,1.83,Las Palmas,Las Palmas,0.607,N,1,5,Las Palmas,1.83
92,laliga,2016-08-28,19:15,FC Barcelona @ Athletic Bilbao,FC Barcelona,Athletic Bilbao,1.56,4.3,6.03,FC Barcelona,FC Barcelona,0.413,N,1,0,FC Barcelona,1.56
100,laliga,2016-08-28,21:15,FC Sevilla @ Villarreal,FC Sevilla,Villarreal,3.05,3.41,2.39,Villarreal,Villarreal,0.436,N,0,0,Draw,3.41
102,laliga,2016-09-09,19:45,Espanyol @ Real Sociedad,Espanyol,Real Sociedad,3.96,3.5,2.0,Real Sociedad,Real Sociedad,0.518,N,1,1,Draw,3.5
104,laliga,2016-09-10,12:00,Atletico Madrid @ Celta Vigo,Atletico Madrid,Celta Vigo,1.72,3.53,5.8,Atletico Madrid,Atletico Madrid,0.396,N,4,0,Atletico Madrid,1.72
111,laliga,2016-09-10,15:00,Osasuna @ Real Madrid,Osasuna,Real Madrid,37.89,15.4,1.06,Real Madrid,Real Madrid,0.699,N,2,5,Real Madrid,1.06
119,laliga,2016-09-10,17:15,Las Palmas @ FC Sevilla,Las Palmas,FC Sevilla,6.35,4.52,1.52,FC Sevilla,FC Sevilla,0.581,N,1,2,FC Sevilla,1.52
120,laliga,2016-09-10,17:15,Villarreal @ Malaga,Villarreal,Malaga,3.27,3.08,2.45,Malaga,Villarreal,0.398,Y,2,0,Villarreal,3.27
128,laliga,2016-09-10,19:30,Alaves @ FC Barcelona,Alaves,FC Barcelona,31.16,11.95,1.09,FC Barcelona,FC Barcelona,0.606,N,2,1,Alaves,31.16
130,laliga,2016-09-11,11:00,Leganes @ Sporting Gijon,Leganes,Sporting Gijon,3.22,3.07,2.49,Sporting Gijon,Sporting Gijon,0.407,N,1,2,Sporting Gijon,2.49
138,laliga,2016-09-11,15:00,Real Betis @ Valencia,Real Betis,Valencia,6.21,4.32,1.55,Valencia,Valencia,0.406,N,3,2,Real Betis,6.21
141,laliga,2016-09-11,17:15,Eibar @ Granada,Eibar,Granada,3.09,3.24,2.46,Granada,Eibar,0.493,Y,2,1,Eibar,3.09
