ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
36,serie-a,2016-08-20,19:45,Fiorentina @ Juventus,Fiorentina,Juventus,8.04,4.05,1.5,Juventus,Juventus,0.619,N,1,2,Juventus,1.5
42,serie-a,2016-08-21,17:00,Torino @ AC Milan,Torino,AC Milan,4.43,3.47,1.9,AC Milan,AC Milan,0.544,N,2,3,AC Milan,1.9
45,serie-a,2016-08-21,19:45,Sampdoria @ Empoli,Sampdoria,Empoli,3.62,3.31,2.17,Empoli,Sampdoria,0.422,Y,1,0,Sampdoria,3.62
46,serie-a,2016-08-21,19:45,Cagliari @ Genoa,Cagliari,Genoa,4.1,3.43,1.99,Genoa,Genoa,0.494,N,1,3,Genoa,1.99
47,serie-a,2016-08-21,19:45,Crotone @ Bologna,Crotone,Bologna,5.66,3.45,1.75,Bologna,Bologna,0.604,N,0,1,Bologna,1.75
48,serie-a,2016-08-21,19:45,Sassuolo @ Palermo,Sassuolo,Palermo,2.39,3.13,3.32,Sassuolo,Palermo,0.387,Y,1,0,Sassuolo,2.39
49,serie-a,2016-08-21,19:45,Napoli @ Pescara,Napoli,Pescara,1.43,4.6,8.29,Napoli,Napoli,0.626,N,2,2,Draw,4.6
50,serie-a,2016-08-21,19:45,Inter Milan @ Chievo,Inter Milan,Chievo,2.08,3.27,3.96,Inter Milan,Chievo,0.408,Y,0,2,Chievo,3.96
51,serie-a,2016-08-21,19:45,Lazio Roma @ Atalanta,Lazio Roma,Atalanta,2.64,3.18,2.88,Lazio Roma,Atalanta,0.428,Y,4,3,Lazio Roma,2.64
70,serie-a,2016-08-27,17:00,Juventus @ Lazio Roma,Juventus,Lazio Roma,2.04,3.23,4.18,Juventus,Juventus,0.409,N,1,0,Juventus,2.04
81,serie-a,2016-08-27,19:45,AC Milan @ Napoli,AC Milan,Napoli,5.94,4.01,1.61,Napoli,Napoli,0.478,N,2,4,Napoli,1.61
89,serie-a,2016-08-28,17:00,Palermo @ Inter Milan,Palermo,Inter Milan,10.69,5.47,1.31,Inter Milan,Inter Milan,0.655,N,1,1,Draw,5.47
93,serie-a,2016-08-28,19:45,Genoa @ Crotone,Genoa,Crotone,1.61,3.89,6.13,Genoa,Genoa,0.468,N,3,1,Genoa,1.61
94,serie-a,2016-08-28,19:45,Empoli @ Udinese,Empoli,Udinese,3.95,3.33,2.05,Udinese,Udinese,0.564,N,0,2,Udinese,2.05
95,serie-a,2016-08-28,19:45,Bologna @ Torino,Bologna,Torino,4.65,3.37,1.89,Torino,Torino,0.536,N,1,5,Torino,1.89
96,serie-a,2016-08-28,19:45,AS Roma @ Cagliari,AS Roma,Cagliari,1.66,4.09,5.18,AS Roma,AS Roma,0.493,N,2,2,Draw,4.09
97,serie-a,2016-08-28,19:45,Chievo @ Fiorentina,Chievo,Fiorentina,6.11,3.7,1.65,Fiorentina,Fiorentina,0.502,N,0,1,Fiorentina,1.65
98,serie-a,2016-08-28,19:45,Atalanta @ Sampdoria,Atalanta,Sampdoria,3.06,3.22,2.49,Sampdoria,Atalanta,0.389,Y,1,2,Sampdoria,2.49
118,serie-a,2016-09-10,17:00,Sassuolo @ Juventus,Sassuolo,Juventus,11.74,5.26,1.31,Juventus,Juventus,0.695,N,1,3,Juventus,1.31
129,serie-a,2016-09-10,19:45,Napoli @ Palermo,Napoli,Palermo,1.37,5.07,8.88,Napoli,Napoli,0.613,N,3,0,Napoli,1.37
