ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date,League_T
0,Werder Bremen,0,Bayern Munich,6,1,1,0.683038027891,2016-08-26,bundesliga
1,Wolfsburg,2,Augsburg,0,2,1,0.499699625869,2016-08-27,bundesliga
2,Ingolstadt,1,Hamburger SV,1,0,1,0.48870397296,2016-08-27,bundesliga
3,FSV Mainz 05,1,Dortmund,2,1,1,0.57687425164,2016-08-27,bundesliga
4,Schalke 04,0,Frankfurt,1,1,1,0.59871381648,2016-08-27,bundesliga
5,Darmstadt,0,FC Koln,2,1,1,0.641926165047,2016-08-27,bundesliga
6,Leverkusen,1,Monchengladb.,2,1,1,0.411435228925,2016-08-27,bundesliga
7,Freiburg,1,Hertha Berlin,2,1,1,0.570749908979,2016-08-28,bundesliga
8,RB Leipzig,2,Hoffenheim,2,0,1,0.397315209532,2016-08-28,bundesliga
9,Bayern Munich,2,Schalke 04,0,2,2,0.592206328633,2016-09-09,bundesliga
10,Hamburger SV,1,Leverkusen,3,1,1,0.546633667089,2016-09-10,bundesliga
11,Frankfurt,0,Darmstadt,1,1,2,0.604672384797,2016-09-10,bundesliga
12,Hertha Berlin,2,Ingolstadt,0,2,2,0.543336255756,2016-09-10,bundesliga
13,Monchengladb.,1,Freiburg,3,1,1,0.528823809444,2016-09-10,bundesliga
14,FC Koln,0,Wolfsburg,0,0,2,0.41917556,2016-09-10,bundesliga
15,Dortmund,0,RB Leipzig,1,1,1,0.546715784651,2016-09-10,bundesliga
16,Augsburg,2,Werder Bremen,1,2,1,0.418728217597,2016-09-11,bundesliga
17,Hoffenheim,4,FSV Mainz 05,4,0,2,0.433540688584,2016-09-11,bundesliga
18,Freiburg,0,FC Koln,3,1,1,0.528189590068,2016-09-16,bundesliga
19,Wolfsburg,0,Hoffenheim,0,0,1,0.620737518298,2016-09-17,bundesliga
20,Leverkusen,1,Frankfurt,2,1,1,0.58151892519,2016-09-17,bundesliga
21,RB Leipzig,4,Hamburger SV,0,2,2,0.611392895395,2016-09-17,bundesliga
22,Darmstadt,0,Dortmund,6,1,1,0.659020758409,2016-09-17,bundesliga
23,Ingolstadt,1,Bayern Munich,3,1,1,0.686421320213,2016-09-17,bundesliga
24,Werder Bremen,1,Monchengladb.,4,1,1,0.481373394745,2016-09-17,bundesliga
25,FSV Mainz 05,3,Augsburg,1,2,1,0.459127559324,2016-09-18,bundesliga
26,Schalke 04,0,Hertha Berlin,2,1,1,0.599970770437,2016-09-18,bundesliga
27,Hoffenheim,1,Darmstadt,1,0,2,0.610806429188,2016-09-20,bundesliga
28,Frankfurt,2,Ingolstadt,0,2,2,0.538082636517,2016-09-20,bundesliga
29,Hamburger SV,0,Freiburg,1,1,1,0.557530973018,2016-09-20,bundesliga
30,Dortmund,5,Wolfsburg,1,2,2,0.444333797377,2016-09-20,bundesliga
31,Augsburg,0,Leverkusen,0,0,1,0.485527630718,2016-09-21,bundesliga
32,FC Koln,3,Schalke 04,1,2,2,0.392175731624,2016-09-21,bundesliga
33,FSV Mainz 05,2,Werder Bremen,1,2,1,0.410697175643,2016-09-21,bundesliga
34,Monchengladb.,1,RB Leipzig,1,0,1,0.649135767899,2016-09-21,bundesliga
35,Hertha Berlin,0,Bayern Munich,3,1,1,0.568925430203,2016-09-21,bundesliga
36,Freiburg,1,Dortmund,3,1,1,0.555812680328,2016-09-23,bundesliga
37,Darmstadt,0,Augsburg,1,1,1,0.583221422065,2016-09-24,bundesliga
38,Hertha Berlin,3,Frankfurt,3,0,1,0.46446077291,2016-09-24,bundesliga
39,Leverkusen,3,FSV Mainz 05,2,2,1,0.455592733871,2016-09-24,bundesliga
40,Ingolstadt,0,Monchengladb.,2,1,1,0.525240220288,2016-09-24,bundesliga
41,Bayern Munich,1,Hamburger SV,0,2,2,0.650584975641,2016-09-24,bundesliga
42,Wolfsburg,1,Werder Bremen,2,1,1,0.45206374716,2016-09-24,bundesliga
43,Schalke 04,1,Hoffenheim,2,1,1,0.604282237933,2016-09-25,bundesliga
44,RB Leipzig,1,FC Koln,1,0,2,0.429673435183,2016-09-25,bundesliga
45,Augsburg,1,RB Leipzig,2,1,1,0.636254414102,2016-09-30,bundesliga
46,Werder Bremen,2,Darmstadt,2,0,2,0.427177015466,2016-10-01,bundesliga
47,Hamburger SV,0,Hertha Berlin,2,1,1,0.634609617497,2016-10-01,bundesliga
48,FC Koln,1,Bayern Munich,1,0,1,0.600216950767,2016-10-01,bundesliga
49,Hoffenheim,2,Ingolstadt,1,2,2,0.544899462411,2016-10-01,bundesliga
50,Frankfurt,0,Freiburg,1,1,2,0.366874591528,2016-10-01,bundesliga
51,Dortmund,0,Leverkusen,2,1,2,0.363341289768,2016-10-01,bundesliga
52,FSV Mainz 05,0,Wolfsburg,0,0,1,0.42511924064,2016-10-02,bundesliga
53,Monchengladb.,0,Schalke 04,4,1,1,0.491402540653,2016-10-02,bundesliga
54,Hertha Berlin,1,Dortmund,1,0,1,0.448621746367,2016-10-14,bundesliga
55,Ingolstadt,1,FC Koln,2,1,1,0.62639459329,2016-10-15,bundesliga
56,Hamburger SV,0,Monchengladb.,0,0,1,0.5042108012,2016-10-15,bundesliga
57,Bayern Munich,2,Frankfurt,2,0,2,0.432622295317,2016-10-15,bundesliga
58,Freiburg,1,Hoffenheim,2,1,1,0.575113722788,2016-10-15,bundesliga
59,Schalke 04,1,Augsburg,1,0,1,0.476182701923,2016-10-15,bundesliga
60,Leverkusen,1,Werder Bremen,2,1,1,0.398650399951,2016-10-15,bundesliga
61,Darmstadt,1,FSV Mainz 05,2,1,1,0.589645394157,2016-10-16,bundesliga
62,RB Leipzig,1,Wolfsburg,0,2,2,0.566581555054,2016-10-16,bundesliga
63,Frankfurt,3,Hamburger SV,0,2,2,0.528735915681,2016-10-21,bundesliga
64,Wolfsburg,1,Darmstadt,3,1,2,0.422556166366,2016-10-22,bundesliga
65,FC Koln,1,Hertha Berlin,2,1,1,0.512782165474,2016-10-22,bundesliga
66,Dortmund,3,Ingolstadt,3,0,2,0.511298201048,2016-10-22,bundesliga
67,Hoffenheim,3,Leverkusen,0,2,2,0.402483454838,2016-10-22,bundesliga
68,Augsburg,1,Freiburg,2,1,1,0.500368052328,2016-10-22,bundesliga
69,Monchengladb.,0,Bayern Munich,2,1,1,0.664071580937,2016-10-22,bundesliga
70,Werder Bremen,1,RB Leipzig,3,1,1,0.667919536365,2016-10-23,bundesliga
71,FSV Mainz 05,0,Schalke 04,3,1,1,0.449860715408,2016-10-23,bundesliga
72,Frankfurt,0,Monchengladb.,0,0,2,0.480336735444,2016-10-28,bundesliga
73,Ingolstadt,0,FSV Mainz 05,2,1,1,0.561076663026,2016-10-29,bundesliga
74,RB Leipzig,2,Darmstadt,0,2,2,0.670897743438,2016-10-29,bundesliga
75,Freiburg,3,Werder Bremen,1,2,1,0.381507276472,2016-10-29,bundesliga
76,Leverkusen,2,Wolfsburg,1,2,1,0.412473585199,2016-10-29,bundesliga
77,Bayern Munich,3,Augsburg,1,2,2,0.579867719912,2016-10-29,bundesliga
78,Schalke 04,0,Dortmund,0,0,1,0.590085271729,2016-10-29,bundesliga
79,Hertha Berlin,0,Hoffenheim,1,1,1,0.472318106011,2016-10-30,bundesliga
80,Hamburger SV,0,FC Koln,3,1,1,0.608607860687,2016-10-30,bundesliga
81,Monchengladb.,0,Hertha Berlin,3,1,1,0.615065200086,2016-11-04,bundesliga
82,Dortmund,5,Hamburger SV,2,2,2,0.501297664749,2016-11-05,bundesliga
83,Augsburg,2,Ingolstadt,0,2,2,0.381554346521,2016-11-05,bundesliga
84,Hoffenheim,1,Bayern Munich,1,0,1,0.56425698674,2016-11-05,bundesliga
85,Wolfsburg,3,Freiburg,0,2,1,0.529422489048,2016-11-05,bundesliga
86,Darmstadt,2,Leverkusen,3,1,1,0.590918664752,2016-11-05,bundesliga
87,FC Koln,0,Frankfurt,1,1,1,0.510427247543,2016-11-05,bundesliga
88,FSV Mainz 05,1,RB Leipzig,3,1,1,0.630614560258,2016-11-06,bundesliga
89,Werder Bremen,1,Schalke 04,3,1,1,0.506211957213,2016-11-06,bundesliga
90,RB Leipzig,3,Leverkusen,2,2,2,0.497644506324,2016-11-18,bundesliga
91,Ingolstadt,1,Darmstadt,0,2,1,0.41703348601,2016-11-19,bundesliga
92,Hertha Berlin,0,Augsburg,0,0,2,0.438895187403,2016-11-19,bundesliga
93,Schalke 04,1,Wolfsburg,0,2,1,0.442745007774,2016-11-19,bundesliga
94,Freiburg,2,FSV Mainz 05,4,1,1,0.438050918771,2016-11-19,bundesliga
95,FC Koln,2,Monchengladb.,1,2,2,0.425482215493,2016-11-19,bundesliga
96,Bayern Munich,0,Dortmund,1,1,2,0.462801042458,2016-11-19,bundesliga
97,Hamburger SV,2,Hoffenheim,2,0,1,0.638583854168,2016-11-20,bundesliga
98,Frankfurt,2,Werder Bremen,1,2,2,0.468283980018,2016-11-20,bundesliga
99,RB Leipzig,4,Freiburg,1,2,2,0.472158180227,2016-11-25,bundesliga
100,Augsburg,0,FC Koln,0,0,1,0.55858925745,2016-11-26,bundesliga
101,Werder Bremen,2,Hamburger SV,2,0,1,0.440827281577,2016-11-26,bundesliga
102,Hoffenheim,1,Monchengladb.,1,0,2,0.48774134243,2016-11-26,bundesliga
103,Dortmund,1,Frankfurt,2,1,1,0.481882080919,2016-11-26,bundesliga
104,Wolfsburg,1,Ingolstadt,1,0,1,0.405659669989,2016-11-26,bundesliga
105,Leverkusen,1,Bayern Munich,2,1,1,0.652068772711,2016-11-26,bundesliga
106,Darmstadt,1,Schalke 04,3,1,1,0.578391030234,2016-11-27,bundesliga
107,FSV Mainz 05,1,Hertha Berlin,2,1,1,0.588117996486,2016-11-27,bundesliga
108,Bayern Munich,3,FSV Mainz 05,1,2,2,0.575282229982,2016-12-02,bundesliga
109,Hertha Berlin,3,Wolfsburg,2,2,2,0.480272475622,2016-12-03,bundesliga
110,Ingolstadt,1,Werder Bremen,2,1,1,0.509173130833,2016-12-03,bundesliga
