,Tm,Season_Yr,W,D,L,GF,GA,Pts,PPG,CS,FTS
0,Bayern Munich,2017,12,3,1,38,9,39,2.44,0.5,0.06
1,RB Leipzig,2017,11,3,2,31,15,36,2.25,0.31,0.12
2,Hertha Berlin,2017,9,3,4,24,16,30,1.88,0.38,0.31
3,Frankfurt,2017,8,5,3,22,12,29,1.81,0.44,0.31
4,Hoffenheim,2017,6,10,0,28,17,28,1.75,0.31,0.12
5,Dortmund,2017,7,6,3,35,19,27,1.69,0.19,0.19
6,FC Koln,2017,6,7,3,21,15,25,1.56,0.31,0.25
7,Freiburg,2017,7,2,7,21,27,23,1.44,0.19,0.12
8,Leverkusen,2017,6,3,7,23,24,21,1.31,0.19,0.12
9,FSV Mainz 05,2017,6,2,8,26,30,20,1.25,0.12,0.25
10,Schalke 04,2017,5,3,8,20,19,18,1.13,0.25,0.31
11,Augsburg,2017,4,6,6,13,17,18,1.13,0.38,0.31
12,Wolfsburg,2017,4,4,8,15,24,16,1.0,0.38,0.38
13,Monchengladb.,2017,4,4,8,15,25,16,1.0,0.25,0.38
14,Werder Bremen,2017,4,4,8,20,34,16,1.0,0.06,0.06
15,Hamburger SV,2017,3,4,9,14,31,13,0.81,0.19,0.44
16,Ingolstadt,2017,3,3,10,14,27,12,0.75,0.12,0.31
17,Darmstadt,2017,2,2,12,11,30,8,0.5,0.06,0.56
18,Real Madrid,2017,11,4,0,40,14,37,2.47,0.27,0.0
19,FC Barcelona,2017,10,4,2,41,16,34,2.13,0.38,0.06
20,FC Sevilla,2017,10,3,3,32,21,33,2.06,0.25,0.06
21,Villarreal,2017,8,5,3,25,11,29,1.81,0.44,0.31
22,Real Sociedad,2017,9,2,5,28,21,29,1.81,0.38,0.12
23,Atletico Madrid,2017,8,4,4,29,14,28,1.75,0.5,0.38
24,Athletic Bilbao,2017,8,2,6,22,19,26,1.63,0.19,0.19
25,Eibar,2017,6,5,5,22,20,23,1.44,0.25,0.12
26,Espanyol,2017,5,7,4,20,22,22,1.38,0.44,0.38
27,Las Palmas,2017,5,6,5,26,24,21,1.31,0.19,0.19
28,Malaga,2017,5,6,5,25,26,21,1.31,0.12,0.25
29,Alaves,2017,5,6,5,15,17,21,1.31,0.38,0.31
30,Celta Vigo,2017,6,3,7,25,31,21,1.31,0.12,0.38
31,Real Betis,2017,5,3,8,18,29,18,1.13,0.25,0.38
32,Deportivo,2017,4,4,8,22,27,16,1.0,0.19,0.31
33,Leganes,2017,4,4,8,13,27,16,1.0,0.31,0.38
34,Valencia,2017,3,3,9,21,29,12,0.8,0.0,0.13
35,Sporting Gijon,2017,3,3,10,17,33,12,0.75,0.12,0.25
