Year,Player_A,Player_B,True_Result
2017,David Goffin,Robin Haase,W
2017,David Goffin,Fernando Verdasco,L
2017,David Goffin,Reilly Opelka,W
2017,David Goffin,Radek Stepanek,W
2017,David Goffin,Ivo Karlovic,W
2017,David Goffin,Dominic Thiem,W
2017,Ivo Karlovic,Illya Marchenko,W
2017,Ivo Karlovic,Karen Khachanov,L
2017,Ivo Karlovic,Horacio Zeballos,W
2017,Ivo Karlovic,Andrew Whittington,W
2017,Ivo Karlovic,David Goffin,L
2017,Pablo Carreno Busta,Mischa Zverev,W
2017,Pablo Carreno Busta,Andrey Kuznetsov,L
2017,Pablo Carreno Busta,Peter Polansky,W
2017,Pablo Carreno Busta,Kyle Edmund,W
2017,Pablo Carreno Busta,Denis Istomin,L
2017,Nicolas Mahut,Stephane Robert,W
2017,Nicolas Mahut,Grigor Dimitrov,L
2017,Nicolas Mahut,Thomaz Bellucci,W
2017,Nicolas Mahut,Pablo Cuevas,L
2017,Nicolas Mahut,Ryan Harrison,L
2017,Daniel Evans,Thiago Monteiro,W
2017,Daniel Evans,Marcel Granollers,W
2017,Daniel Evans,Dominic Thiem,W
2017,Daniel Evans,Andrey Kuznetsov,W
2017,Daniel Evans,Gilles Muller,L
2017,Daniel Evans,Facundo Bagnis,W
2017,Daniel Evans,Marin Cilic,W
2017,Daniel Evans,Bernard Tomic,W
2017,Daniel Evans,Jo Wilfried Tsonga,L
2017,Adrian Mannarino,Aleksandar Vukic,W
2017,Adrian Mannarino,Jose Statham,W
2017,Adrian Mannarino,Kenny De Schepper,W
2017,Adrian Mannarino,Alejandro Falla,W
2017,Adrian Mannarino,Nikola Milojevic,W
2017,Adrian Mannarino,Marcos Baghdatis,L
2017,Adrian Mannarino,Karen Khachanov,L
2017,Steve Darcis,Nikola Mektic,W
2017,Steve Darcis,Albert Ramos Vinolas,L
2017,Steve Darcis,Corentin Moutet,W
2017,Steve Darcis,Hans Podlipnik Castillo,W
2017,Steve Darcis,Denis Shapovalov,W
2017,Steve Darcis,Jan Lennard Struff,L
2017,Steve Darcis,Sam Groth,W
2017,Steve Darcis,Diego Schwartzman,W
2017,Steve Darcis,Andreas Seppi,L
2017,Guido Pella,Roberto Bautista Agut,L
2017,Santiago Giraldo,,
2017,Santiago Giraldo,Marcel Granollers,L
2017,Santiago Giraldo,Kyle Edmund,L
2017,Rogerio Dutra Silva,,
2017,Rogerio Dutra Silva,Dusan Lajovic,W
2017,Rogerio Dutra Silva,Roberto Bautista Agut,L
2017,Rogerio Dutra Silva,Jared Donaldson,W
2017,Rogerio Dutra Silva,Gilles Simon,L
2017,David Goffin,Grigor Dimitrov,W
2017,Rafael Nadal,Milos Raonic,W
2017,Roger Federer,Stanislas Wawrinka,W
