,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
0,David Goffin,2017,26,0,74,49,25,0.662,5,2,11,15
1,Ivo Karlovic,2017,25,2,56,32,24,0.571,0,0,42,26
2,Pablo Carreno Busta,2017,28,2,66,40,26,0.606,3,4,16,16
3,Nicolas Mahut,2017,21,1,43,23,20,0.535,0,0,9,11
4,Daniel Evans,2017,23,3,57,36,21,0.632,1,1,15,11
5,Adrian Mannarino,2017,31,1,62,32,30,0.516,2,2,7,15
6,Steve Darcis,2017,16,3,47,35,12,0.745,4,1,9,8
7,Guido Pella,2017,23,1,39,16,23,0.41,2,1,8,17
8,Santiago Giraldo,2017,26,2,57,33,24,0.579,3,1,11,8
9,Rogerio Dutra Silva,2017,32,1,83,52,31,0.627,5,0,12,20
