,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
0,David Goffin,2008,28,2,84,58,26,0.69,12,3,8,7
1,David Goffin,2009,22,0,58,36,22,0.621,3,0,7,7
2,David Goffin,2010,22,3,62,43,19,0.694,9,0,7,5
3,David Goffin,2011,17,2,43,29,14,0.674,4,0,9,7
4,David Goffin,2012,23,2,50,30,20,0.6,2,1,10,6
5,David Goffin,2013,27,1,48,22,26,0.458,1,5,5,11
6,David Goffin,2014,25,6,69,50,19,0.725,10,0,9,7
7,David Goffin,2015,25,0,63,38,25,0.603,5,2,13,7
8,David Goffin,2016,26,0,74,49,25,0.662,5,2,11,15
9,Ivo Karlovic,2006,9,0,15,6,9,0.4,0,0,9,7
10,Ivo Karlovic,2007,27,3,74,50,24,0.676,0,0,43,34
11,Ivo Karlovic,2008,27,1,56,31,25,0.554,0,0,31,29
12,Ivo Karlovic,2009,23,0,46,23,23,0.5,0,0,18,27
13,Ivo Karlovic,2010,10,0,26,17,9,0.654,0,0,11,10
14,Ivo Karlovic,2011,23,2,47,26,21,0.553,0,0,23,24
15,Ivo Karlovic,2012,18,0,36,18,18,0.5,0,2,21,16
16,Ivo Karlovic,2013,17,1,32,16,16,0.5,1,0,21,12
17,Ivo Karlovic,2014,28,0,64,36,28,0.563,0,0,34,31
18,Ivo Karlovic,2015,26,1,63,38,25,0.603,0,0,32,44
19,Ivo Karlovic,2016,25,2,56,32,24,0.571,0,0,42,26
20,Pablo Carreno Busta,2007,8,2,29,23,6,0.793,5,1,3,2
21,Pablo Carreno Busta,2008,18,2,49,33,16,0.673,1,0,4,8
22,Pablo Carreno Busta,2009,24,2,60,38,22,0.633,2,3,6,5
23,Pablo Carreno Busta,2010,22,2,67,47,20,0.701,5,2,14,4
24,Pablo Carreno Busta,2011,24,5,68,49,19,0.721,7,0,13,9
25,Pablo Carreno Busta,2012,11,0,19,8,11,0.421,1,1,1,4
26,Pablo Carreno Busta,2013,27,11,96,80,16,0.833,4,0,21,6
