,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
11,Adrian Mannarino,2006,4,0,10,6,4,0.600,0,2,0,1
10,Adrian Mannarino,2007,27,2,65,40,25,0.615,6,2,6,4
9,Adrian Mannarino,2008,27,3,76,52,24,0.684,4,4,10,9
8,Adrian Mannarino,2009,20,0,41,21,20,0.512,0,2,9,3
7,Adrian Mannarino,2010,19,2,46,30,16,0.652,1,2,6,5
6,Adrian Mannarino,2011,29,0,51,22,29,0.431,2,4,18,11
5,Adrian Mannarino,2012,22,0,40,19,21,0.475,1,3,8,9
4,Adrian Mannarino,2013,26,2,59,35,24,0.593,3,3,11,12
3,Adrian Mannarino,2014,30,5,69,44,25,0.638,4,2,5,11
2,Adrian Mannarino,2015,32,0,65,34,31,0.523,2,2,14,17
1,Adrian Mannarino,2016,31,1,62,32,30,0.516,2,2,7,15
