Year,Week,Player_A,Player_B,True_Result
2016,2016-10-24,Angelique Kerber,Simona Halep,W
2016,2016-10-24,Angelique Kerber,Madison Keys,W
2016,2016-10-24,Angelique Kerber,Dominika Cibulkova,W
2016,2016-10-24,Angelique Kerber,Agnieszka Radwanska,W
2016,2016-10-24,Angelique Kerber,Dominika Cibulkova,L
2016,2016-10-10,Angelique Kerber,Maria Sakkari,W
2016,2016-10-10,Angelique Kerber,Louisa Chirico,W
2016,2016-10-10,Angelique Kerber,Daria Gavrilova,L
2016,2016-10-03,Angelique Kerber,Katerina Siniakova,W
2016,2016-10-03,Angelique Kerber,Barbora Strycova,L
2016,2016-09-26,Angelique Kerber,Kristina Mladenovic,W
2016,2016-09-26,Angelique Kerber,Petra Kvitova,L
2016,2016-08-29,Angelique Kerber,Polona Hercog,W
2016,2016-08-29,Angelique Kerber,Mirjana Lucic-Baroni,W
2016,2016-08-29,Angelique Kerber,Catherine Bellis,W
2016,2016-08-29,Angelique Kerber,Petra Kvitova,W
2016,2016-08-29,Angelique Kerber,Roberta Vinci,W
2016,2016-08-29,Angelique Kerber,Caroline Wozniacki,W
2016,2016-08-29,Angelique Kerber,Karolina Pliskova,W
2016,2016-08-15,Angelique Kerber,Kristina Mladenovic,W
2016,2016-08-15,Angelique Kerber,Barbora Strycova,W
2016,2016-08-15,Angelique Kerber,Carla Suarez Navarro,W
2016,2016-08-15,Angelique Kerber,Simona Halep,W
2016,2016-08-15,Angelique Kerber,Karolina Pliskova,L
2016,2016-08-08,Angelique Kerber,Mariana Duque-Marino,W
2016,2016-08-08,Angelique Kerber,Eugenie Bouchard,W
2016,2016-08-08,Angelique Kerber,Samantha Stosur,W
2016,2016-08-08,Angelique Kerber,Johanna Konta,W
2016,2016-08-08,Angelique Kerber,Madison Keys,W
2016,2016-08-08,Angelique Kerber,Monica Puig,L
2016,2016-07-25,Angelique Kerber,Mirjana Lucic-Baroni,W
2016,2016-07-25,Angelique Kerber,Elina Svitolina,W
2016,2016-07-25,Angelique Kerber,Daria Kasatkina,W
2016,2016-07-25,Angelique Kerber,Simona Halep,L
2016,2016-07-18,Angelique Kerber,Cornelia Lister,W
2016,2016-07-18,Angelique Kerber,Lara Arruabarrena,L
2016,2016-06-27,Angelique Kerber,Laura Robson,W
2016,2016-06-27,Angelique Kerber,Varvara Lepchenko,W
2016,2016-06-27,Angelique Kerber,Carina Witthoeft,W
2016,2016-06-27,Angelique Kerber,Misaki Doi,W
2016,2016-06-27,Angelique Kerber,Simona Halep,W
2016,2016-06-27,Angelique Kerber,Venus Williams,W
2016,2016-06-27,Angelique Kerber,Serena Williams,L
2016,2016-06-13,Angelique Kerber,Shuai Peng,W
2016,2016-06-13,Angelique Kerber,Daria Gavrilova,W
2016,2016-06-13,Angelique Kerber,Carla Suarez Navarro,L
2016,2016-05-23,Angelique Kerber,Kiki Bertens,L
2016,2016-05-09,Angelique Kerber,Eugenie Bouchard,L
2016,2016-05-02,Angelique Kerber,Barbora Strycova,L
2016,2016-04-18,Angelique Kerber,Annika Beck,W
2016,2016-04-18,Angelique Kerber,Carla Suarez Navarro,W
2016,2016-04-18,Angelique Kerber,Petra Kvitova,W
2016,2016-04-18,Angelique Kerber,Laura Siegemund,W
2016,2016-04-16,Angelique Kerber,Irina-Camelia Begu,W
2016,2016-04-16,Angelique Kerber,Simona Halep,W
2016,2016-04-04,Angelique Kerber,Lara Arruabarrena,W
2016,2016-04-04,Angelique Kerber,Kristina Kucova,W
2016,2016-04-04,Angelique Kerber,Irina-Camelia Begu,W
2016,2016-04-04,Angelique Kerber,Sloane Stephens,L
2016,2016-03-21,Angelique Kerber,Barbora Strycova,W
2016,2016-03-21,Angelique Kerber,Kiki Bertens,W
2016,2016-03-21,Angelique Kerber,Timea Babos,W
2016,2016-03-21,Angelique Kerber,Madison Keys,W
2016,2016-03-21,Angelique Kerber,Victoria Azarenka,L
2016,2016-03-07,Angelique Kerber,Denisa Allertova,L
2016,2016-02-22,Angelique Kerber,Saisai Zheng,L
2016,2016-02-06,Angelique Kerber,Belinda Bencic,L
2016,2016-02-06,Angelique Kerber,Timea Bacsinszky,W
2016,2016-01-18,Angelique Kerber,Misaki Doi,W
2016,2016-01-18,Angelique Kerber,Alexandra Dulgheru,W
2016,2016-01-18,Angelique Kerber,Madison Brengle,W
2016,2016-01-18,Angelique Kerber,Annika Beck,W
2016,2016-01-18,Angelique Kerber,Victoria Azarenka,W
2016,2016-01-18,Angelique Kerber,Johanna Konta,W
2016,2016-01-18,Angelique Kerber,Serena Williams,W
2016,2016-01-11,Angelique Kerber,Elina Svitolina,W
2016,2016-01-11,Angelique Kerber,Ekaterina Makarova,L
2016,2016-01-05,Angelique Kerber,Camila Giorgi,W
2016,2016-01-05,Angelique Kerber,Madison Brengle,W
2016,2016-01-05,Angelique Kerber,Anastasia Pavlyuchenkova,W
2016,2016-01-05,Angelique Kerber,Carla Suarez Navarro,W
2016,2016-01-05,Angelique Kerber,Victoria Azarenka,L
2015,2015-10-26,Angelique Kerber,Garbine Muguruza,L
2015,2015-10-26,Angelique Kerber,Petra Kvitova,W
2015,2015-10-26,Angelique Kerber,Lucie Safarova,L
2015,2015-10-12,Angelique Kerber,Francesca Schiavone,W
2015,2015-10-12,Angelique Kerber,Kurumi Nara,W
2015,2015-10-12,Angelique Kerber,Caroline Garcia,W
2015,2015-10-12,Angelique Kerber,Samantha Stosur,W
