,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
0,Angelique Kerber,2016,23,3,80,62,18,0.775,10,1,10,4
1,Angelique Kerber,2015,26,4,75,53,22,0.707,8,2,7,7
2,Angelique Kerber,2014,23,0,71,47,24,0.662,5,2,14,7
3,Angelique Kerber,2013,23,1,68,45,23,0.662,8,2,9,9
4,Angelique Kerber,2012,22,2,82,60,22,0.732,5,3,8,9
5,Angelique Kerber,2011,21,0,42,21,21,0.500,2,0,4,3
6,Angelique Kerber,2010,20,0,45,25,20,0.556,2,1,7,0
7,Angelique Kerber,2009,16,1,30,15,15,0.500,1,0,3,2
8,Angelique Kerber,2008,24,2,51,29,22,0.569,2,3,5,8
9,Angelique Kerber,2007,25,4,66,44,22,0.667,11,3,4,5
10,Angelique Kerber,2006,9,2,32,25,7,0.781,3,0,3,4
11,Serena Williams,2016,8,2,44,38,6,0.864,7,0,8,2
12,Serena Williams,2015,12,5,55,52,3,0.945,12,0,9,2
13,Serena Williams,2014,16,7,60,52,8,0.867,7,1,8,0
14,Serena Williams,2013,17,11,82,78,4,0.951,25,1,3,3
15,Serena Williams,2012,14,7,60,56,4,0.933,10,0,3,2
16,Serena Williams,2011,6,2,25,22,3,0.880,4,0,3,2
17,Serena Williams,2010,6,2,29,25,4,0.862,5,0,10,2
18,Serena Williams,2009,16,3,62,50,12,0.806,4,0,8,8
19,Serena Williams,2008,14,4,56,47,9,0.839,7,1,5,2
20,Serena Williams,2007,13,2,45,35,10,0.778,7,2,8,3
21,Serena Williams,2006,2,0,9,7,2,0.778,1,0,0,1
