Season_Yr,Visitor_Team,V_PTS,Home_Team,H_PTS
2016,COL,10,ARI,5
2016,COL,6,ARI,11
2016,COL,4,ARI,3
2016,CHC,14,ARI,6
2016,CHC,2,ARI,3
2016,CHC,4,ARI,2
2016,CHC,7,ARI,3
2016,PIT,8,ARI,7
2016,PIT,1,ARI,7
2016,PIT,12,ARI,10
2016,STL,7,ARI,12
2016,STL,8,ARI,2
2016,STL,11,ARI,4
2016,STL,0,ARI,3
2016,COL,9,ARI,0
2016,COL,5,ARI,2
2016,COL,6,ARI,3
2016,SFG,4,ARI,2
2016,SFG,3,ARI,1
2016,SFG,5,ARI,3
2016,SFG,2,ARI,1
2016,NYY,2,ARI,12
2016,NYY,3,ARI,5
2016,NYY,4,ARI,2
2016,SDP,10,ARI,3
2016,SDP,7,ARI,8
2016,SDP,3,ARI,6
2016,HOU,8,ARI,3
2016,HOU,8,ARI,5
2016,TBR,6,ARI,4
2016,TBR,0,ARI,5
2016,TBR,6,ARI,3
2016,MIA,8,ARI,6
2016,MIA,3,ARI,5
2016,MIA,0,ARI,6
2016,LAD,2,ARI,3
2016,LAD,7,ARI,4
2016,LAD,3,ARI,2
2016,PHI,8,ARI,0
2016,PHI,4,ARI,3
2016,PHI,9,ARI,8
2016,SFG,6,ARI,4
2016,SFG,5,ARI,6
2016,SFG,5,ARI,4
2016,SDP,8,ARI,4
2016,SDP,5,ARI,7
2016,SDP,13,ARI,6
2016,LAD,13,ARI,7
2016,LAD,1,ARI,2
2016,LAD,5,ARI,6
2016,TOR,5,ARI,1
2016,TOR,10,ARI,4
2016,WSN,14,ARI,1
2016,WSN,10,ARI,4
2016,WSN,8,ARI,3
2016,MIL,2,ARI,3
2016,MIL,15,ARI,6
2016,MIL,3,ARI,9
2016,NYM,6,ARI,10
2016,NYM,7,ARI,5
2016,NYM,5,ARI,13
2016,ATL,8,ARI,9
2016,ATL,7,ARI,4
2016,ATL,9,ARI,10
2016,ATL,3,ARI,1
2016,CIN,3,ARI,4
2016,CIN,13,ARI,0
2016,CIN,2,ARI,11
2016,SFG,7,ARI,6
2016,SFG,11,ARI,3
2016,SFG,5,ARI,3
2016,COL,9,ARI,12
2016,COL,4,ARI,11
2016,COL,6,ARI,11
2016,LAD,3,ARI,7
2016,LAD,3,ARI,2
2016,LAD,6,ARI,2
2016,LAD,9,ARI,10
2016,SDP,3,ARI,5
2016,SDP,5,ARI,9
2016,SDP,2,ARI,3
2016,WSN,4,ATL,3
2016,WSN,3,ATL,1
2016,STL,7,ATL,4
2016,STL,12,ATL,2
2016,STL,12,ATL,7
2016,LAD,1,ATL,8
2016,LAD,5,ATL,3
2016,LAD,2,ATL,1
2016,NYM,6,ATL,3
2016,NYM,8,ATL,2
2016,NYM,3,ATL,2
2016,BOS,1,ATL,0
2016,BOS,11,ATL,4
2016,ARI,7,ATL,2
2016,ARI,4,ATL,2
2016,ARI,5,ATL,3
2016,PHI,3,ATL,2
2016,PHI,1,ATL,5
2016,PHI,7,ATL,4
2016,MIL,2,ATL,1
2016,MIL,3,ATL,2
2016,MIL,6,ATL,2
2016,MIA,2,ATL,4
2016,MIA,2,ATL,7
2016,MIA,7,ATL,3
2016,SFG,3,ATL,5
2016,SFG,4,ATL,0
2016,SFG,4,ATL,5
2016,SFG,6,ATL,0
2016,CHC,1,ATL,5
2016,CHC,8,ATL,2
2016,CHC,13,ATL,2
2016,CIN,9,ATL,8
2016,CIN,3,ATL,1
2016,CIN,8,ATL,9
2016,CIN,2,ATL,7
2016,NYM,3,ATL,4
2016,NYM,8,ATL,6
2016,NYM,1,ATL,0
2016,NYM,2,ATL,5
2016,CLE,8,ATL,3
2016,CLE,5,ATL,3
2016,CLE,3,ATL,0
2016,MIA,5,ATL,8
2016,MIA,7,ATL,5
2016,MIA,1,ATL,9
2016,MIA,5,ATL,2
2016,COL,11,ATL,2
2016,COL,4,ATL,3
2016,COL,0,ATL,1
2016,PHI,7,ATL,5
2016,PHI,1,ATL,2
2016,PHI,9,ATL,5
2016,PHI,1,ATL,2
2016,PIT,5,ATL,3
2016,PIT,4,ATL,8
2016,PIT,2,ATL,5
2016,MIN,4,ATL,2
2016,MIN,10,ATL,3
2016,WSN,8,ATL,2
2016,WSN,7,ATL,6
2016,WSN,11,ATL,9
2016,WSN,6,ATL,7
2016,SDP,3,ATL,7
2016,SDP,1,ATL,8
2016,SDP,6,ATL,9
2016,NYM,6,ATL,4
2016,NYM,3,ATL,4
2016,NYM,10,ATL,3
2016,MIA,7,ATL,12
2016,MIA,7,ATL,5
2016,MIA,7,ATL,5
2016,WSN,7,ATL,2
2016,WSN,3,ATL,7
2016,WSN,2,ATL,6
2016,PHI,6,ATL,7
2016,PHI,2,ATL,12
2016,PHI,2,ATL,5
2016,DET,6,ATL,2
2016,DET,3,ATL,5
2016,DET,0,ATL,1
2016,MIN,2,BAL,3
2016,MIN,2,BAL,4
2016,MIN,2,BAL,4
2016,TBR,1,BAL,6
2016,TBR,3,BAL,5
2016,TOR,4,BAL,3
2016,TOR,3,BAL,4
2016,TOR,2,BAL,3
2016,CHW,2,BAL,10
2016,CHW,3,BAL,6
2016,CHW,8,BAL,7
2016,CHW,7,BAL,1
2016,NYY,1,BAL,4
2016,NYY,7,BAL,0
2016,NYY,0,BAL,1
2016,OAK,8,BAL,4
2016,OAK,2,BAL,5
2016,OAK,3,BAL,11
2016,DET,5,BAL,7
2016,DET,0,BAL,1
2016,DET,3,BAL,9
2016,DET,6,BAL,5
2016,SEA,10,BAL,0
2016,SEA,2,BAL,5
2016,SEA,7,BAL,2
2016,BOS,7,BAL,2
2016,BOS,6,BAL,2
2016,BOS,9,BAL,13
2016,BOS,7,BAL,12
2016,NYY,5,BAL,6
2016,NYY,8,BAL,6
2016,NYY,1,BAL,3
