ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
0,2016-10-31,23:30,Atlanta Hawks vs Sacramento Kings,Atlanta Hawks,Sacramento Kings,1.33,3.52,Atlanta Hawks,Atlanta Hawks,0.66,N,106,95,Sacramento Kings,1.33
1,2016-10-31,23:30,Brooklyn Nets vs Chicago Bulls,Brooklyn Nets,Chicago Bulls,3.4,1.35,Chicago Bulls,Chicago Bulls,0.695,N,88,118,Chicago Bulls,3.4
2,2016-10-31,23:30,Toronto Raptors vs Denver Nuggets,Toronto Raptors,Denver Nuggets,1.34,3.45,Toronto Raptors,Toronto Raptors,0.926,N,105,102,Denver Nuggets,1.34
3,2016-11-01,22:00,Cleveland Cavaliers vs Houston Rockets,Cleveland Cavaliers,Houston Rockets,1.19,5.21,Cleveland Cavaliers,Cleveland Cavaliers,0.703,N,128,120,Houston Rockets,1.19
4,2016-11-01,23:00,Indiana Pacers vs Los Angeles Lakers,Indiana Pacers,Los Angeles Lakers,1.23,4.58,Indiana Pacers,Indiana Pacers,0.737,N,115,108,Los Angeles Lakers,1.23
5,2016-11-01,23:00,Philadelphia 76ers vs Orlando Magic,Philadelphia 76ers,Orlando Magic,2.81,1.47,Orlando Magic,Philadelphia 76ers,0.549,Y,101,103,Orlando Magic,2.81
6,2016-11-01,23:30,Detroit Pistons vs New York Knicks,Detroit Pistons,New York Knicks,1.57,2.52,Detroit Pistons,Detroit Pistons,0.735,N,102,89,New York Knicks,1.57
7,2016-11-01,23:30,Miami Heat vs Sacramento Kings,Miami Heat,Sacramento Kings,1.6,2.46,Miami Heat,Miami Heat,0.642,N,108,96OT,Sacramento Kings,1.6
8,2016-11-02,23:00,Charlotte Hornets vs Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,1.08,9.36,Charlotte Hornets,Charlotte Hornets,0.89,N,109,93,Philadelphia 76ers,1.08
9,2016-11-02,23:00,Washington Wizards vs Toronto Raptors,Washington Wizards,Toronto Raptors,1.95,1.92,Toronto Raptors,Toronto Raptors,0.759,N,103,113,Toronto Raptors,1.95
10,2016-11-02,23:30,Atlanta Hawks vs Los Angeles Lakers,Atlanta Hawks,Los Angeles Lakers,1.12,7.4,Atlanta Hawks,Atlanta Hawks,0.764,N,116,123,Los Angeles Lakers,1.12
11,2016-11-02,23:30,Brooklyn Nets vs Detroit Pistons,Brooklyn Nets,Detroit Pistons,2.52,1.57,Detroit Pistons,Detroit Pistons,0.671,N,109,101,Detroit Pistons,2.52
12,2016-11-02,23:30,New York Knicks vs Houston Rockets,New York Knicks,Houston Rockets,1.91,1.96,New York Knicks,Houston Rockets,0.704,Y,99,118,Houston Rockets,1.91
