ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
0,New York Knicks,88,Cleveland Cavaliers,117,1,1,0.91018287537,2016-10-25
1,San Antonio Spurs,129,Golden State Warriors,100,0,1,0.821651084948,2016-10-25
2,Utah Jazz,104,Portland Trail Blazers,113,1,0,0.662855891109,2016-10-25
3,Brooklyn Nets,117,Boston Celtics,122,1,1,0.890574136042,2016-10-26
4,Dallas Mavericks,121,Indiana Pacers,130,1,1,0.724364157799,2016-10-26
5,Houston Rockets,114,Los Angeles Lakers,120,1,0,0.803708172402,2016-10-26
6,Minnesota Timberwolves,98,Memphis Grizzlies,102,1,1,0.704351075131,2016-10-26
7,Charlotte Hornets,107,Milwaukee Bucks,96,0,1,0.63769172486,2016-10-26
8,Denver Nuggets,107,New Orleans Pelicans,102,0,1,0.586711918381,2016-10-26
9,Miami Heat,108,Orlando Magic,96,0,1,0.519604959896,2016-10-26
10,Oklahoma City Thunder,103,Philadelphia 76ers,97,0,0,0.694701330469,2016-10-26
11,Sacramento Kings,113,Phoenix Suns,94,0,0,0.564069152329,2016-10-26
12,Detroit Pistons,91,Toronto Raptors,109,1,1,0.886574024333,2016-10-26
13,Washington Wizards,99,Atlanta Hawks,114,1,1,0.613731999362,2016-10-27
14,Boston Celtics,99,Chicago Bulls,105,1,1,0.620470882057,2016-10-27
15,Los Angeles Clippers,114,Portland Trail Blazers,106,0,0,0.767795653209,2016-10-27
16,San Antonio Spurs,102,Sacramento Kings,94,0,0,0.691247733756,2016-10-27
17,Indiana Pacers,94,Brooklyn Nets,103,1,0,0.543540894194,2016-10-28
18,Houston Rockets,106,Dallas Mavericks,98,0,0,0.793331403189,2016-10-28
19,Orlando Magic,82,Detroit Pistons,108,1,1,0.826942391936,2016-10-28
20,Charlotte Hornets,97,Miami Heat,91,0,0,0.502840980086,2016-10-28
21,Golden State Warriors,122,New Orleans Pelicans,114,0,0,0.879855824311,2016-10-28
22,Phoenix Suns,110,Oklahoma City Thunder,113,1,1,0.874335775077,2016-10-28
23,Cleveland Cavaliers,94,Toronto Raptors,91,0,1,0.68178398273,2016-10-28
24,Los Angeles Lakers,89,Utah Jazz,96,1,1,0.901974511297,2016-10-28
25,Indiana Pacers,101,Chicago Bulls,118,1,1,0.775254099913,2016-10-29
26,Boston Celtics,104,Charlotte Hornets,98,0,1,0.624527188002,2016-10-29
