,Tm,Season_Yr,PF_Off,Yds_Off,Ply_Off,Y_Per_P_Off,TO_Off,FL_Off,1stD_Off,Cmp_Off,Att_Off,TD_Off,Int_Off,NY_Per_A_Off,Y_Per_A_Off,Pen_Off,1stPy_Off,Sc_Perc_Off,TO_Perc_Off,EXP_Off,Cmp_POff,Att_POff,Cmp_Perc_Off,Yds_POff,TD_POff,TD_Perc_Off,Int_POff,Int_Perc_Off,Lng,Y_Per_A_POff,AY_Per_A_Off,Y_Per_C_Off,Y_Per_G_Off,Rate_Off,Sk_Off,NY_Per_A_POff,ANY_Per_A_Off,Sk_Perc_Off,4QC,GWD,EXP_POff,PF_Def,Yds_Def,Ply_Def,Y_Per_P_Def,TO_Def,FL_Def,1stD_Def,Cmp_Def,Att_Def,TD_Def,Int_Def,NY_Per_A_Def,Y_Per_A_Def,Pen_Def,1stPy_Def,Sc_Perc_Def,TO_Perc_Def,EXP_Def,Cmp_PDef,Att_PDef,Cmp_Perc_Def,Yds_PDef,TD_PDef,TD_Perc_Def,Int_PDef,Int_Perc_Def,Y_Per_A_PDef,AY_Per_A_Def,Y_Per_C_Def,Y_Per_G_Def,Rate_Def,Sk_Def,NY_Per_A_PDef,ANY_Per_A_Def,Sk_Perc_Def,EXP_PDef
0,Atlanta Falcons,2016,469,5780,875,6.6,11,4,333,320,468,32,7,8.3,4.4,89,28,51.6,7.2,196.87,320,468,68.4,4146,32,6.8,7,1.5,76,9.3,10.0,13.6,296.1,114.4,32,8.3,8.9,6.4,1.0,2.0,183.94,358,5164,916,5.6,19,10,315,375,562,28,9,6.3,4.4,103,28,38.8,11.2,-91.52,375,562,66.7,3743,28,5.0,9,1.6,7.0,7.3,10.5,267.4,96.9,30,6.3,6.6,5.1,-102.96
1,New Orleans Saints,2016,406,5926,963,6.2,23,9,344,420,590,35,14,7.2,4.2,94,22,44.7,13.8,148.75,420,590,71.2,4439,35,5.9,14,2.4,98,7.8,7.9,11.0,317.1,103.8,23,7.2,7.4,3.8,2.0,4.0,155.01,392,5192,891,5.8,19,12,305,328,511,21,7,7.1,4.0,88,27,44.4,12.4,-103.5,328,511,64.2,3797,21,4.1,7,1.4,7.8,8.0,12.1,271.2,96.1,27,7.1,7.3,5.0,-138.95
2,Oakland Raiders,2016,377,5289,926,5.7,11,5,295,336,530,25,6,6.7,4.3,124,33,40.6,6.5,91.06,336,530,63.4,3634,25,4.7,6,1.1,75,7.0,7.4,11.0,259.6,95.0,15,6.7,7.1,2.8,7.0,7.0,121.43,336,5262,867,6.1,26,13,280,292,485,23,13,7.1,4.6,106,30,35.8,13.9,-73.56,292,485,60.2,3626,23,4.7,13,2.7,7.8,7.5,12.9,259.0,89.3,25,7.1,6.9,4.9,-73.68
3,San Diego Chargers,2016,366,4954,885,5.6,32,14,295,304,496,29,18,6.8,3.8,88,32,38.3,18.5,27.49,304,496,61.3,3607,29,5.8,18,3.6,59,7.7,7.2,12.5,257.6,89.4,36,6.8,6.3,6.8,1.0,1.0,63.06,366,4938,899,5.5,27,10,280,324,524,19,17,6.6,3.8,111,18,38.3,15.6,2.81,324,524,61.8,3598,19,3.6,17,3.2,7.2,6.5,11.7,257.0,82.2,25,6.6,5.9,4.6,-40.31
4,Dallas Cowboys,2016,366,5457,905,6.0,13,9,320,293,433,20,4,7.2,4.8,92,20,44.7,8.7,150.71,293,433,67.7,3294,20,4.6,4,0.9,83,7.9,8.4,11.7,235.3,103.0,24,7.2,7.7,5.3,5.0,5.0,120.89,258,4838,864,5.6,18,10,283,372,544,23,8,6.5,3.9,81,23,34.9,11.6,-54.35,372,544,68.4,3706,23,4.2,8,1.5,7.1,7.3,10.4,264.7,96.7,30,6.5,6.6,5.2,-96.59
5,New England Patriots,2016,365,5459,923,5.9,11,9,308,325,487,26,2,7.5,4.0,83,34,40.9,5.0,143.69,325,487,66.7,3821,26,5.3,2,0.4,79,8.1,9.0,12.2,272.9,107.7,23,7.5,8.3,4.5,2.0,2.0,175.22,233,4704,886,5.3,17,8,264,336,538,19,9,6.1,3.9,98,22,28.5,8.9,-8.3,336,538,62.5,3473,19,3.5,9,1.7,6.9,6.8,11.0,248.1,87.5,32,6.1,6.0,5.6,-37.33
6,Green Bay Packers,2016,363,5104,900,5.7,17,9,302,348,542,32,8,6.3,4.6,87,34,43.1,10.5,131.48,348,542,64.2,3596,32,5.9,8,1.5,60,7.0,7.5,10.9,256.9,98.3,30,6.3,6.8,5.2,0.0,2.0,140.71,339,4969,849,5.9,22,6,283,310,480,27,16,7.0,4.0,96,22,41.5,14.3,-82.73,310,480,64.6,3623,27,5.6,16,3.3,8.1,7.7,12.5,258.8,94.4,34,7.0,6.7,6.6,-96.7
7,Indianapolis Colts,2016,362,5056,917,5.5,17,5,307,327,514,28,12,6.5,3.9,95,35,41.3,11.0,80.25,327,514,63.6,3624,28,5.4,12,2.3,64,7.6,7.6,11.9,258.9,95.0,40,6.5,6.6,7.2,3.0,3.0,94.43,339,5193,881,5.9,15,7,303,330,509,23,8,6.8,4.5,107,32,42.1,9.9,-91.15,330,509,64.8,3659,23,4.5,8,1.6,7.6,7.8,11.7,261.4,96.1,30,6.8,7.0,5.6,-113.64
8,Buffalo Bills,2016,358,4847,860,5.6,9,3,284,245,404,14,6,5.7,5.5,107,26,38.4,6.0,110.03,245,404,60.6,2557,14,3.5,6,1.5,84,6.8,6.8,11.2,182.6,86.2,41,5.7,5.8,9.2,1.0,1.0,44.59,314,4889,890,5.5,17,6,298,270,451,15,11,6.4,4.3,102,33,37.8,10.3,-45.56,270,451,59.9,3147,15,3.3,11,2.4,7.5,7.1,12.6,224.8,84.2,38,6.4,6.0,7.8,-55.39
9,Washington Redskins,2016,345,5692,891,6.4,18,8,308,367,543,23,10,7.5,4.4,98,27,44.4,11.3,129.58,367,543,67.6,4242,23,4.2,10,1.8,80,8.1,8.1,12.0,303.0,98.5,19,7.5,7.6,3.4,4.0,4.0,163.75,343,5256,915,5.7,16,8,320,346,522,20,8,6.5,4.5,91,29,40.4,10.3,-115.85,346,522,66.3,3641,20,3.8,8,1.5,7.4,7.5,11.2,260.1,94.7,36,6.5,6.6,6.5,-124.63
