ID,Date,Time,League,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result
0,2017-01-01,14:00:00,NFL,Carolina Panthers @ Tampa Bay Buccaneers,Carolina Panthers,Tampa Bay Buccaneers,3.06,1.39,Tampa Bay Buccaneers,Tampa Bay Buccaneers,0.671,N,Upcoming
1,2017-01-01,14:00:00,NFL,Buffalo Bills @ New York Jets,Buffalo Bills,New York Jets,1.53,2.54,Buffalo Bills,Buffalo Bills,0.73,N,Upcoming
2,2017-01-01,14:00:00,NFL,Baltimore Ravens @ Cincinnati Bengals,Baltimore Ravens,Cincinnati Bengals,2.14,1.73,Cincinnati Bengals,Cincinnati Bengals,0.527,N,Upcoming
3,2017-01-01,14:00:00,NFL,Jacksonville Jaguars @ Indianapolis Colts,Jacksonville Jaguars,Indianapolis Colts,2.8,1.45,Indianapolis Colts,Indianapolis Colts,0.792,N,Upcoming
4,2017-01-01,14:00:00,NFL,Houston Texans @ Tennessee Titans,Houston Texans,Tennessee Titans,2.42,1.57,Tennessee Titans,Tennessee Titans,0.566,N,Upcoming
5,2017-01-01,14:00:00,NFL,New England Patriots @ Miami Dolphins,New England Patriots,Miami Dolphins,1.21,4.4,New England Patriots,New England Patriots,0.581,N,Upcoming
6,2017-01-01,14:00:00,NFL,Dallas Cowboys @ Philadelphia Eagles,Dallas Cowboys,Philadelphia Eagles,2.66,1.49,Philadelphia Eagles,Dallas Cowboys,0.72,Y,Upcoming
7,2017-01-01,14:00:00,NFL,Chicago Bears @ Minnesota Vikings,Chicago Bears,Minnesota Vikings,2.78,1.45,Minnesota Vikings,Minnesota Vikings,0.77,N,Upcoming
8,2017-01-01,14:00:00,NFL,Cleveland Browns @ Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers,3.01,1.4,Pittsburgh Steelers,Pittsburgh Steelers,0.931,N,Upcoming
9,2017-01-01,17:25:00,NFL,New Orleans Saints @ Atlanta Falcons,New Orleans Saints,Atlanta Falcons,3.19,1.36,Atlanta Falcons,Atlanta Falcons,0.695,N,Upcoming
10,2017-01-01,17:25:00,NFL,Kansas City Chiefs @ San Diego Chargers,Kansas City Chiefs,San Diego Chargers,1.41,2.95,Kansas City Chiefs,Kansas City Chiefs,0.621,N,Upcoming
11,2017-01-01,17:25:00,NFL,New York Giants @ Washington Redskins,New York Giants,Washington Redskins,3.67,1.29,Washington Redskins,Washington Redskins,0.593,N,Upcoming
12,2017-01-01,17:25:00,NFL,Arizona Cardinals @ Los Angeles Rams,Arizona Cardinals,Los Angeles Rams,1.38,3.1,Arizona Cardinals,Arizona Cardinals,0.654,N,Upcoming
13,2017-01-01,17:25:00,NFL,Oakland Raiders @ Denver Broncos,Oakland Raiders,Denver Broncos,2.02,1.81,Denver Broncos,Oakland Raiders,0.627,Y,Upcoming
14,2017-01-01,17:25:00,NFL,Seattle Seahawks @ San Francisco 49ers,Seattle Seahawks,San Francisco 49ers,1.23,4.28,Seattle Seahawks,Seattle Seahawks,0.837,N,Upcoming
15,2017-01-01,21:30:00,NFL,Green Bay Packers @ Detroit Lions,Green Bay Packers,Detroit Lions,1.54,2.5,Green Bay Packers,Detroit Lions,0.725,Y,Upcoming
