ID,Date,Time,League,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result
0,2016-12-23,20:00:00,NHL,Montreal Canadiens @ Columbus Blue Jackets,Montreal Canadiens,Columbus Blue Jackets,2.29,1.62,Columbus Blue Jackets,Columbus Blue Jackets,0.615,N,Upcoming
1,2016-12-23,20:00:00,NHL,Buffalo Sabres @ New York Islanders,Buffalo Sabres,New York Islanders,2.2,1.67,New York Islanders,New York Islanders,0.587,N,Upcoming
2,2016-12-23,20:00:00,NHL,Minnesota Wild @ New York Rangers,Minnesota Wild,New York Rangers,2.27,1.63,New York Rangers,New York Rangers,0.588,N,Upcoming
3,2016-12-23,20:00:00,NHL,New Jersey Devils @ Pittsburgh Penguins,New Jersey Devils,Pittsburgh Penguins,2.85,1.42,Pittsburgh Penguins,Pittsburgh Penguins,0.745,N,Upcoming
4,2016-12-23,20:00:00,NHL,Tampa Bay Lightning @ Washington Capitals,Tampa Bay Lightning,Washington Capitals,2.79,1.44,Washington Capitals,Washington Capitals,0.651,N,Upcoming
5,2016-12-23,20:30:00,NHL,Boston Bruins @ Carolina Hurricanes,Boston Bruins,Carolina Hurricanes,1.91,1.89,Carolina Hurricanes,Boston Bruins,0.513,Y,Upcoming
6,2016-12-23,20:30:00,NHL,Detroit Red Wings @ Florida Panthers,Detroit Red Wings,Florida Panthers,2.28,1.63,Florida Panthers,Florida Panthers,0.578,N,Upcoming
7,2016-12-23,21:30:00,NHL,Colorado Avalanche @ Chicago Blackhawks,Colorado Avalanche,Chicago Blackhawks,3.27,1.33,Chicago Blackhawks,Chicago Blackhawks,0.808,N,Upcoming
8,2016-12-23,21:30:00,NHL,Los Angeles Kings @ Dallas Stars,Los Angeles Kings,Dallas Stars,2.1,1.73,Dallas Stars,Los Angeles Kings,0.61,Y,Upcoming
9,2016-12-23,22:00:00,NHL,Toronto Maple Leafs @ Arizona Coyotes,Toronto Maple Leafs,Arizona Coyotes,1.67,2.21,Toronto Maple Leafs,Toronto Maple Leafs,0.56,N,Upcoming
10,2016-12-23,22:00:00,NHL,Vancouver Canucks @ Calgary Flames,Vancouver Canucks,Calgary Flames,2.63,1.49,Calgary Flames,Calgary Flames,0.629,N,Upcoming
11,2016-12-23,23:30:00,NHL,Edmonton Oilers @ San Jose Sharks,Edmonton Oilers,San Jose Sharks,2.37,1.59,San Jose Sharks,San Jose Sharks,0.643,N,Upcoming
12,2016-12-27,20:00:00,NHL,Boston Bruins @ Columbus Blue Jackets,Boston Bruins,Columbus Blue Jackets,2.95,2.18,Columbus Blue Jackets,Columbus Blue Jackets,0.713,N,Upcoming
13,2016-12-27,20:00:00,NHL,Pittsburgh Penguins @ New Jersey Devils,Pittsburgh Penguins,New Jersey Devils,1.94,3.54,Pittsburgh Penguins,Pittsburgh Penguins,0.656,N,Upcoming
14,2016-12-27,20:00:00,NHL,Washington Capitals @ New York Islanders,Washington Capitals,New York Islanders,2.14,3.01,Washington Capitals,Washington Capitals,0.619,N,Upcoming
15,2016-12-27,20:00:00,NHL,Ottawa Senators @ New York Rangers,Ottawa Senators,New York Rangers,3.42,1.96,New York Rangers,New York Rangers,0.678,N,Upcoming
16,2016-12-27,20:30:00,NHL,Buffalo Sabres @ Detroit Red Wings,Buffalo Sabres,Detroit Red Wings,2.89,2.23,Detroit Red Wings,Detroit Red Wings,0.589,N,Upcoming
17,2016-12-27,21:00:00,NHL,Minnesota Wild @ Nashville Predators,Minnesota Wild,Nashville Predators,2.73,2.35,Nashville Predators,Minnesota Wild,0.64,Y,Upcoming
18,2016-12-27,21:30:00,NHL,Winnipeg Jets @ Chicago Blackhawks,Winnipeg Jets,Chicago Blackhawks,3.96,1.84,Chicago Blackhawks,Chicago Blackhawks,0.714,N,Upcoming
19,2016-12-27,22:00:00,NHL,Dallas Stars @ Arizona Coyotes,Dallas Stars,Arizona Coyotes,2.19,2.98,Dallas Stars,Arizona Coyotes,0.502,Y,Upcoming
20,2016-12-27,22:00:00,NHL,Calgary Flames @ Colorado Avalanche,Calgary Flames,Colorado Avalanche,2.43,2.59,Calgary Flames,Calgary Flames,0.622,N,Upcoming
21,2016-12-27,23:00:00,NHL,San Jose Sharks @ Anaheim Ducks,San Jose Sharks,Anaheim Ducks,2.66,2.38,Anaheim Ducks,San Jose Sharks,0.567,Y,Upcoming
22,2016-12-28,20:00:00,NHL,Toronto Maple Leafs @ Florida Panthers,Toronto Maple Leafs,Florida Panthers,1.28,1.37,Toronto Maple Leafs,Florida Panthers,0.562,Y,Upcoming
23,2016-12-28,20:00:00,NHL,Carolina Hurricanes @ Pittsburgh Penguins,Carolina Hurricanes,Pittsburgh Penguins,1.28,1.3,Carolina Hurricanes,Pittsburgh Penguins,0.677,Y,Upcoming
24,2016-12-28,20:30:00,NHL,Montreal Canadiens @ Tampa Bay Lightning,Montreal Canadiens,Tampa Bay Lightning,1.28,1.47,Montreal Canadiens,Montreal Canadiens,0.603,N,Upcoming
25,2016-12-28,21:00:00,NHL,Philadelphia Flyers @ St. Louis Blues,Philadelphia Flyers,St. Louis Blues,1.28,1.41,Philadelphia Flyers,St. Louis Blues,0.556,Y,Upcoming
26,2016-12-28,23:00:00,NHL,Los Angeles Kings @ Vancouver Canucks,Los Angeles Kings,Vancouver Canucks,1.28,1.69,Los Angeles Kings,Los Angeles Kings,0.602,N,Upcoming
