ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
0,2016-10-14,01:00,Chicago Blackhawks @ Nashville Predators,Chicago Blackhawks,Nashville Predators,2.61,2.49,Nashville Predators,Chicago Blackhawks,0.602,Y,2,3,Nashville Predators,2.49
1,2016-10-14,02:00,Edmonton Oilers @ Calgary Flames,Edmonton Oilers,Calgary Flames,3.85,2.47,Calgary Flames,Calgary Flames,0.501,N,5,3,Edmonton Oilers,2.47
2,2016-10-14,03:30,Philadelphia Flyers @ Los Angeles Kings,Philadelphia Flyers,Los Angeles Kings,2.71,3.86,Philadelphia Flyers,Los Angeles Kings,0.584,Y,4,2,Philadelphia Flyers,3.86
3,2016-10-15,00:00,San Jose Sharks @ Columbus Blue Jackets,San Jose Sharks,Columbus Blue Jackets,3.87,2.75,Columbus Blue Jackets,Columbus Blue Jackets,0.656,N,3,2,San Jose Sharks,2.75
4,2016-10-15,00:00,Detroit Red Wings @ Florida Panthers,Detroit Red Wings,Florida Panthers,1.84,2.25,Detroit Red Wings,Florida Panthers,0.578,Y,1,4,Florida Panthers,2.25
5,2016-10-15,00:00,Winnipeg Jets @ Minnesota Wild,Winnipeg Jets,Minnesota Wild,3.61,4.15,Winnipeg Jets,Minnesota Wild,0.746,Y,3,4,Minnesota Wild,4.15
6,2016-10-15,00:00,Montreal Canadiens @ Ottawa Senators,Montreal Canadiens,Ottawa Senators,3.79,2.7,Ottawa Senators,Montreal Canadiens,0.565,Y,3pen.,4,Ottawa Senators,2.7
7,2016-10-15,00:00,Anaheim Ducks @ Pittsburgh Penguins,Anaheim Ducks,Pittsburgh Penguins,1.87,2.34,Anaheim Ducks,Pittsburgh Penguins,0.668,Y,2,3,Pittsburgh Penguins,2.34
8,2016-10-15,00:00,New Jersey Devils @ Tampa Bay Lightning,New Jersey Devils,Tampa Bay Lightning,3.53,4.09,New Jersey Devils,Tampa Bay Lightning,0.651,Y,2,3,Tampa Bay Lightning,4.09
9,2016-10-15,00:00,Boston Bruins @ Toronto Maple Leafs,Boston Bruins,Toronto Maple Leafs,3.84,2.33,Toronto Maple Leafs,Boston Bruins,0.55,Y,1,4,Toronto Maple Leafs,2.33
10,2016-10-15,00:00,New York Islanders @ Washington Capitals,New York Islanders,Washington Capitals,2.3,2.68,New York Islanders,Washington Capitals,0.714,Y,1,2,Washington Capitals,2.68
11,2016-10-15,01:00,New York Rangers @ St. Louis Blues,New York Rangers,St. Louis Blues,2.97,4.01,New York Rangers,New York Rangers,0.598,N,2,3,St. Louis Blues,4.01
12,2016-10-15,01:30,Nashville Predators @ Chicago Blackhawks,Nashville Predators,Chicago Blackhawks,2.11,2.62,Nashville Predators,Chicago Blackhawks,0.699,Y,3,5,Chicago Blackhawks,2.62
13,2016-10-15,02:00,Philadelphia Flyers @ Arizona Coyotes,Philadelphia Flyers,Arizona Coyotes,3.96,4.22,Philadelphia Flyers,Philadelphia Flyers,0.629,N,3OT,4,Arizona Coyotes,4.22
