ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
0,St. Louis Blues,5,Chicago Blackhawks,2,0,1,0.628254073875,2016-10-12
1,Calgary Flames,4,Edmonton Oilers,7,1,1,0.604758940637,2016-10-12
2,Toronto Maple Leafs,4,Ottawa Senators,5,1,1,0.644851119557,2016-10-12
3,Los Angeles Kings,1,San Jose Sharks,2,1,1,0.618114957127,2016-10-12
4,Montreal Canadiens,4,Buffalo Sabres,1,0,0,0.700104631813,2016-10-13
5,Boston Bruins,6,Columbus Blue Jackets,3,0,1,0.712751962865,2016-10-13
6,Anaheim Ducks,2,Dallas Stars,4,1,0,0.556185776215,2016-10-13
7,New Jersey Devils,1,Florida Panthers,2,1,1,0.606750901338,2016-10-13
8,New York Islanders,3,New York Rangers,5,1,1,0.767774085039,2016-10-13
9,Washington Capitals,2,Pittsburgh Penguins,3,1,1,0.56471196146,2016-10-13
10,Minnesota Wild,2,St. Louis Blues,3,1,0,0.563504194225,2016-10-13
11,Detroit Red Wings,4,Tampa Bay Lightning,6,1,1,0.622948708547,2016-10-13
12,Carolina Hurricanes,4,Winnipeg Jets,5,1,0,0.506459977369,2016-10-13
13,Edmonton Oilers,5,Calgary Flames,3,0,1,0.501422008884,2016-10-14
14,Philadelphia Flyers,4,Los Angeles Kings,2,0,1,0.584163590317,2016-10-14
15,Chicago Blackhawks,2,Nashville Predators,3,1,0,0.601715747373,2016-10-14
16,Philadelphia Flyers,3,Arizona Coyotes,4,1,0,0.629077755935,2016-10-15
17,San Jose Sharks,3,Columbus Blue Jackets,2,0,1,0.656263053055,2016-10-15
18,Nashville Predators,3,Chicago Blackhawks,5,1,1,0.699231567316,2016-10-15
19,Dallas Stars,5,Colorado Avalanche,6,1,0,0.537954738475,2016-10-15
20,Detroit Red Wings,1,Florida Panthers,4,1,1,0.577581895653,2016-10-15
21,Winnipeg Jets,3,Minnesota Wild,4,1,1,0.745782876154,2016-10-15
22,Montreal Canadiens,3,Ottawa Senators,4,1,0,0.564623040822,2016-10-15
23,Anaheim Ducks,2,Pittsburgh Penguins,3,1,1,0.667925135727,2016-10-15
24,New York Rangers,2,St. Louis Blues,3,1,0,0.597705039193,2016-10-15
25,New Jersey Devils,2,Tampa Bay Lightning,3,1,1,0.650878589869,2016-10-15
26,Boston Bruins,1,Toronto Maple Leafs,4,1,0,0.549687439738,2016-10-15
27,Calgary Flames,1,Vancouver Canucks,2,1,0,0.524703186239,2016-10-15
