,Tm,Season_Yr,W,L,OL,PTS_Perc,GF,GA,SOW,SOL,SRS,SOS,TG_Per_G,PP,PPO,PP_Perc,PPA,PPOA,PK_Perc,SH,SHA,PIM_Per_G,oPIM_Per_G,S,S_Perc,SA,SV_Perc
0,Chicago Blackhawks,2017,22,9,4,0.686,101,84,2,1,0.42,-0.07,5.29,20,108,18.52,25,97,74.23,0,5,6.3,7.1,1002,9.9,1081,0.923
1,Columbus Blue Jackets,2017,22,5,4,0.774,108,64,2,1,1.35,-0.07,5.55,24,89,26.97,16,88,81.82,4,0,8.5,8.6,948,11.2,910,0.931
2,Pittsburgh Penguins,2017,21,8,5,0.691,117,99,2,1,0.62,0.09,6.35,27,124,21.77,25,119,78.99,2,3,9.0,9.6,1186,9.7,1109,0.912
3,New York Rangers,2017,23,11,1,0.671,115,82,2,1,0.9,-0.04,5.63,21,103,20.39,15,96,84.38,5,1,6.5,7.3,1010,11.2,1031,0.921
4,Montreal Canadiens,2017,21,8,4,0.697,103,74,1,1,0.87,-0.01,5.36,21,109,19.27,22,121,81.82,3,2,10.5,8.2,998,10.2,973,0.925
5,Minnesota Wild,2017,20,8,4,0.688,95,62,1,2,0.8,-0.23,4.91,15,91,16.48,14,98,85.71,3,1,8.7,8.5,939,10.0,978,0.939
6,Philadelphia Flyers,2017,20,12,4,0.611,110,108,4,3,-0.01,-0.07,6.06,28,127,22.05,19,106,82.08,2,7,10.5,11.3,1126,9.4,1039,0.899
7,Ottawa Senators,2017,20,11,3,0.632,88,89,3,1,-0.03,0.0,5.21,19,108,17.59,21,116,81.9,3,2,10.7,9.9,978,8.7,1046,0.916
8,Washington Capitals,2017,19,8,4,0.677,83,69,1,3,0.45,0.0,4.9,19,98,19.39,16,102,84.31,2,1,7.8,8.5,942,8.7,880,0.925
9,San Jose Sharks,2017,20,12,1,0.621,84,73,2,0,0.42,0.09,4.76,18,108,16.67,15,85,82.35,2,2,7.5,8.6,1019,8.0,873,0.916
10,Edmonton Oilers,2017,18,12,5,0.586,103,94,2,2,0.18,-0.08,5.63,25,112,22.32,19,107,82.24,3,3,9.4,9.3,1106,9.1,1061,0.913
11,St. Louis Blues,2017,18,12,5,0.586,98,103,1,1,-0.04,0.1,5.74,23,108,21.3,15,119,87.39,0,4,9.3,8.9,998,9.7,982,0.896
12,Anaheim Ducks,2017,17,12,6,0.571,96,99,1,1,-0.04,0.05,5.57,28,115,24.35,24,121,80.17,3,3,11.7,11.8,1026,9.3,1013,0.903
13,Boston Bruins,2017,18,14,3,0.557,83,84,2,1,0.04,0.07,4.77,14,105,13.33,15,115,86.96,2,4,9.3,8.9,1181,6.9,955,0.913
14,Los Angeles Kings,2017,17,13,3,0.561,85,81,1,3,0.19,0.07,5.03,15,97,15.46,17,108,84.26,2,2,9.8,10.1,991,8.5,853,0.909
15,Tampa Bay Lightning,2017,17,14,3,0.544,100,94,2,2,0.13,-0.05,5.71,29,122,23.77,24,116,79.31,2,2,11.3,11.2,1030,9.5,1030,0.911
16,Calgary Flames,2017,17,16,2,0.514,90,102,2,1,-0.29,0.05,5.49,21,113,18.58,26,131,80.15,6,3,12.2,10.7,977,9.0,1035,0.902
17,Carolina Hurricanes,2017,14,11,7,0.547,85,88,2,4,-0.05,0.04,5.41,20,96,20.83,7,82,91.46,4,3,6.3,7.5,953,8.7,875,0.904
18,Nashville Predators,2017,15,13,5,0.53,94,94,1,3,-0.17,-0.17,5.7,22,112,19.64,18,99,81.82,4,4,9.2,9.5,1065,8.7,980,0.907
19,Winnipeg Jets,2017,16,17,3,0.486,95,105,2,1,-0.4,-0.12,5.56,18,118,15.25,30,129,76.74,4,1,10.2,9.9,1001,9.3,1076,0.903
20,Florida Panthers,2017,15,14,5,0.515,82,93,3,3,-0.32,0.0,5.15,17,115,14.78,16,106,84.91,3,1,8.4,8.7,1070,7.4,1016,0.911
21,New Jersey Devils,2017,13,13,7,0.5,79,98,2,2,-0.55,0.03,5.36,17,106,16.04,17,100,83.0,3,4,9.0,9.5,931,8.3,1038,0.908
22,Toronto Maple Leafs,2017,13,12,7,0.516,93,94,0,5,-0.06,-0.02,5.84,18,101,17.82,18,106,83.02,1,3,10.8,11.8,1083,8.6,1036,0.914
23,Dallas Stars,2017,13,14,7,0.485,86,104,0,0,-0.55,-0.02,5.59,21,124,16.94,26,116,77.59,2,6,11.7,11.1,999,8.6,1017,0.898
24,Detroit Red Wings,2017,14,15,4,0.485,79,93,4,0,-0.41,0.02,5.21,14,113,12.39,18,99,81.82,2,3,10.1,10.9,930,8.1,1012,0.908
25,Buffalo Sabres,2017,12,12,8,0.5,70,86,1,5,-0.44,0.06,4.88,23,101,22.77,25,99,74.75,0,0,7.7,8.5,950,7.3,1034,0.922
26,Vancouver Canucks,2017,14,17,3,0.456,85,105,3,1,-0.61,-0.02,5.59,14,102,13.73,19,95,80.0,2,1,9.8,10.0,969,8.5,1026,0.899
27,New York Islanders,2017,12,14,6,0.469,85,101,1,2,-0.28,0.22,5.81,12,88,13.64,22,108,79.63,1,2,9.4,7.7,946,8.9,1065,0.907
28,Arizona Coyotes,2017,11,17,5,0.409,74,104,3,1,-0.86,0.05,5.39,15,99,15.15,25,116,78.45,3,2,11.8,10.5,939,7.6,1154,0.911
29,Colorado Avalanche,2017,11,20,1,0.359,65,105,0,1,-1.2,0.05,5.31,16,108,14.81,25,120,79.17,3,1,11.0,10.3,910,7.1,1025,0.899
