ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
0,2016-10-29,17:30,Philadelphia 76ers vs Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,4.02,1.27,Atlanta Hawks,Atlanta Hawks,0.582,N,72,104,Atlanta Hawks,4.02
1,2016-10-30,20:30,Los Angeles Clippers vs Utah Jazz,Los Angeles Clippers,Utah Jazz,1.31,3.68,Los Angeles Clippers,Los Angeles Clippers,0.714,N,88,75,Utah Jazz,1.31
2,2016-10-30,22:00,Detroit Pistons vs Milwaukee Bucks,Detroit Pistons,Milwaukee Bucks,1.28,3.96,Detroit Pistons,Detroit Pistons,0.629,N,98,83,Milwaukee Bucks,1.28
3,2016-10-30,22:00,Miami Heat vs San Antonio Spurs,Miami Heat,San Antonio Spurs,3.22,1.38,San Antonio Spurs,San Antonio Spurs,0.729,N,99,106,San Antonio Spurs,3.22
4,2016-10-30,22:00,Phoenix Suns vs Golden State Warriors,Phoenix Suns,Golden State Warriors,7.3,1.11,Golden State Warriors,Golden State Warriors,0.926,N,100,106,Golden State Warriors,7.3
5,2016-10-30,23:00,Oklahoma City Thunder vs Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,1.24,4.43,Oklahoma City Thunder,Oklahoma City Thunder,0.844,N,113,96,Los Angeles Lakers,1.24
6,2016-10-31,23:30,Atlanta Hawks vs Sacramento Kings,Atlanta Hawks,Sacramento Kings,1.33,3.52,Atlanta Hawks,Atlanta Hawks,0.642,N,106,95,Sacramento Kings,1.33
7,2016-10-31,23:30,Brooklyn Nets vs Chicago Bulls,Brooklyn Nets,Chicago Bulls,3.4,1.35,Chicago Bulls,Chicago Bulls,0.658,N,88,118,Chicago Bulls,3.4
8,2016-10-31,23:30,Toronto Raptors vs Denver Nuggets,Toronto Raptors,Denver Nuggets,1.34,3.45,Toronto Raptors,Toronto Raptors,0.918,N,105,102,Denver Nuggets,1.34
9,2016-11-01,22:00,Cleveland Cavaliers vs Houston Rockets,Cleveland Cavaliers,Houston Rockets,1.19,5.21,Cleveland Cavaliers,Cleveland Cavaliers,0.686,N,128,120,Houston Rockets,1.19
10,2016-11-01,23:00,Indiana Pacers vs Los Angeles Lakers,Indiana Pacers,Los Angeles Lakers,1.23,4.58,Indiana Pacers,Indiana Pacers,0.725,N,115,108,Los Angeles Lakers,1.23
11,2016-11-01,23:00,Philadelphia 76ers vs Orlando Magic,Philadelphia 76ers,Orlando Magic,2.82,1.47,Orlando Magic,Philadelphia 76ers,0.503,Y,101,103,Orlando Magic,2.82
12,2016-11-01,23:30,Detroit Pistons vs New York Knicks,Detroit Pistons,New York Knicks,1.57,2.53,Detroit Pistons,Detroit Pistons,0.759,N,102,89,New York Knicks,1.57
13,2016-11-01,23:30,Miami Heat vs Sacramento Kings,Miami Heat,Sacramento Kings,1.6,2.46,Miami Heat,Miami Heat,0.626,N,108,96OT,Sacramento Kings,1.6
14,2016-11-02,23:00,Charlotte Hornets vs Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,1.08,9.36,Charlotte Hornets,Charlotte Hornets,0.893,N,109,93,Philadelphia 76ers,1.08
15,2016-11-02,23:00,Washington Wizards vs Toronto Raptors,Washington Wizards,Toronto Raptors,1.95,1.92,Toronto Raptors,Toronto Raptors,0.764,N,103,113,Toronto Raptors,1.95
16,2016-11-02,23:30,Atlanta Hawks vs Los Angeles Lakers,Atlanta Hawks,Los Angeles Lakers,1.12,7.4,Atlanta Hawks,Atlanta Hawks,0.743,N,116,123,Los Angeles Lakers,1.12
