ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
0,2016-10-16,23:00,New York Islanders vs Anaheim Ducks,New York Islanders,Anaheim Ducks,2.03,3.96,New York Islanders,New York Islanders,0.531,N,3,2OT,Anaheim Ducks,2.03
1,2016-10-22,00:00,Boston Bruins vs Montreal Canadiens,Boston Bruins,Montreal Canadiens,2.71,3.88,Boston Bruins,Montreal Canadiens,0.547,Y,2,4,Montreal Canadiens,2.71
2,2016-10-22,00:00,Chicago Blackhawks vs Toronto Maple Leafs,Chicago Blackhawks,Toronto Maple Leafs,2.31,2.55,Chicago Blackhawks,Chicago Blackhawks,0.653,N,5,4pen.,Toronto Maple Leafs,2.31
3,2016-10-22,00:00,Detroit Red Wings vs San Jose Sharks,Detroit Red Wings,San Jose Sharks,3.81,2.45,San Jose Sharks,San Jose Sharks,0.642,N,3,0,San Jose Sharks,3.81
4,2016-10-22,00:00,Florida Panthers vs Colorado Avalanche,Florida Panthers,Colorado Avalanche,2.02,4.02,Florida Panthers,Florida Panthers,0.675,N,5,2,Colorado Avalanche,2.02
5,2016-10-22,00:00,New Jersey Devils vs Minnesota Wild,New Jersey Devils,Minnesota Wild,3.12,3.13,New Jersey Devils,Minnesota Wild,0.697,Y,2,1OT,Minnesota Wild,3.12
6,2016-10-22,00:00,Ottawa Senators vs Tampa Bay Lightning,Ottawa Senators,Tampa Bay Lightning,3.92,2.05,Tampa Bay Lightning,Ottawa Senators,0.598,Y,1,4,Tampa Bay Lightning,3.92
7,2016-10-22,00:00,Philadelphia Flyers vs Carolina Hurricanes,Philadelphia Flyers,Carolina Hurricanes,2.0,3.92,Philadelphia Flyers,Philadelphia Flyers,0.571,N,6,3,Carolina Hurricanes,2.0
8,2016-10-22,00:00,Washington Capitals vs New York Rangers,Washington Capitals,New York Rangers,3.27,2.56,New York Rangers,Washington Capitals,0.507,Y,2,4,New York Rangers,3.27
9,2016-10-22,01:00,Dallas Stars vs Columbus Blue Jackets,Dallas Stars,Columbus Blue Jackets,3.39,1.84,Columbus Blue Jackets,Columbus Blue Jackets,0.74,N,0,3,Columbus Blue Jackets,3.39
