ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
0,2016-10-16,23:00,Anaheim Ducks @ New York Islanders,Anaheim Ducks,New York Islanders,3.96,2.03,New York Islanders,New York Islanders,0.531,N,2OT,3,New York Islanders,2.03
1,2016-10-22,00:00,Montreal Canadiens @ Boston Bruins,Montreal Canadiens,Boston Bruins,3.88,2.71,Boston Bruins,Montreal Canadiens,0.547,Y,4,2,Montreal Canadiens,2.71
2,2016-10-22,00:00,Toronto Maple Leafs @ Chicago Blackhawks,Toronto Maple Leafs,Chicago Blackhawks,2.55,2.31,Chicago Blackhawks,Chicago Blackhawks,0.653,N,4pen.,5,Chicago Blackhawks,2.31
3,2016-10-22,00:00,San Jose Sharks @ Detroit Red Wings,San Jose Sharks,Detroit Red Wings,2.45,3.81,San Jose Sharks,San Jose Sharks,0.642,N,0,3,Detroit Red Wings,3.81
4,2016-10-22,00:00,Colorado Avalanche @ Florida Panthers,Colorado Avalanche,Florida Panthers,4.02,2.02,Florida Panthers,Florida Panthers,0.675,N,2,5,Florida Panthers,2.02
5,2016-10-22,00:00,Minnesota Wild @ New Jersey Devils,Minnesota Wild,New Jersey Devils,3.13,3.12,New Jersey Devils,Minnesota Wild,0.697,Y,1OT,2,New Jersey Devils,3.12
6,2016-10-22,00:00,Tampa Bay Lightning @ Ottawa Senators,Tampa Bay Lightning,Ottawa Senators,2.05,3.92,Tampa Bay Lightning,Ottawa Senators,0.598,Y,4,1,Tampa Bay Lightning,3.92
7,2016-10-22,00:00,Carolina Hurricanes @ Philadelphia Flyers,Carolina Hurricanes,Philadelphia Flyers,3.92,2.0,Philadelphia Flyers,Philadelphia Flyers,0.571,N,3,6,Philadelphia Flyers,2.0
8,2016-10-22,00:00,New York Rangers @ Washington Capitals,New York Rangers,Washington Capitals,2.56,3.27,New York Rangers,Washington Capitals,0.507,Y,4,2,New York Rangers,3.27
9,2016-10-22,01:00,Columbus Blue Jackets @ Dallas Stars,Columbus Blue Jackets,Dallas Stars,1.84,3.39,Columbus Blue Jackets,Columbus Blue Jackets,0.74,N,3,0,Columbus Blue Jackets,3.39
10,2016-10-22,01:00,Pittsburgh Penguins @ Nashville Predators,Pittsburgh Penguins,Nashville Predators,3.64,4.13,Pittsburgh Penguins,Pittsburgh Penguins,0.641,N,1,5,Nashville Predators,4.13
11,2016-10-22,03:00,Vancouver Canucks @ Los Angeles Kings,Vancouver Canucks,Los Angeles Kings,3.95,1.95,Los Angeles Kings,Los Angeles Kings,0.695,N,3pen.,4,Los Angeles Kings,1.95
12,2016-10-22,03:00,Vancouver Canucks @ Los Angeles Kings,Vancouver Canucks,Los Angeles Kings,2.04,3.16,Vancouver Canucks,Los Angeles Kings,0.695,Y,3pen.,4,Los Angeles Kings,3.16
13,2016-10-23,00:00,Arizona Coyotes @ New York Rangers,Arizona Coyotes,New York Rangers,2.41,3.81,Arizona Coyotes,New York Rangers,0.822,Y,2,3,New York Rangers,3.81
14,2016-10-23,01:00,Vancouver Canucks @ Anaheim Ducks,Vancouver Canucks,Anaheim Ducks,4.07,1.8,Anaheim Ducks,Anaheim Ducks,0.66,N,2,4,Anaheim Ducks,1.8
15,2016-10-24,00:30,Philadelphia Flyers @ Montreal Canadiens,Philadelphia Flyers,Montreal Canadiens,1.99,3.94,Philadelphia Flyers,Montreal Canadiens,0.681,Y,1,3,Montreal Canadiens,3.94
16,2016-10-24,01:30,Calgary Flames @ Chicago Blackhawks,Calgary Flames,Chicago Blackhawks,3.25,2.37,Chicago Blackhawks,Chicago Blackhawks,0.618,N,3pen.,2,Calgary Flames,2.37
17,2016-10-25,00:00,Minnesota Wild @ Boston Bruins,Minnesota Wild,Boston Bruins,1.84,3.39,Minnesota Wild,Minnesota Wild,0.552,N,5,0,Minnesota Wild,3.39
18,2016-10-25,00:00,Arizona Coyotes @ New Jersey Devils,Arizona Coyotes,New Jersey Devils,3.56,4.2,Arizona Coyotes,New Jersey Devils,0.612,Y,3,5,New Jersey Devils,4.2
19,2016-10-25,00:00,Florida Panthers @ Pittsburgh Penguins,Florida Panthers,Pittsburgh Penguins,3.81,2.62,Pittsburgh Penguins,Pittsburgh Penguins,0.724,N,2,3,Pittsburgh Penguins,2.62
20,2016-10-25,00:30,Carolina Hurricanes @ Detroit Red Wings,Carolina Hurricanes,Detroit Red Wings,2.92,2.44,Detroit Red Wings,Carolina Hurricanes,0.508,Y,2,4,Detroit Red Wings,2.44
21,2016-10-25,00:30,Buffalo Sabres @ Philadelphia Flyers,Buffalo Sabres,Philadelphia Flyers,2.16,3.89,Buffalo Sabres,Philadelphia Flyers,0.665,Y,3pen.,4,Philadelphia Flyers,3.89
22,2016-10-25,00:30,Tampa Bay Lightning @ Toronto Maple Leafs,Tampa Bay Lightning,Toronto Maple Leafs,4.15,1.91,Toronto Maple Leafs,Toronto Maple Leafs,0.525,N,7,3,Tampa Bay Lightning,1.91
23,2016-10-25,01:00,Calgary Flames @ St. Louis Blues,Calgary Flames,St. Louis Blues,3.88,2.53,St. Louis Blues,St. Louis Blues,0.578,N,4,1,Calgary Flames,2.53
24,2016-10-25,01:30,Winnipeg Jets @ Dallas Stars,Winnipeg Jets,Dallas Stars,2.55,3.82,Winnipeg Jets,Dallas Stars,0.526,Y,2,3,Dallas Stars,3.82
25,2016-10-25,03:00,Anaheim Ducks @ San Jose Sharks,Anaheim Ducks,San Jose Sharks,3.93,2.37,San Jose Sharks,San Jose Sharks,0.682,N,1OT,2,San Jose Sharks,2.37
26,2016-10-25,03:00,Ottawa Senators @ Vancouver Canucks,Ottawa Senators,Vancouver Canucks,2.45,2.59,Ottawa Senators,Ottawa Senators,0.595,N,3,0,Ottawa Senators,2.59
27,2016-10-25,03:30,Columbus Blue Jackets @ Los Angeles Kings,Columbus Blue Jackets,Los Angeles Kings,3.3,3.99,Columbus Blue Jackets,Columbus Blue Jackets,0.634,N,2OT,3,Los Angeles Kings,3.99
28,2016-10-26,00:00,Montreal Canadiens @ New York Islanders,Montreal Canadiens,New York Islanders,1.96,3.8,Montreal Canadiens,Montreal Canadiens,0.618,N,3,2,Montreal Canadiens,3.8
29,2016-10-26,01:00,Boston Bruins @ New York Rangers,Boston Bruins,New York Rangers,4.15,1.79,New York Rangers,New York Rangers,0.661,N,2,5,New York Rangers,1.79
30,2016-10-26,02:30,Washington Capitals @ Edmonton Oilers,Washington Capitals,Edmonton Oilers,2.95,3.86,Washington Capitals,Washington Capitals,0.54,N,1,4,Edmonton Oilers,3.86
31,2016-10-26,03:30,Nashville Predators @ Anaheim Ducks,Nashville Predators,Anaheim Ducks,2.15,2.13,Anaheim Ducks,Anaheim Ducks,0.613,N,1,6,Anaheim Ducks,2.13
32,2016-10-27,00:00,Minnesota Wild @ Buffalo Sabres,Minnesota Wild,Buffalo Sabres,2.79,3.31,Minnesota Wild,Minnesota Wild,0.693,N,4,0,Minnesota Wild,3.31
33,2016-10-27,00:00,Arizona Coyotes @ Philadelphia Flyers,Arizona Coyotes,Philadelphia Flyers,2.29,3.78,Arizona Coyotes,Philadelphia Flyers,0.72,Y,5,4,Arizona Coyotes,3.78
34,2016-10-27,00:00,New York Islanders @ Pittsburgh Penguins,New York Islanders,Pittsburgh Penguins,3.91,2.98,Pittsburgh Penguins,Pittsburgh Penguins,0.702,N,2,4,Pittsburgh Penguins,2.98
35,2016-10-27,00:30,Tampa Bay Lightning @ Montreal Canadiens,Tampa Bay Lightning,Montreal Canadiens,2.71,3.92,Tampa Bay Lightning,Montreal Canadiens,0.701,Y,1,3,Montreal Canadiens,3.92
36,2016-10-27,00:30,Florida Panthers @ Toronto Maple Leafs,Florida Panthers,Toronto Maple Leafs,4.02,1.95,Toronto Maple Leafs,Toronto Maple Leafs,0.566,N,2,3,Toronto Maple Leafs,1.95
37,2016-10-27,01:00,Detroit Red Wings @ St. Louis Blues,Detroit Red Wings,St. Louis Blues,3.79,2.62,St. Louis Blues,St. Louis Blues,0.64,N,2pen.,1,Detroit Red Wings,2.62
38,2016-10-27,01:00,Dallas Stars @ Winnipeg Jets,Dallas Stars,Winnipeg Jets,2.28,2.4,Dallas Stars,Winnipeg Jets,0.581,Y,1,4,Winnipeg Jets,2.4
39,2016-10-27,03:30,Nashville Predators @ Los Angeles Kings,Nashville Predators,Los Angeles Kings,1.83,2.21,Nashville Predators,Los Angeles Kings,0.65,Y,2OT,3,Los Angeles Kings,2.21
40,2016-10-27,03:30,Columbus Blue Jackets @ San Jose Sharks,Columbus Blue Jackets,San Jose Sharks,3.73,4.03,Columbus Blue Jackets,Columbus Blue Jackets,0.54,N,1,3,San Jose Sharks,4.03
