ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
0,New York Knicks,88,Cleveland Cavaliers,117,1,1,0.901712275852,2016-10-25
1,San Antonio Spurs,129,Golden State Warriors,100,0,1,0.799142387733,2016-10-25
2,Utah Jazz,104,Portland Trail Blazers,113,1,0,0.659454815051,2016-10-25
3,Brooklyn Nets,117,Boston Celtics,122,1,1,0.8890489449,2016-10-26
4,Dallas Mavericks,121,Indiana Pacers,130,1,1,0.718413378404,2016-10-26
5,Houston Rockets,114,Los Angeles Lakers,120,1,0,0.795386931468,2016-10-26
6,Minnesota Timberwolves,98,Memphis Grizzlies,102,1,1,0.6930235423,2016-10-26
7,Charlotte Hornets,107,Milwaukee Bucks,96,0,1,0.65225120782,2016-10-26
8,Denver Nuggets,107,New Orleans Pelicans,102,0,1,0.585091350345,2016-10-26
9,Miami Heat,108,Orlando Magic,96,0,1,0.577468541381,2016-10-26
10,Oklahoma City Thunder,103,Philadelphia 76ers,97,0,0,0.72228956117,2016-10-26
11,Sacramento Kings,113,Phoenix Suns,94,0,0,0.55675682752,2016-10-26
12,Detroit Pistons,91,Toronto Raptors,109,1,1,0.86711960113,2016-10-26
13,Washington Wizards,99,Atlanta Hawks,114,1,1,0.614762959977,2016-10-27
14,Boston Celtics,99,Chicago Bulls,105,1,1,0.583532353693,2016-10-27
15,Los Angeles Clippers,114,Portland Trail Blazers,106,0,0,0.729182735089,2016-10-27
16,San Antonio Spurs,102,Sacramento Kings,94,0,0,0.714695396686,2016-10-27
17,Indiana Pacers,94,Brooklyn Nets,103,1,0,0.528539999286,2016-10-28
18,Houston Rockets,106,Dallas Mavericks,98,0,0,0.789761325179,2016-10-28
19,Orlando Magic,82,Detroit Pistons,108,1,1,0.820974542506,2016-10-28
20,Charlotte Hornets,97,Miami Heat,91,0,0,0.522561345911,2016-10-28
21,Golden State Warriors,122,New Orleans Pelicans,114,0,0,0.871297190126,2016-10-28
22,Phoenix Suns,110,Oklahoma City Thunder,113,1,1,0.88333907934,2016-10-28
23,Cleveland Cavaliers,94,Toronto Raptors,91,0,1,0.691273232997,2016-10-28
24,Los Angeles Lakers,89,Utah Jazz,96,1,1,0.894617949326,2016-10-28
25,Indiana Pacers,101,Chicago Bulls,118,1,1,0.755604470089,2016-10-29
26,Boston Celtics,104,Charlotte Hornets,98,0,1,0.622401469458,2016-10-29
27,Orlando Magic,99,Cleveland Cavaliers,105,1,1,0.930384649581,2016-10-29
28,Portland Trail Blazers,115,Denver Nuggets,113,0,1,0.691565154716,2016-10-29
29,Brooklyn Nets,108,Milwaukee Bucks,110,1,1,0.884364512462,2016-10-29
30,Memphis Grizzlies,104,New York Knicks,111,1,1,0.588614000583,2016-10-29
31,Atlanta Hawks,104,Philadelphia 76ers,72,0,0,0.582132646402,2016-10-29
