,Team,Season_Yr,WP,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS_Perc,O_eFG_Perc,O_TOV_Perc,ORB_Perc,O_FT_per_FGA,D_eFG_Perc,D_TOV_Perc,DRB_Perc,D_FT_per_FGA
0,Golden State Warriors,2017,0.844,12.91,-0.93,11.98,115.9,103.1,100.5,0.272,0.357,0.599,0.563,13.3,22.3,0.215,0.481,13.3,75.4,0.206
1,Toronto Raptors,2017,0.767,9.0,0.15,9.15,116.7,107.3,95.2,0.301,0.287,0.577,0.532,10.9,25.4,0.243,0.507,14.4,73.8,0.209
2,Cleveland Cavaliers,2017,0.733,7.17,0.37,7.53,113.8,106.4,96.4,0.292,0.39,0.572,0.535,12.4,23.9,0.222,0.502,12.3,75.5,0.168
3,Houston Rockets,2017,0.727,7.33,-0.53,6.81,115.0,107.6,98.0,0.267,0.451,0.586,0.554,14.2,26.7,0.201,0.509,13.2,76.4,0.208
4,San Antonio Spurs,2017,0.71,6.65,0.14,6.78,111.4,104.4,93.8,0.274,0.269,0.57,0.526,12.7,23.1,0.225,0.496,13.5,77.7,0.191
5,Los Angeles Clippers,2017,0.727,7.03,-0.68,6.35,112.2,105.0,96.2,0.312,0.322,0.57,0.53,12.0,22.0,0.237,0.493,13.2,76.6,0.215
6,Utah Jazz,2017,0.625,3.81,0.03,3.84,108.9,104.7,91.1,0.296,0.345,0.569,0.529,13.6,21.2,0.227,0.478,11.2,77.1,0.191
7,Boston Celtics,2017,0.562,2.09,-0.02,2.08,109.5,107.4,96.0,0.247,0.363,0.549,0.511,11.4,21.7,0.197,0.496,13.1,73.9,0.228
8,Milwaukee Bucks,2017,0.552,1.79,-0.01,1.79,108.0,106.2,96.0,0.264,0.29,0.553,0.516,12.9,22.9,0.202,0.494,13.1,76.5,0.219
9,Oklahoma City Thunder,2017,0.562,2.16,-0.63,1.53,108.0,105.8,97.8,0.293,0.294,0.546,0.51,13.5,26.4,0.212,0.503,12.6,77.8,0.197
10,Detroit Pistons,2017,0.515,0.79,0.59,1.38,105.2,104.4,93.8,0.22,0.256,0.524,0.493,11.2,21.9,0.163,0.497,12.2,80.0,0.199
11,Charlotte Hornets,2017,0.581,2.03,-0.77,1.26,107.3,105.2,96.6,0.299,0.317,0.537,0.494,10.9,20.7,0.228,0.504,11.7,79.8,0.153
12,Chicago Bulls,2017,0.516,0.81,-0.73,0.07,106.7,105.8,94.3,0.272,0.227,0.518,0.472,12.2,29.6,0.216,0.499,12.1,75.6,0.153
13,Memphis Grizzlies,2017,0.471,-0.44,0.21,-0.23,103.0,103.4,92.9,0.288,0.301,0.515,0.468,12.3,23.9,0.225,0.492,14.3,79.0,0.258
14,Washington Wizards,2017,0.467,-1.47,0.01,-1.45,107.7,109.2,96.5,0.256,0.26,0.549,0.511,13.0,24.0,0.198,0.53,14.4,74.9,0.208
15,Minnesota Timberwolves,2017,0.419,-2.06,0.27,-1.8,108.8,111.0,94.8,0.294,0.279,0.546,0.502,13.6,27.9,0.23,0.526,13.4,76.3,0.231
16,Denver Nuggets,2017,0.452,-1.94,0.06,-1.88,108.5,110.5,98.1,0.304,0.304,0.543,0.502,13.9,28.5,0.227,0.519,11.0,80.0,0.22
17,Sacramento Kings,2017,0.452,-1.81,-0.17,-1.98,106.9,108.8,94.7,0.293,0.293,0.543,0.5,13.0,22.5,0.225,0.52,14.1,75.6,0.239
18,New York Knicks,2017,0.433,-2.33,0.25,-2.09,108.2,110.6,96.9,0.241,0.28,0.535,0.497,12.5,26.7,0.191,0.504,11.8,74.0,0.231
19,Atlanta Hawks,2017,0.419,-2.23,-0.1,-2.32,104.0,106.3,97.9,0.267,0.309,0.541,0.508,14.6,24.3,0.191,0.515,14.0,76.8,0.172
20,Indiana Pacers,2017,0.438,-1.97,-0.8,-2.77,104.9,106.9,97.7,0.26,0.265,0.542,0.499,13.0,20.0,0.21,0.502,13.8,74.7,0.215
21,Miami Heat,2017,0.406,-3.13,0.33,-2.79,103.3,106.5,94.4,0.252,0.288,0.513,0.487,12.1,25.0,0.167,0.491,12.0,76.1,0.204
22,Portland Trail Blazers,2017,0.364,-4.0,0.9,-3.1,109.8,113.9,97.6,0.278,0.338,0.558,0.517,12.4,22.3,0.218,0.517,11.6,75.2,0.263
23,New Orleans Pelicans,2017,0.364,-3.76,0.17,-3.59,103.3,107.1,97.7,0.27,0.291,0.529,0.489,11.7,18.4,0.204,0.508,12.0,78.0,0.177
24,Dallas Mavericks,2017,0.312,-5.94,1.56,-4.38,103.3,109.7,91.2,0.22,0.365,0.527,0.49,11.9,19.4,0.174,0.541,15.2,78.0,0.231
25,Orlando Magic,2017,0.364,-3.79,-0.66,-4.45,103.2,107.1,95.1,0.245,0.299,0.519,0.488,11.8,21.4,0.174,0.501,11.6,76.8,0.191
26,Los Angeles Lakers,2017,0.314,-5.94,0.7,-5.24,106.1,112.1,98.4,0.267,0.295,0.538,0.497,14.2,26.1,0.207,0.536,12.9,75.0,0.201
27,Phoenix Suns,2017,0.29,-6.84,-0.04,-6.88,104.4,111.0,101.1,0.294,0.277,0.533,0.49,13.8,25.5,0.224,0.526,13.9,77.9,0.268
28,Brooklyn Nets,2017,0.267,-8.17,0.75,-7.42,103.7,111.7,102.0,0.299,0.387,0.549,0.505,15.1,20.5,0.233,0.52,11.9,75.1,0.2
29,Philadelphia 76ers,2017,0.267,-7.5,-0.42,-7.92,100.5,108.1,96.9,0.233,0.355,0.532,0.5,15.6,21.1,0.173,0.506,12.6,75.4,0.217
