,Tm,Season_Yr,PF_Off,Yds_Off,Ply_Off,Y_Per_P_Off,TO_Off,FL_Off,1stD_Off,Cmp_Off,Att_Off,TD_Off,Int_Off,NY_Per_A_Off,Y_Per_A_Off,Pen_Off,1stPy_Off,Sc_Perc_Off,TO_Perc_Off,EXP_Off,Cmp_POff,Att_POff,Cmp_Perc_Off,Yds_POff,TD_POff,TD_Perc_Off,Int_POff,Int_Perc_Off,Lng,Y_Per_A_POff,AY_Per_A_Off,Y_Per_C_Off,Y_Per_G_Off,Rate_Off,Sk_Off,NY_Per_A_POff,ANY_Per_A_Off,Sk_Perc_Off,4QC,GWD,EXP_POff,PF_Def,Yds_Def,Ply_Def,Y_Per_P_Def,TO_Def,FL_Def,1stD_Def,Cmp_Def,Att_Def,TD_Def,Int_Def,NY_Per_A_Def,Y_Per_A_Def,Pen_Def,1stPy_Def,Sc_Perc_Def,TO_Perc_Def,EXP_Def,Cmp_PDef,Att_PDef,Cmp_Perc_Def,Yds_PDef,TD_PDef,TD_Perc_Def,Int_PDef,Int_Perc_Def,Y_Per_A_PDef,AY_Per_A_Def,Y_Per_C_Def,Y_Per_G_Def,Rate_Def,Sk_Def,NY_Per_A_PDef,ANY_Per_A_Def,Sk_Perc_Def,EXP_PDef
0,Atlanta Falcons,2016,502,6188,936,6.6,11,4,354,347,501,34,7,8.2,4.5,95,30,52.4,6.7,209.49,347,501,69.3,4402,34,6.8,7,1.4,76,9.2,10.0,13.3,293.5,115.1,36,8.2,8.9,6.7,1.0,2.0,194.21,374,5466,984,5.6,21,10,332,393,605,29,11,6.2,4.4,107,29,38.4,11.6,-80.63,393,605,65.0,3926,29,4.8,11,1.8,6.9,7.0,10.5,261.7,93.2,32,6.2,6.3,5.0,-86.46
1,New Orleans Saints,2016,437,6343,1030,6.2,23,9,369,443,624,36,14,7.3,4.2,101,23,45.6,13.0,166.35,443,624,71.0,4733,36,5.8,14,2.2,98,7.9,8.0,11.1,315.5,103.9,25,7.3,7.4,3.9,2.0,4.0,170.57,416,5541,949,5.8,21,12,328,351,546,23,9,7.1,4.0,95,30,44.4,13.0,-113.91,351,546,64.3,4057,23,4.2,9,1.6,7.8,7.9,12.1,270.5,95.4,29,7.1,7.2,5.0,-150.07
2,Oakland Raiders,2016,410,5748,997,5.8,11,5,322,358,563,28,6,6.7,4.5,134,35,40.9,6.1,110.44,358,563,63.6,3883,28,5.0,6,1.1,75,7.0,7.6,11.1,258.9,96.5,16,6.7,7.2,2.8,7.0,7.0,138.85,361,5653,920,6.1,29,14,300,311,514,25,15,7.3,4.6,110,31,35.8,14.8,-80.46,311,514,60.5,3914,25,4.9,15,2.9,7.9,7.6,13.1,260.9,89.5,25,7.3,6.9,4.6,-83.45
3,Dallas Cowboys,2016,408,5832,957,6.1,13,9,343,309,454,24,4,7.3,4.9,100,23,45.3,8.1,175.13,309,454,68.1,3505,24,5.3,4,0.9,83,8.0,8.7,11.8,233.7,106.2,25,7.3,7.9,5.2,5.0,5.0,145.35,279,5157,934,5.5,20,11,306,398,590,23,9,6.3,3.9,86,23,34.4,12.1,-59.92,398,590,67.5,3935,23,3.9,9,1.5,7.0,7.1,10.4,262.3,94.1,34,6.3,6.4,5.4,-95.41
4,New England Patriots,2016,406,5784,993,5.8,11,9,329,343,516,29,2,7.5,3.9,86,37,42.1,4.7,159.71,343,516,66.5,4032,29,5.6,2,0.4,79,8.1,9.1,12.2,268.8,108.3,24,7.5,8.4,4.4,2.0,2.0,195.3,236,4943,941,5.3,21,9,278,344,562,19,12,6.0,3.9,104,23,27.1,10.6,9.83,344,562,61.2,3601,19,3.4,12,2.1,6.8,6.5,11.1,240.1,83.8,34,6.0,5.8,5.7,-23.09
5,Green Bay Packers,2016,401,5452,958,5.7,17,9,321,376,581,36,8,6.3,4.5,90,34,43.6,9.7,144.51,376,581,64.7,3904,36,6.2,8,1.4,60,7.1,7.8,11.0,260.3,100.7,34,6.3,6.9,5.5,0.0,2.0,155.17,364,5415,923,5.9,24,8,305,344,530,30,16,7.0,4.1,104,22,41.0,14.3,-85.88,344,530,64.9,3976,30,5.7,16,3.0,8.0,7.8,12.4,265.1,95.9,38,7.0,6.8,6.7,-104.99
6,Buffalo Bills,2016,389,5436,950,5.7,9,3,314,271,443,17,6,5.9,5.5,112,27,38.2,5.5,131.73,271,443,61.2,2874,17,3.8,6,1.4,84,6.9,7.1,11.3,191.6,89.1,43,5.9,6.1,8.8,1.0,1.0,62.41,348,5383,958,5.6,18,6,320,286,481,17,12,6.5,4.6,104,33,38.5,10.1,-63.13,286,481,59.5,3380,17,3.5,12,2.5,7.5,7.1,12.7,225.3,84.4,38,6.5,6.1,7.3,-61.59
7,Indianapolis Colts,2016,387,5447,970,5.6,20,6,327,346,543,30,14,6.7,4.0,99,36,41.0,12.0,87.15,346,543,63.7,3912,30,5.5,14,2.6,64,7.7,7.6,12.1,260.8,94.9,40,6.7,6.7,6.9,3.0,3.0,104.2,372,5652,952,5.9,15,7,330,352,542,26,8,6.8,4.6,117,34,42.3,9.2,-110.53,352,542,64.9,3908,26,4.8,8,1.5,7.6,7.9,11.7,260.5,97.6,31,6.8,7.1,5.4,-131.06
8,Washington Redskins,2016,386,6170,955,6.5,18,8,329,385,572,24,10,7.6,4.6,105,29,45.7,10.5,155.05,385,572,67.3,4512,24,4.2,10,1.7,80,8.1,8.2,12.1,300.8,98.8,19,7.6,7.7,3.2,4.0,4.0,175.47,364,5714,982,5.8,21,8,351,370,562,22,13,6.6,4.6,95,32,39.5,12.7,-123.5,370,562,65.8,3959,22,3.9,13,2.3,7.5,7.2,11.4,263.9,91.5,37,6.6,6.4,6.2,-126.71
9,San Diego Chargers,2016,383,5310,950,5.6,33,14,314,327,542,31,19,6.8,3.7,97,34,37.6,17.9,32.41,327,542,60.3,3929,31,5.7,19,3.5,59,7.6,7.2,12.6,261.9,88.5,36,6.8,6.4,6.2,1.0,1.0,74.64,386,5189,965,5.4,27,10,303,343,552,19,17,6.4,3.9,115,23,38.2,14.6,-0.88,343,552,62.1,3725,19,3.4,17,3.1,7.2,6.5,11.5,248.3,82.3,34,6.4,5.7,5.8,-42.88
