ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
0,St. Louis Blues,5,Chicago Blackhawks,2,0,1,0.594865358857,2016-10-12
1,Calgary Flames,4,Edmonton Oilers,7,1,1,0.57332493613,2016-10-12
2,Toronto Maple Leafs,4,Ottawa Senators,5,1,1,0.625296199073,2016-10-12
3,Los Angeles Kings,1,San Jose Sharks,2,1,1,0.645924701904,2016-10-12
4,Montreal Canadiens,4,Buffalo Sabres,1,0,0,0.689125122576,2016-10-13
5,Boston Bruins,6,Columbus Blue Jackets,3,0,1,0.719216891751,2016-10-13
6,Anaheim Ducks,2,Dallas Stars,4,1,0,0.530851856883,2016-10-13
7,New Jersey Devils,1,Florida Panthers,2,1,1,0.610056013881,2016-10-13
8,New York Islanders,3,New York Rangers,5,1,1,0.722271465993,2016-10-13
9,Washington Capitals,2,Pittsburgh Penguins,3,1,1,0.575995570654,2016-10-13
10,Minnesota Wild,2,St. Louis Blues,3,1,0,0.575123357486,2016-10-13
11,Detroit Red Wings,4,Tampa Bay Lightning,6,1,1,0.608169721216,2016-10-13
12,Carolina Hurricanes,4,Winnipeg Jets,5,1,0,0.500522920534,2016-10-13
13,Edmonton Oilers,5,Calgary Flames,3,0,1,0.533842622945,2016-10-14
14,Philadelphia Flyers,4,Los Angeles Kings,2,0,1,0.578089393137,2016-10-14
15,Chicago Blackhawks,2,Nashville Predators,3,1,0,0.574330950574,2016-10-14
16,Philadelphia Flyers,3,Arizona Coyotes,4,1,0,0.625320170864,2016-10-15
17,San Jose Sharks,3,Columbus Blue Jackets,2,0,1,0.644123679943,2016-10-15
18,Nashville Predators,3,Chicago Blackhawks,5,1,1,0.674926241147,2016-10-15
19,Dallas Stars,5,Colorado Avalanche,6,1,0,0.539265432772,2016-10-15
20,Detroit Red Wings,1,Florida Panthers,4,1,1,0.568400249667,2016-10-15
21,Winnipeg Jets,3,Minnesota Wild,4,1,1,0.743216868067,2016-10-15
22,Montreal Canadiens,3,Ottawa Senators,4,1,0,0.558829787663,2016-10-15
23,Anaheim Ducks,2,Pittsburgh Penguins,3,1,1,0.682868492328,2016-10-15
24,New York Rangers,2,St. Louis Blues,3,1,0,0.582047274826,2016-10-15
25,New Jersey Devils,2,Tampa Bay Lightning,3,1,1,0.648361716369,2016-10-15
26,Boston Bruins,1,Toronto Maple Leafs,4,1,0,0.531950345686,2016-10-15
27,Calgary Flames,1,Vancouver Canucks,2,1,0,0.559030962408,2016-10-15
28,New York Islanders,1,Washington Capitals,2,1,1,0.682866789448,2016-10-15
29,Buffalo Sabres,6,Edmonton Oilers,2,0,1,0.670080208138,2016-10-16
