ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
0,COL,10,ARI,5,0,0,0.51368200099,2016-04-04
1,COL,6,ARI,11,1,0,0.51368200099,2016-04-05
2,COL,4,ARI,3,0,0,0.51368200099,2016-04-06
3,CHC,14,ARI,6,0,0,0.68089227705,2016-04-07
4,CHC,2,ARI,3,1,0,0.68089227705,2016-04-08
5,CHC,4,ARI,2,0,0,0.68089227705,2016-04-09
6,CHC,7,ARI,3,0,0,0.68089227705,2016-04-10
7,PIT,8,ARI,7,0,0,0.533951368581,2016-04-22
8,PIT,1,ARI,7,1,0,0.533951368581,2016-04-23
9,PIT,12,ARI,10,0,0,0.533951368581,2016-04-24
10,STL,7,ARI,12,1,0,0.565340203295,2016-04-25
11,STL,8,ARI,2,0,0,0.565340203295,2016-04-26
12,STL,11,ARI,4,0,0,0.565340203295,2016-04-27
13,STL,0,ARI,3,1,0,0.565340203295,2016-04-28
14,COL,9,ARI,0,0,0,0.51368200099,2016-04-29
15,COL,5,ARI,2,0,0,0.51368200099,2016-04-30
16,COL,6,ARI,3,0,0,0.51368200099,2016-05-01
17,SFG,4,ARI,2,0,0,0.569704004508,2016-05-12
18,SFG,3,ARI,1,0,0,0.569704004508,2016-05-13
19,SFG,5,ARI,3,0,0,0.569704004508,2016-05-14
20,SFG,2,ARI,1,0,0,0.569704004508,2016-05-15
21,NYY,2,ARI,12,1,0,0.557754879729,2016-05-16
22,NYY,3,ARI,5,1,0,0.557754879729,2016-05-17
23,NYY,4,ARI,2,0,0,0.557754879729,2016-05-18
24,SDP,10,ARI,3,0,1,0.519441738722,2016-05-27
25,SDP,7,ARI,8,1,1,0.519441738722,2016-05-28
26,SDP,3,ARI,6,1,1,0.519441738722,2016-05-29
27,HOU,8,ARI,3,0,0,0.568453525101,2016-05-30
28,HOU,8,ARI,5,0,0,0.568453525101,2016-05-31
29,TBR,6,ARI,4,0,1,0.513540257032,2016-06-06
30,TBR,0,ARI,5,1,1,0.513540257032,2016-06-07
31,TBR,6,ARI,3,0,1,0.513540257032,2016-06-08
32,MIA,8,ARI,6,0,0,0.540992477166,2016-06-10
33,MIA,3,ARI,5,1,0,0.540992477166,2016-06-11
34,MIA,0,ARI,6,1,0,0.540992477166,2016-06-12
35,LAD,2,ARI,3,1,0,0.599924902293,2016-06-13
36,LAD,7,ARI,4,0,0,0.599924902293,2016-06-14
37,LAD,3,ARI,2,0,0,0.599924902293,2016-06-15
38,PHI,8,ARI,0,0,1,0.521208549428,2016-06-27
39,PHI,4,ARI,3,0,1,0.521208549428,2016-06-28
40,PHI,9,ARI,8,0,1,0.521208549428,2016-06-29
41,SFG,6,ARI,4,0,0,0.569704004508,2016-07-01
42,SFG,5,ARI,6,1,0,0.569704004508,2016-07-02
43,SFG,5,ARI,4,0,0,0.569704004508,2016-07-03
44,SDP,8,ARI,4,0,1,0.519441738722,2016-07-04
45,SDP,5,ARI,7,1,1,0.519441738722,2016-07-05
46,SDP,13,ARI,6,0,1,0.519441738722,2016-07-06
47,LAD,13,ARI,7,0,0,0.599924902293,2016-07-15
48,LAD,1,ARI,2,1,0,0.599924902293,2016-07-16
49,LAD,5,ARI,6,1,0,0.599924902293,2016-07-17
50,TOR,5,ARI,1,0,0,0.599118551056,2016-07-19
51,TOR,10,ARI,4,0,0,0.599118551056,2016-07-20
52,WSN,14,ARI,1,0,0,0.635241324258,2016-08-01
53,WSN,10,ARI,4,0,0,0.635241324258,2016-08-02
54,WSN,8,ARI,3,0,0,0.635241324258,2016-08-03
55,MIL,2,ARI,3,1,0,0.516629404309,2016-08-05
56,MIL,15,ARI,6,0,0,0.516629404309,2016-08-06
57,MIL,3,ARI,9,1,0,0.516629404309,2016-08-07
58,NYM,6,ARI,10,1,0,0.581332632513,2016-08-15
59,NYM,7,ARI,5,0,0,0.581332632513,2016-08-16
60,NYM,5,ARI,13,1,0,0.581332632513,2016-08-17
61,ATL,8,ARI,9,1,1,0.536909307997,2016-08-22
62,ATL,7,ARI,4,0,1,0.536909307997,2016-08-23
63,ATL,9,ARI,10,1,1,0.536909307997,2016-08-24
64,ATL,3,ARI,1,0,1,0.536909307997,2016-08-25
65,CIN,3,ARI,4,1,1,0.538850482203,2016-08-26
66,CIN,13,ARI,0,0,1,0.538850482203,2016-08-27
67,CIN,2,ARI,11,1,1,0.538850482203,2016-08-28
68,SFG,7,ARI,6,0,0,0.569704004508,2016-09-09
69,SFG,11,ARI,3,0,0,0.569704004508,2016-09-10
70,SFG,5,ARI,3,0,0,0.569704004508,2016-09-11
71,COL,9,ARI,12,1,0,0.51368200099,2016-09-12
72,COL,4,ARI,11,1,0,0.51368200099,2016-09-13
73,COL,6,ARI,11,1,0,0.51368200099,2016-09-14
74,LAD,3,ARI,7,1,0,0.599924902293,2016-09-15
75,LAD,3,ARI,2,0,0,0.599924902293,2016-09-16
76,LAD,6,ARI,2,0,0,0.599924902293,2016-09-17
77,LAD,9,ARI,10,1,0,0.599924902293,2016-09-18
78,SDP,3,ARI,5,1,1,0.519441738722,2016-09-30
79,SDP,5,ARI,9,1,1,0.519441738722,2016-10-01
80,SDP,2,ARI,3,1,1,0.519441738722,2016-10-02
81,WSN,4,ATL,3,0,0,0.632179892703,2016-04-04
82,WSN,3,ATL,1,0,0,0.632179892703,2016-04-06
83,STL,7,ATL,4,0,0,0.562096518735,2016-04-08
84,STL,12,ATL,2,0,0,0.562096518735,2016-04-09
85,STL,12,ATL,7,0,0,0.562096518735,2016-04-10
86,LAD,1,ATL,8,1,0,0.596755218125,2016-04-19
87,LAD,5,ATL,3,0,0,0.596755218125,2016-04-20
88,LAD,2,ATL,1,0,0,0.596755218125,2016-04-21
89,NYM,6,ATL,3,0,0,0.578119232621,2016-04-22
90,NYM,8,ATL,2,0,0,0.578119232621,2016-04-23
91,NYM,3,ATL,2,0,0,0.578119232621,2016-04-24
92,BOS,1,ATL,0,0,0,0.632107212016,2016-04-25
