Bookies_choice,Confidence,Date,Divergence_Y/N,Home_Odd,Home_Team,ID,League,Matchup_US_P,Sibyl,Time,True_Result,Visitor_Odd,Visitor_Team
CLE,0.521,2016-09-14,N,2.0,CHW,0,MLB,CLE @ CHW,CLE,00:10,Upcoming,1.87,CLE
HOU,0.502,2016-09-14,N,1.63,HOU,1,MLB,TEX @ HOU,HOU,00:10,Upcoming,2.37,TEX
ARI,0.515,2016-09-14,Y,1.76,ARI,2,MLB,COL @ ARI,COL,01:40,Upcoming,2.13,COL
SEA,0.552,2016-09-14,N,2.26,LAA,3,MLB,SEA @ LAA,SEA,02:05,Upcoming,1.68,SEA
DET,0.674,2016-09-14,N,1.66,DET,4,MLB,MIN @ DET,DET,17:10,Upcoming,2.29,MIN
CLE,0.521,2016-09-14,N,2.38,CHW,5,MLB,CLE @ CHW,CLE,18:10,Upcoming,1.62,CLE
PHI,0.536,2016-09-14,Y,1.87,PHI,6,MLB,PIT @ PHI,PIT,23:05,Upcoming,1.97,PIT
KCR,0.562,2016-09-14,N,1.64,KCR,7,MLB,OAK @ KCR,KCR,23:15,Upcoming,2.33,OAK
CHC,0.688,2016-09-15,N,1.47,CHC,8,MLB,MIL @ CHC,CHC,00:05,Upcoming,2.76,MIL
LAD,0.599,2016-09-15,N,2.8,ARI,9,MLB,LAD @ ARI,LAD,01:40,Upcoming,1.46,LAD
TOR,0.574,2016-09-15,N,2.46,LAA,10,MLB,TOR @ LAA,TOR,02:05,Upcoming,1.58,TOR
SFG,0.522,2016-09-15,N,1.62,SFG,11,MLB,STL @ SFG,SFG,02:15,Upcoming,2.37,STL
KCR,0.511,2016-09-16,N,1.77,KCR,12,MLB,CHW @ KCR,KCR,00:15,Upcoming,2.15,CHW
LAD,0.599,2016-09-16,N,2.4,ARI,13,MLB,LAD @ ARI,LAD,01:40,Upcoming,1.63,LAD
WSN,0.657,2016-09-16,N,3.97,ATL,14,MLB,WSN @ ATL,WSN,17:05,Upcoming,1.28,WSN
BOS,0.592,2016-09-16,N,1.85,BOS,15,MLB,NYY @ BOS,BOS,17:05,Upcoming,2.04,NYY
CHC,0.688,2016-09-16,N,1.61,CHC,16,MLB,MIL @ CHC,CHC,20:05,Upcoming,2.45,MIL
PIT,0.536,2016-09-16,N,2.36,CIN,17,MLB,PIT @ CIN,PIT,22:10,Upcoming,1.65,PIT
TBR,0.6,2016-09-16,Y,2.19,BAL,18,MLB,TBR @ BAL,BAL,23:05,Upcoming,1.74,TBR
COL,0.591,2016-09-17,N,1.75,COL,19,MLB,SDP @ COL,COL,00:10,Upcoming,2.18,SDP
PIT,0.536,2016-09-17,N,2.42,CIN,20,MLB,PIT @ CIN,PIT,17:10,Upcoming,1.62,PIT
MIA,0.528,2016-09-17,N,2.15,PHI,21,MLB,MIA @ PHI,MIA,17:35,Upcoming,1.77,MIA
KCR,0.511,2016-09-17,N,1.82,KCR,22,MLB,CHW @ KCR,KCR,18:15,Upcoming,2.08,CHW
KCR,0.511,2016-09-17,N,1.63,KCR,23,MLB,CHW @ KCR,KCR,18:15,Upcoming,2.37,CHW
Charlotte Hornets,0.647,2016-12-23,N,1.58,Charlotte Hornets,0,NBA,Chicago Bulls @ Charlotte Hornets,Charlotte Hornets,20:00:00,Upcoming,2.42,Chicago Bulls
Orlando Magic,0.643,2016-12-23,N,1.46,Orlando Magic,1,NBA,Los Angeles Lakers @ Orlando Magic,Orlando Magic,20:00:00,Upcoming,2.77,Los Angeles Lakers
Boston Celtics,0.681,2016-12-23,N,1.57,Boston Celtics,2,NBA,Oklahoma City Thunder @ Boston Celtics,Boston Celtics,20:30:00,Upcoming,2.44,Oklahoma City Thunder
Brooklyn Nets,0.96,2016-12-23,Y,1.95,Cleveland Cavaliers,3,NBA,Brooklyn Nets @ Cleveland Cavaliers,Cleveland Cavaliers,20:30:00,Upcoming,1.95,Brooklyn Nets
Golden State Warriors,0.783,2016-12-23,N,3.51,Detroit Pistons,4,NBA,Golden State Warriors @ Detroit Pistons,Golden State Warriors,20:30:00,Upcoming,1.31,Golden State Warriors
Houston Rockets,0.641,2016-12-23,N,2.36,Memphis Grizzlies,5,NBA,Houston Rockets @ Memphis Grizzlies,Houston Rockets,21:00:00,Upcoming,1.61,Houston Rockets
Milwaukee Bucks,0.724,2016-12-23,N,1.62,Milwaukee Bucks,6,NBA,Washington Wizards @ Milwaukee Bucks,Milwaukee Bucks,21:00:00,Upcoming,2.34,Washington Wizards
Sacramento Kings,0.651,2016-12-23,Y,1.95,Minnesota Timberwolves,7,NBA,Sacramento Kings @ Minnesota Timberwolves,Minnesota Timberwolves,21:00:00,Upcoming,1.95,Sacramento Kings
New Orleans Pelicans,0.585,2016-12-23,N,1.48,New Orleans Pelicans,8,NBA,Miami Heat @ New Orleans Pelicans,New Orleans Pelicans,21:00:00,Upcoming,2.7,Miami Heat
Denver Nuggets,0.624,2016-12-23,N,1.55,Denver Nuggets,9,NBA,Atlanta Hawks @ Denver Nuggets,Denver Nuggets,22:00:00,Upcoming,2.48,Atlanta Hawks
Phoenix Suns,0.656,2016-12-23,N,1.49,Phoenix Suns,10,NBA,Philadelphia 76ers @ Phoenix Suns,Phoenix Suns,22:00:00,Upcoming,2.74,Philadelphia 76ers
Toronto Raptors,0.557,2016-12-23,N,2.05,Utah Jazz,11,NBA,Toronto Raptors @ Utah Jazz,Toronto Raptors,22:00:00,Upcoming,1.79,Toronto Raptors
San Antonio Spurs,0.722,2016-12-23,N,2.11,Portland Trail Blazers,12,NBA,San Antonio Spurs @ Portland Trail Blazers,San Antonio Spurs,23:00:00,Upcoming,1.75,San Antonio Spurs
Dallas Mavericks,0.936,2016-12-23,Y,1.95,Los Angeles Clippers,13,NBA,Dallas Mavericks @ Los Angeles Clippers,Los Angeles Clippers,23:30:00,Upcoming,1.95,Dallas Mavericks
Buffalo Bills,0.56,2016-12-24,N,1.47,Buffalo Bills,0,NFL,Miami Dolphins @ Buffalo Bills,Buffalo Bills,14:00:00,Upcoming,2.72,Miami Dolphins
Atlanta Falcons,0.625,2016-12-24,N,2.38,Carolina Panthers,1,NFL,Atlanta Falcons @ Carolina Panthers,Atlanta Falcons,14:00:00,Upcoming,1.6,Atlanta Falcons
San Diego Chargers,0.751,2016-12-24,N,2.92,Cleveland Browns,2,NFL,San Diego Chargers @ Cleveland Browns,San Diego Chargers,14:00:00,Upcoming,1.42,San Diego Chargers
Washington Redskins,0.676,2016-12-24,N,2.48,Chicago Bears,3,NFL,Washington Redskins @ Chicago Bears,Washington Redskins,14:00:00,Upcoming,1.56,Washington Redskins
Tennessee Titans,0.709,2016-12-24,N,2.81,Jacksonville Jaguars,4,NFL,Tennessee Titans @ Jacksonville Jaguars,Tennessee Titans,14:00:00,Upcoming,1.44,Tennessee Titans
