ID,Date,Time,League,Matchup_US_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result
26,2016-11-25,20:45:00,ligue-1,Stade Rennes FC vs FC Toulouse,Stade Rennes FC,FC Toulouse,2.5,3.25,3.5,Rennes,Rennes,0.483,N,Upcoming
27,2016-11-26,17:10:00,ligue-1,AS Monaco vs Olympique Marseille,AS Monaco,Olympique Marseille,1.71,4.2,5.8,Monaco,Monaco,0.6,N,Upcoming
28,2016-11-26,20:00:00,ligue-1,FC Girondins de Bordeaux vs Dijon FCO,FC Girondins de Bordeaux,Dijon FCO,1.8,3.85,5.6,Bordeaux,Bordeaux,0.534,N,Upcoming
29,2016-11-26,20:00:00,ligue-1,FC Nantes vs OSC Lille,FC Nantes,OSC Lille,2.5,3.11,3.7,Nantes,Nantes,0.502,N,Upcoming
30,2016-11-26,20:00:00,ligue-1,Montpellier HSC vs AS Nancy Lorraine,Montpellier HSC,AS Nancy Lorraine,2.05,3.56,4.55,Montpellier,Montpellier,0.505,N,Upcoming
31,2016-11-26,20:00:00,ligue-1,Stade Caen vs EA Guingamp,Stade Caen,EA Guingamp,2.5,3.3,3.54,Caen,Guingamp,0.46,Y,Upcoming
32,2016-11-26,20:00:00,ligue-1,FC Metz vs FC Lorient,FC Metz,FC Lorient,2.82,3.51,2.9,Metz,Metz,0.594,N,Upcoming
33,2016-11-27,15:00:00,ligue-1,Angers SCO vs AS St. Etienne,Angers SCO,AS St. Etienne,2.65,3.12,3.28,Angers,Angers,0.449,N,Upcoming
34,2016-11-27,17:00:00,ligue-1,OGC Nice vs SC Bastia,OGC Nice,SC Bastia,1.71,3.9,6.25,Nice,Nice,0.632,N,Upcoming
35,2016-11-27,20:45:00,ligue-1,Olympique Lyonnais vs Paris Saint-Germain FC,Olympique Lyonnais,Paris Saint-Germain FC,4.0,3.79,2.11,Paris SG,Paris SG,0.413,N,Upcoming
36,2016-11-29,19:00:00,ligue-1,OSC Lille vs Stade Caen,OSC Lille,Stade Caen,1.85,3.45,5.7,Lille,Lille,0.421,N,Upcoming
37,2016-11-29,19:00:00,ligue-1,FC Lorient vs Stade Rennes FC,FC Lorient,Stade Rennes FC,3.1,3.32,2.62,Rennes,Rennes,0.528,N,Upcoming
38,2016-11-29,21:00:00,ligue-1,Dijon FCO vs AS Monaco,Dijon FCO,AS Monaco,4.25,3.66,2.08,Monaco,Monaco,0.538,N,Upcoming
39,2016-11-30,19:00:00,ligue-1,FC Toulouse vs Montpellier HSC,FC Toulouse,Montpellier HSC,2.12,3.61,3.9,Toulouse,Toulouse,0.524,N,Upcoming
40,2016-11-30,19:00:00,ligue-1,AS St. Etienne vs Olympique Marseille,AS St. Etienne,Olympique Marseille,2.49,3.27,3.35,Saint-Etienne,Saint-Etienne,0.49,N,Upcoming
41,2016-11-30,19:00:00,ligue-1,FC Nantes vs Olympique Lyonnais,FC Nantes,Olympique Lyonnais,3.35,3.2,2.47,Lyon,Lyon,0.452,N,Upcoming
42,2016-11-30,19:00:00,ligue-1,EA Guingamp vs OGC Nice,EA Guingamp,OGC Nice,3.18,3.46,2.53,Nice,Nice,0.447,N,Upcoming
43,2016-11-30,19:00:00,ligue-1,SC Bastia vs FC Girondins de Bordeaux,SC Bastia,FC Girondins de Bordeaux,3.7,3.15,2.42,Bordeaux,Bordeaux,0.424,N,Upcoming
44,2016-11-30,19:00:00,ligue-1,AS Nancy Lorraine vs FC Metz,AS Nancy Lorraine,FC Metz,2.27,3.46,3.65,Nancy,Nancy,0.4,N,Upcoming
45,2016-11-30,21:00:00,ligue-1,Paris Saint-Germain FC vs Angers SCO,Paris Saint-Germain FC,Angers SCO,1.26,7.0,17.0,Paris SG,Paris SG,0.581,N,Upcoming
