ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result_U
0,2016-09-14,00:10,CHW vs CLE,CHW,CLE,2.0,1.87,CLE,CLE,0.521,N,Upcoming
1,2016-09-14,00:10,HOU vs TEX,HOU,TEX,1.63,2.37,HOU,HOU,0.502,N,Upcoming
2,2016-09-14,01:40,ARI vs COL,ARI,COL,1.76,2.13,ARI,COL,0.515,Y,Upcoming
3,2016-09-14,02:05,LAA vs SEA,LAA,SEA,2.26,1.68,SEA,SEA,0.552,N,Upcoming
4,2016-09-14,17:10,DET vs MIN,DET,MIN,1.66,2.29,DET,DET,0.674,N,Upcoming
5,2016-09-14,18:10,CHW vs CLE,CHW,CLE,2.38,1.62,CLE,CLE,0.521,N,Upcoming
6,2016-09-14,23:05,PHI vs PIT,PHI,PIT,1.87,1.97,PHI,PIT,0.536,Y,Upcoming
7,2016-09-14,23:15,KCR vs OAK,KCR,OAK,1.64,2.33,KCR,KCR,0.562,N,Upcoming
8,2016-09-15,00:05,CHC vs MIL,CHC,MIL,1.47,2.76,CHC,CHC,0.688,N,Upcoming
9,2016-09-15,01:40,ARI vs LAD,ARI,LAD,2.8,1.46,LAD,LAD,0.599,N,Upcoming
10,2016-09-15,02:05,LAA vs TOR,LAA,TOR,2.46,1.58,TOR,TOR,0.574,N,Upcoming
11,2016-09-15,02:15,SFG vs STL,SFG,STL,1.62,2.37,SFG,SFG,0.522,N,Upcoming
12,2016-09-16,00:15,KCR vs CHW,KCR,CHW,1.77,2.15,KCR,KCR,0.511,N,Upcoming
13,2016-09-16,01:40,ARI vs LAD,ARI,LAD,2.4,1.63,LAD,LAD,0.599,N,Upcoming
14,2016-09-16,17:05,ATL vs WSN,ATL,WSN,3.97,1.28,WSN,WSN,0.657,N,Upcoming
15,2016-09-16,17:05,BOS vs NYY,BOS,NYY,1.85,2.04,BOS,BOS,0.592,N,Upcoming
16,2016-09-16,20:05,CHC vs MIL,CHC,MIL,1.61,2.45,CHC,CHC,0.688,N,Upcoming
17,2016-09-16,22:10,CIN vs PIT,CIN,PIT,2.36,1.65,PIT,PIT,0.536,N,Upcoming
18,2016-09-16,23:05,BAL vs TBR,BAL,TBR,2.19,1.74,TBR,BAL,0.6,Y,Upcoming
19,2016-09-17,00:10,COL vs SDP,COL,SDP,1.75,2.18,COL,COL,0.591,N,Upcoming
20,2016-09-17,17:10,CIN vs PIT,CIN,PIT,2.42,1.62,PIT,PIT,0.536,N,Upcoming
21,2016-09-17,17:35,PHI vs MIA,PHI,MIA,2.15,1.77,MIA,MIA,0.528,N,Upcoming
22,2016-09-17,18:15,KCR vs CHW,KCR,CHW,1.82,2.08,KCR,KCR,0.511,N,Upcoming
23,2016-09-17,18:15,KCR vs CHW,KCR,CHW,1.63,2.37,KCR,KCR,0.511,N,Upcoming
