ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result_U
0,2016-09-14,00:10,CLE @ CHW,CLE,CHW,1.87,2.0,CLE,CLE,0.521,N,Upcoming
1,2016-09-14,00:10,TEX @ HOU,TEX,HOU,2.37,1.63,HOU,HOU,0.502,N,Upcoming
2,2016-09-14,01:40,COL @ ARI,COL,ARI,2.13,1.76,ARI,COL,0.515,Y,Upcoming
3,2016-09-14,02:05,SEA @ LAA,SEA,LAA,1.68,2.26,SEA,SEA,0.552,N,Upcoming
4,2016-09-14,17:10,MIN @ DET,MIN,DET,2.29,1.66,DET,DET,0.674,N,Upcoming
5,2016-09-14,18:10,CLE @ CHW,CLE,CHW,1.62,2.38,CLE,CLE,0.521,N,Upcoming
6,2016-09-14,23:05,PIT @ PHI,PIT,PHI,1.97,1.87,PHI,PIT,0.536,Y,Upcoming
7,2016-09-14,23:15,OAK @ KCR,OAK,KCR,2.33,1.64,KCR,KCR,0.562,N,Upcoming
8,2016-09-15,00:05,MIL @ CHC,MIL,CHC,2.76,1.47,CHC,CHC,0.688,N,Upcoming
9,2016-09-15,01:40,LAD @ ARI,LAD,ARI,1.46,2.8,LAD,LAD,0.599,N,Upcoming
10,2016-09-15,02:05,TOR @ LAA,TOR,LAA,1.58,2.46,TOR,TOR,0.574,N,Upcoming
11,2016-09-15,02:15,STL @ SFG,STL,SFG,2.37,1.62,SFG,SFG,0.522,N,Upcoming
12,2016-09-16,00:15,CHW @ KCR,CHW,KCR,2.15,1.77,KCR,KCR,0.511,N,Upcoming
13,2016-09-16,01:40,LAD @ ARI,LAD,ARI,1.63,2.4,LAD,LAD,0.599,N,Upcoming
14,2016-09-16,17:05,WSN @ ATL,WSN,ATL,1.28,3.97,WSN,WSN,0.657,N,Upcoming
15,2016-09-16,17:05,NYY @ BOS,NYY,BOS,2.04,1.85,BOS,BOS,0.592,N,Upcoming
16,2016-09-16,20:05,MIL @ CHC,MIL,CHC,2.45,1.61,CHC,CHC,0.688,N,Upcoming
17,2016-09-16,22:10,PIT @ CIN,PIT,CIN,1.65,2.36,PIT,PIT,0.536,N,Upcoming
18,2016-09-16,23:05,TBR @ BAL,TBR,BAL,1.74,2.19,TBR,BAL,0.6,Y,Upcoming
19,2016-09-17,00:10,SDP @ COL,SDP,COL,2.18,1.75,COL,COL,0.591,N,Upcoming
20,2016-09-17,17:10,PIT @ CIN,PIT,CIN,1.62,2.42,PIT,PIT,0.536,N,Upcoming
21,2016-09-17,17:35,MIA @ PHI,MIA,PHI,1.77,2.15,MIA,MIA,0.528,N,Upcoming
22,2016-09-17,18:15,CHW @ KCR,CHW,KCR,2.08,1.82,KCR,KCR,0.511,N,Upcoming
23,2016-09-17,18:15,CHW @ KCR,CHW,KCR,2.37,1.63,KCR,KCR,0.511,N,Upcoming
