,Matchup_Date,Date,Hour,League,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd
0,31/10/2016 23:30,31/10/2016,23:30,NBA,Chicago Bulls,Brooklyn Nets,1.41,3.55
1,31/10/2016 23:30,31/10/2016,23:30,NBA,Denver Nuggets,Toronto Raptors,3.8,1.35
2,31/10/2016 23:30,31/10/2016,23:30,NBA,Sacramento Kings,Atlanta Hawks,3.72,1.36
3,01/11/2016 02:30,01/11/2016,02:30,NBA,Phoenix Suns,Los Angeles Clippers,8.6,1.16
5,01/11/2016 23:00,01/11/2016,23:00,NBA,Los Angeles Lakers,Indiana Pacers,4.8,1.23
6,01/11/2016 23:00,01/11/2016,23:00,NBA,Houston Rockets,Cleveland Cavaliers,4.75,1.24
7,01/11/2016 23:30,01/11/2016,23:30,NBA,Sacramento Kings,Miami Heat,1.93,1.98
8,01/11/2016 23:30,01/11/2016,23:30,NBA,New York Knicks,Detroit Pistons,2.65,1.56
10,02/11/2016 00:00,02/11/2016,00:00,NBA,Milwaukee Bucks,New Orleans Pelicans,2.37,1.67
11,02/11/2016 00:30,02/11/2016,00:30,NBA,Utah Jazz,San Antonio Spurs,1.97,1.94
12,02/11/2016 02:00,02/11/2016,02:00,NBA,Golden State Warriors,Portland Trail Blazers,1.53,2.71
13,02/11/2016 23:00,02/11/2016,23:00,NBA,Philadelphia 76ers,Charlotte Hornets,4.0,1.1
14,02/11/2016 23:00,02/11/2016,23:00,NBA,Toronto Raptors,Washington Wizards,1.5,1.45
15,02/11/2016 23:30,02/11/2016,23:30,NBA,Los Angeles Lakers,Atlanta Hawks,2.8,1.1
16,02/11/2016 23:30,02/11/2016,23:30,NBA,Detroit Pistons,Brooklyn Nets,1.41,1.03
17,02/11/2016 23:30,02/11/2016,23:30,NBA,Houston Rockets,New York Knicks,1.35,1.03
