ID,Date,Time,League,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result
56,2016-11-26,13:30:00,premier-league,Manchester City @ Burnley FC,Manchester City,Burnley FC,1.36,6.5,11.0,Manchester City,Manchester City,0.527,N,Upcoming
57,2016-11-26,16:00:00,premier-league,Middlesbrough FC @ Leicester City,Middlesbrough FC,Leicester City,4.6,3.7,2.0,Leicester City,Leicester City,0.467,N,Upcoming
58,2016-11-26,16:00:00,premier-league,Sunderland @ Liverpool,Sunderland,Liverpool,20.0,9.0,1.21,Liverpool,Liverpool,0.663,N,Upcoming
59,2016-11-26,16:00:00,premier-league,Crystal Palace FC @ Swansea City,Crystal Palace FC,Swansea City,3.06,3.58,2.67,Swansea City,Swansea City,0.396,N,Upcoming
60,2016-11-26,16:00:00,premier-league,West Bromwich Albion FC @ Hull City AFC,West Bromwich Albion FC,Hull City AFC,2.7,3.31,3.16,West Bromwich Albion FC,West Bromwich Albion FC,0.408,N,Upcoming
61,2016-11-26,18:30:00,premier-league,Tottenham Hotspur @ Chelsea,Tottenham Hotspur,Chelsea,5.2,4.0,1.82,Chelsea,Chelsea,0.503,N,Upcoming
62,2016-11-27,13:00:00,premier-league,Stoke City FC @ Watford FC,Stoke City FC,Watford FC,3.4,3.55,2.45,Watford FC,Watford FC,0.525,N,Upcoming
63,2016-11-27,15:15:00,premier-league,Bournemouth AFC @ Arsenal,Bournemouth AFC,Arsenal,9.0,5.3,1.49,Arsenal,Arsenal,0.591,N,Upcoming
64,2016-11-27,17:30:00,premier-league,West Ham United @ Manchester United FC,West Ham United,Manchester United FC,7.8,4.8,1.54,Manchester United FC,Manchester United FC,0.586,N,Upcoming
65,2016-11-27,17:30:00,premier-league,Everton @ Southampton FC,Everton,Southampton FC,3.85,3.52,2.24,Southampton FC,Southampton FC,0.406,N,Upcoming
66,2016-12-03,13:30:00,premier-league,Chelsea @ Manchester City,Chelsea,Manchester City,3.75,3.83,2.2,Manchester City,Manchester City,0.462,N,Upcoming
67,2016-12-03,16:00:00,premier-league,Southampton FC @ Crystal Palace FC,Southampton FC,Crystal Palace FC,2.5,3.49,3.15,Southampton FC,Crystal Palace FC,0.406,Y,Upcoming
68,2016-12-03,16:00:00,premier-league,Leicester City @ Sunderland,Leicester City,Sunderland,2.37,3.59,3.62,Leicester City,Sunderland,0.406,Y,Upcoming
69,2016-12-03,16:00:00,premier-league,Watford FC @ West Bromwich Albion FC,Watford FC,West Bromwich Albion FC,3.3,3.44,2.45,West Bromwich Albion FC,West Bromwich Albion FC,0.449,N,Upcoming
70,2016-12-03,16:00:00,premier-league,Swansea City @ Tottenham Hotspur,Swansea City,Tottenham Hotspur,11.5,6.3,1.34,Tottenham Hotspur,Tottenham Hotspur,0.646,N,Upcoming
71,2016-12-03,16:00:00,premier-league,Burnley FC @ Stoke City FC,Burnley FC,Stoke City FC,5.9,3.98,1.74,Stoke City FC,Stoke City FC,0.453,N,Upcoming
72,2016-12-03,18:30:00,premier-league,Arsenal @ West Ham United,Arsenal,West Ham United,1.82,4.1,4.8,Arsenal,Arsenal,0.526,N,Upcoming
73,2016-12-04,14:30:00,premier-league,Liverpool @ Bournemouth AFC,Liverpool,Bournemouth AFC,1.71,4.38,5.5,Liverpool,Liverpool,0.483,N,Upcoming
74,2016-12-04,17:00:00,premier-league,Manchester United FC @ Everton,Manchester United FC,Everton,2.34,3.55,3.45,Manchester United FC,Everton,0.462,Y,Upcoming
75,2016-12-05,21:00:00,premier-league,Hull City AFC @ Middlesbrough FC,Hull City AFC,Middlesbrough FC,5.23,3.75,1.84,Middlesbrough FC,Middlesbrough FC,0.503,N,Upcoming
