ID,Date,Time,League,Matchup_US_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result
86,2016-11-25,20:45:00,primera-division,Eibar vs Real Betis,Eibar,Real Betis,2.05,3.6,4.4,Eibar,Eibar,0.512,N,Upcoming
87,2016-11-26,13:00:00,primera-division,Malaga CF vs Deportivo La Coruna,Malaga CF,Deportivo La Coruna,2.06,3.5,4.3,Malaga,Malaga,0.546,N,Upcoming
88,2016-11-26,16:15:00,primera-division,Real Madrid vs Real Sporting de Gijon,Real Madrid,Real Sporting de Gijon,1.1,18.0,52.05,Real Madrid,Real Madrid,0.654,N,Upcoming
89,2016-11-26,18:30:00,primera-division,RCD Espanyol vs Leganes,RCD Espanyol,Leganes,1.93,3.5,5.31,Espanyol,Espanyol,0.529,N,Upcoming
90,2016-11-26,20:45:00,primera-division,Sevilla FC vs Valencia CF,Sevilla FC,Valencia CF,1.82,4.22,4.8,FC Sevilla,FC Sevilla,0.611,N,Upcoming
91,2016-11-27,12:00:00,primera-division,Villarreal CF vs Alaves,Villarreal CF,Alaves,1.58,4.2,8.63,Villarreal,Villarreal,0.579,N,Upcoming
92,2016-11-27,16:15:00,primera-division,Osasuna vs Atletico Madrid,Osasuna,Atletico Madrid,13.5,6.0,1.36,Atletico Madrid,Atletico Madrid,0.531,N,Upcoming
93,2016-11-27,18:30:00,primera-division,Celta de Vigo vs Granada CF,Celta de Vigo,Granada CF,1.61,4.5,7.0,Celta Vigo,Celta Vigo,0.61,N,Upcoming
94,2016-11-27,20:45:00,primera-division,Real Sociedad vs FC Barcelona,Real Sociedad,FC Barcelona,7.1,5.14,1.57,FC Barcelona,Real Sociedad,0.398,Y,Upcoming
95,2016-11-28,20:45:00,primera-division,U.D. Las Palmas de Gran Canaria vs Athletic Bilbao,U.D. Las Palmas de Gran Canaria,Athletic Bilbao,2.75,3.55,2.9,Las Palmas,Las Palmas,0.422,N,Upcoming
96,2016-12-03,13:00:00,primera-division,Granada CF vs Sevilla FC,Granada CF,Sevilla FC,4.9,3.89,1.85,FC Sevilla,FC Sevilla,0.6,N,Upcoming
97,2016-12-03,16:15:00,primera-division,FC Barcelona vs Real Madrid,FC Barcelona,Real Madrid,1.74,4.55,5.1,FC Barcelona,FC Barcelona,0.406,N,Upcoming
98,2016-12-03,18:30:00,primera-division,Leganes vs Villarreal CF,Leganes,Villarreal CF,3.4,3.3,2.42,Villarreal,Villarreal,0.453,N,Upcoming
99,2016-12-03,20:45:00,primera-division,Atletico Madrid vs RCD Espanyol,Atletico Madrid,RCD Espanyol,1.27,7.0,16.5,Atletico Madrid,Atletico Madrid,0.538,N,Upcoming
100,2016-12-04,12:00:00,primera-division,Real Betis vs Celta de Vigo,Real Betis,Celta de Vigo,2.45,3.56,3.24,Real Betis,Real Betis,0.421,N,Upcoming
101,2016-12-04,16:15:00,primera-division,Athletic Bilbao vs Eibar,Athletic Bilbao,Eibar,1.76,3.93,5.9,Athletic Bilbao,Athletic Bilbao,0.494,N,Upcoming
102,2016-12-04,18:30:00,primera-division,Real Sporting de Gijon vs Osasuna,Real Sporting de Gijon,Osasuna,2.15,3.47,4.25,Sporting Gijon,Sporting Gijon,0.487,N,Upcoming
103,2016-12-04,18:30:00,primera-division,Alaves vs U.D. Las Palmas de Gran Canaria,Alaves,U.D. Las Palmas de Gran Canaria,2.67,3.47,3.05,Alaves,Alaves,0.424,N,Upcoming
104,2016-12-04,20:45:00,primera-division,Valencia CF vs Malaga CF,Valencia CF,Malaga CF,1.88,3.81,5.0,Valencia,Valencia,0.377,N,Upcoming
105,2016-12-05,20:45:00,primera-division,Deportivo La Coruna vs Real Sociedad,Deportivo La Coruna,Real Sociedad,2.79,3.37,2.98,Deportivo,Real Sociedad,0.503,Y,Upcoming
