ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,Visi_Team_PTS,True_Result,Winner_Odd
0,2016-04-06,22:10,CLE vs BOS,CLE,BOS,1.74,2.18,CLE,CLE,0.521,N,7,6,BOS,1.74
1,2016-04-06,23:05,BAL vs MIN,BAL,MIN,1.85,2.02,BAL,BAL,0.666,N,4,2,MIN,1.85
2,2016-04-06,23:05,NYY vs HOU,NYY,HOU,1.79,2.09,NYY,NYY,0.548,N,16,6,HOU,1.79
3,2016-04-06,23:05,PIT vs STL,PIT,STL,1.92,1.94,PIT,PIT,0.515,N,5,1,STL,1.92
4,2016-04-06,23:10,ATL vs WSN,ATL,WSN,2.71,1.5,WSN,WSN,0.657,N,1,3,WSN,2.71
5,2016-04-06,23:10,CIN vs PHI,CIN,PHI,1.76,2.15,CIN,CIN,0.54,N,3,2,PHI,1.76
6,2016-04-07,02:05,OAK vs CHW,OAK,CHW,1.78,2.12,OAK,CHW,0.51,Y,2,1,CHW,1.78
7,2016-04-07,16:35,CIN vs PHI,CIN,PHI,1.78,2.11,CIN,CIN,0.54,N,10,6,PHI,1.78
8,2016-04-07,19:35,OAK vs CHW,OAK,CHW,1.86,2.01,OAK,CHW,0.51,Y,1,6,CHW,1.86
9,2016-04-07,20:05,WSN vs MIA,WSN,MIA,1.72,2.21,WSN,WSN,0.633,N,4,6,MIA,1.72
10,2016-04-07,20:05,NYY vs HOU,NYY,HOU,1.89,1.97,NYY,NYY,0.548,N,8,5,HOU,1.89
11,2016-04-07,20:35,SFG vs LAD,SFG,LAD,1.82,2.05,SFG,LAD,0.511,Y,12,6,LAD,1.82
12,2016-04-07,23:05,BAL vs MIN,BAL,MIN,1.73,2.17,BAL,BAL,0.666,N,4,2,MIN,1.73
13,2016-04-08,01:40,ARI vs CHC,ARI,CHC,2.42,1.59,CHC,CHC,0.667,N,6,14,CHC,2.42
14,2016-04-08,02:05,LAA vs TEX,LAA,TEX,1.71,2.22,LAA,TEX,0.584,Y,4,3,TEX,1.71
15,2016-04-08,17:10,DET vs NYY,DET,NYY,1.83,2.04,DET,DET,0.541,N,4,0,NYY,1.83
16,2016-04-08,17:10,NYM vs PHI,NYM,PHI,1.37,3.27,NYM,NYM,0.636,N,7,2,PHI,1.37
17,2016-04-08,20:10,CHW vs CLE,CHW,CLE,2.22,1.72,CLE,CLE,0.521,N,1,7,CLE,2.22
18,2016-04-08,20:10,COL vs SDP,COL,SDP,1.67,2.29,COL,COL,0.591,N,6,13,SDP,1.67
19,2016-04-08,23:05,BAL vs TBR,BAL,TBR,2.14,1.77,TBR,BAL,0.6,Y,6,1,TBR,2.14
20,2016-04-08,23:07,TOR vs BOS,TOR,BOS,1.61,2.42,TOR,TOR,0.507,N,7,8,BOS,1.61
21,2016-04-08,23:10,CIN vs PIT,CIN,PIT,2.26,1.69,PIT,PIT,0.536,N,5,6,PIT,2.26
22,2016-04-08,23:35,ATL vs STL,ATL,STL,2.39,1.62,STL,STL,0.599,N,4,7,STL,2.39
23,2016-04-09,00:10,MIL vs HOU,MIL,HOU,2.07,1.82,HOU,HOU,0.508,N,6,4,HOU,2.07
24,2016-04-09,00:15,KCR vs MIN,KCR,MIN,1.63,2.38,KCR,KCR,0.621,N,4,3,MIN,1.63
25,2016-04-09,01:40,ARI vs CHC,ARI,CHC,2.12,1.77,CHC,CHC,0.667,N,3,2,CHC,2.12
26,2016-04-09,02:05,LAA vs TEX,LAA,TEX,1.76,2.15,LAA,TEX,0.584,Y,3,7,TEX,1.76
27,2016-04-09,02:10,SEA vs OAK,SEA,OAK,1.66,2.33,SEA,SEA,0.613,N,2,3,OAK,1.66
28,2016-04-09,02:15,SFG vs LAD,SFG,LAD,1.9,1.97,SFG,LAD,0.511,Y,3,2,LAD,1.9
29,2016-04-09,17:07,TOR vs BOS,TOR,BOS,1.81,2.07,TOR,TOR,0.507,N,4,8,BOS,1.81
30,2016-04-09,17:10,CIN vs PIT,CIN,PIT,2.14,1.76,PIT,PIT,0.536,N,5,1,PIT,2.14
31,2016-04-09,17:10,DET vs NYY,DET,NYY,1.9,1.96,DET,DET,0.541,N,4,8,NYY,1.9
32,2016-04-09,18:10,CHW vs CLE,CHW,CLE,1.59,2.47,CHW,CLE,0.521,Y,7,3,CLE,1.59
33,2016-04-09,20:05,SFG vs LAD,SFG,LAD,2.2,1.7,LAD,LAD,0.511,N,2,3,LAD,2.2
34,2016-04-09,23:10,ATL vs STL,ATL,STL,2.25,1.7,STL,STL,0.599,N,2,12,STL,2.25
35,2016-04-09,23:10,MIL vs HOU,MIL,HOU,2.3,1.67,HOU,HOU,0.508,N,4,6,HOU,2.3
36,2016-04-09,23:10,NYM vs PHI,NYM,PHI,1.61,2.44,NYM,NYM,0.636,N,0,1,PHI,1.61
37,2016-04-09,23:15,KCR vs MIN,KCR,MIN,1.77,2.13,KCR,KCR,0.621,N,7,0,MIN,1.77
38,2016-04-10,00:10,ARI vs CHC,ARI,CHC,1.93,1.92,CHC,CHC,0.667,N,2,4,CHC,1.93
39,2016-04-10,00:10,COL vs SDP,COL,SDP,1.79,2.09,COL,COL,0.591,N,3,16,SDP,1.79
40,2016-04-10,01:05,LAA vs TEX,LAA,TEX,1.82,2.07,LAA,TEX,0.584,Y,1,4,TEX,1.82
41,2016-04-10,01:10,SEA vs OAK,SEA,OAK,1.78,2.12,SEA,SEA,0.613,N,1,6,OAK,1.78
42,2016-04-10,17:07,TOR vs BOS,TOR,BOS,1.68,2.28,TOR,TOR,0.507,N,3,0,BOS,1.68
43,2016-04-10,17:10,CIN vs PIT,CIN,PIT,2.03,1.84,PIT,PIT,0.536,N,2,1,PIT,2.03
44,2016-04-10,17:10,NYM vs PHI,NYM,PHI,1.39,3.17,NYM,NYM,0.636,N,2,5,PHI,1.39
45,2016-04-10,17:35,ATL vs STL,ATL,STL,2.45,1.59,STL,STL,0.599,N,7,12,STL,2.45
46,2016-04-10,17:35,BAL vs TBR,BAL,TBR,1.99,1.88,TBR,BAL,0.6,Y,5,3,TBR,1.99
47,2016-04-10,17:35,WSN vs MIA,WSN,MIA,1.66,2.32,WSN,WSN,0.633,N,4,2,MIA,1.66
