ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,Visi_Team_PTS,True_Result,Winner_Odd
59,bundesliga,2016-08-27,14:30,Augsburg vs Wolfsburg,Augsburg,Wolfsburg,2.89,3.33,2.54,Wolfsburg,Augsburg,0.499,Y,0,2,Wolfsburg,2.54
60,bundesliga,2016-08-27,14:30,Hamburger SV vs Ingolstadt,Hamburger SV,Ingolstadt,2.38,3.2,3.26,Hamburger SV,Hamburger SV,0.448,N,1,1,Draw,3.2
61,bundesliga,2016-08-27,14:30,Frankfurt vs Schalke 04,Frankfurt,Schalke 04,3.3,3.47,2.22,Schalke 04,Frankfurt,0.558,Y,1,0,Frankfurt,3.3
62,bundesliga,2016-08-27,14:30,FC Koln vs Darmstadt,FC Koln,Darmstadt,1.55,4.09,6.69,FC Koln,FC Koln,0.603,N,2,0,FC Koln,1.55
73,bundesliga,2016-08-27,17:30,Monchengladb. vs Leverkusen,Monchengladb.,Leverkusen,2.47,3.48,2.88,Monchengladb.,Monchengladb.,0.424,N,2,1,Monchengladb.,2.47
85,bundesliga,2016-08-28,14:30,Hertha Berlin vs Freiburg,Hertha Berlin,Freiburg,2.0,3.45,4.0,Hertha Berlin,Hertha Berlin,0.569,N,2,1,Hertha Berlin,2.0
88,bundesliga,2016-08-28,16:30,Hoffenheim vs RB Leipzig,Hoffenheim,RB Leipzig,2.43,3.41,2.98,Hoffenheim,Hoffenheim,0.393,N,2,2,Draw,3.41
101,bundesliga,2016-09-09,19:30,Schalke 04 vs Bayern Munich,Schalke 04,Bayern Munich,10.81,5.79,1.29,Bayern Munich,Bayern Munich,0.487,N,0,2,Bayern Munich,1.29
104,bundesliga,2016-09-10,14:30,Leverkusen vs Hamburger SV,Leverkusen,Hamburger SV,1.53,4.35,6.38,Leverkusen,Leverkusen,0.581,N,3,1,Leverkusen,1.53
105,bundesliga,2016-09-10,14:30,Darmstadt vs Frankfurt,Darmstadt,Frankfurt,3.29,3.34,2.29,Frankfurt,Frankfurt,0.544,N,1,0,Darmstadt,3.29
106,bundesliga,2016-09-10,14:30,Ingolstadt vs Hertha Berlin,Ingolstadt,Hertha Berlin,2.35,3.14,3.38,Ingolstadt,Hertha Berlin,0.589,Y,0,2,Hertha Berlin,3.38
107,bundesliga,2016-09-10,14:30,Freiburg vs Monchengladb.,Freiburg,Monchengladb.,3.68,3.69,2.01,Monchengladb.,Freiburg,0.481,Y,3,1,Freiburg,3.68
108,bundesliga,2016-09-10,14:30,Wolfsburg vs FC Koln,Wolfsburg,FC Koln,1.81,3.76,4.54,Wolfsburg,FC Koln,0.511,Y,0,0,Draw,3.76
120,bundesliga,2016-09-10,17:30,RB Leipzig vs Dortmund,RB Leipzig,Dortmund,5.68,4.25,1.6,Dortmund,RB Leipzig,0.525,Y,1,0,RB Leipzig,5.68
136,bundesliga,2016-09-11,14:30,Werder Bremen vs Augsburg,Werder Bremen,Augsburg,2.41,3.47,2.97,Werder Bremen,Augsburg,0.377,Y,1,2,Augsburg,2.97
146,bundesliga,2016-09-16,19:30,FC Koln vs Freiburg,FC Koln,Freiburg,1.74,3.84,4.93,FC Koln,FC Koln,0.566,N,3,0,FC Koln,1.74
151,bundesliga,2016-09-17,14:30,Hoffenheim vs Wolfsburg,Hoffenheim,Wolfsburg,2.74,3.62,2.5,Wolfsburg,Hoffenheim,0.603,Y,0,0,Draw,3.62
152,bundesliga,2016-09-17,14:30,Frankfurt vs Leverkusen,Frankfurt,Leverkusen,3.74,3.61,2.02,Leverkusen,Frankfurt,0.549,Y,2,1,Frankfurt,3.74
153,bundesliga,2016-09-17,14:30,Hamburger SV vs RB Leipzig,Hamburger SV,RB Leipzig,2.7,3.32,2.72,Hamburger SV,RB Leipzig,0.695,Y,0,4,RB Leipzig,2.72
154,bundesliga,2016-09-17,14:30,Dortmund vs Darmstadt,Dortmund,Darmstadt,1.16,8.24,17.78,Dortmund,Dortmund,0.618,N,6,0,Dortmund,1.16
155,bundesliga,2016-09-17,14:30,Bayern Munich vs Ingolstadt,Bayern Munich,Ingolstadt,1.13,8.84,22.93,Bayern Munich,Bayern Munich,0.632,N,3,1,Bayern Munich,1.13
163,bundesliga,2016-09-17,17:30,Monchengladb. vs Werder Bremen,Monchengladb.,Werder Bremen,1.44,4.98,6.93,Monchengladb.,Monchengladb.,0.565,N,4,1,Monchengladb.,1.44
185,bundesliga,2016-09-18,16:30,Hertha Berlin vs Schalke 04,Hertha Berlin,Schalke 04,2.74,3.33,2.66,Schalke 04,Hertha Berlin,0.558,Y,2,0,Hertha Berlin,2.74
