ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,Visi_Team_PTS,True_Result,Winner_Odd
0,ligue-1,2016-08-12,19:30,Monaco vs Guingamp,Monaco,Guingamp,1.69,3.7,5.5,Monaco,Monaco,0.559,N,2,2,Draw,3.7
1,premier-league,2016-08-13,15:00,Everton vs Tottenham,Everton,Tottenham,3.55,3.4,2.19,Tottenham,Everton,0.385,Y,1,1,Draw,3.4
2,premier-league,2016-08-13,15:00,Burnley vs Swansea City,Burnley,Swansea City,2.77,3.15,2.82,Burnley,Burnley,0.577,N,0,1,Swansea City,2.82
3,premier-league,2016-08-13,15:00,Crystal Palace vs West Bromwich,Crystal Palace,West Bromwich,2.17,3.17,3.91,Crystal Palace,Crystal Palace,0.385,N,0,1,West Bromwich,3.91
4,premier-league,2016-08-13,15:00,Southampton vs Watford,Southampton,Watford,1.79,3.71,4.86,Southampton,Southampton,0.427,N,1,1,Draw,3.71
5,premier-league,2016-08-13,15:00,Middlesbrough vs Stoke City,Middlesbrough,Stoke City,2.24,3.25,3.61,Middlesbrough,Middlesbrough,0.449,N,1,1,Draw,3.25
6,ligue-1,2016-08-13,16:00,Bordeaux vs Saint-Etienne,Bordeaux,Saint-Etienne,2.36,3.03,3.41,Bordeaux,Bordeaux,0.486,N,3,2,Bordeaux,2.36
7,premier-league,2016-08-13,17:30,Manchester City vs Sunderland,Manchester City,Sunderland,1.24,6.44,14.1,Manchester City,Manchester City,0.647,N,2,1,Manchester City,1.24
8,ligue-1,2016-08-13,19:00,Caen vs Lorient,Caen,Lorient,2.3,3.2,3.33,Caen,Caen,0.546,N,3,2,Caen,2.3
9,ligue-1,2016-08-13,19:00,Montpellier vs Angers,Montpellier,Angers,1.88,3.21,4.91,Montpellier,Montpellier,0.429,N,1,0,Montpellier,1.88
10,ligue-1,2016-08-13,19:00,Metz vs Lille,Metz,Lille,3.67,3.08,2.23,Lille,Metz,0.567,Y,3,2,Metz,3.67
11,ligue-1,2016-08-13,19:00,Dijon vs Nantes,Dijon,Nantes,2.52,2.98,3.17,Dijon,Dijon,0.515,N,0,1,Nantes,3.17
12,premier-league,2016-08-14,13:30,Bournemouth vs Manchester Utd,Bournemouth,Manchester Utd,5.3,3.62,1.76,Manchester Utd,Bournemouth,0.406,Y,1,3,Manchester Utd,1.76
13,ligue-1,2016-08-14,14:00,Nancy vs Lyon,Nancy,Lyon,3.06,3.23,2.45,Lyon,Lyon,0.458,N,0,3,Lyon,2.45
14,premier-league,2016-08-14,16:00,Arsenal vs Liverpool,Arsenal,Liverpool,2.74,3.36,2.71,Liverpool,Arsenal,0.437,Y,3,4,Liverpool,2.71
