ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,Visi_Team_PTS,True_Result,Winner_Odd
0,2016-04-06,00:10,MIA vs DET,MIA,DET,1.98,1.89,DET,MIA,0.5,Y,7,8,DET,1.98
1,2016-04-06,00:10,TBR vs TOR,TBR,TOR,1.95,1.92,TOR,TOR,0.547,N,3,2,TOR,1.95
2,2016-04-06,01:05,TEX vs SEA,TEX,SEA,1.92,1.95,TEX,TEX,0.573,N,2,10,SEA,1.92
3,2016-04-06,01:10,MIL vs SFG,MIL,SFG,2.38,1.63,SFG,MIL,0.508,Y,1,2,SFG,2.38
4,2016-04-06,02:40,ARI vs COL,ARI,COL,1.78,2.12,ARI,COL,0.515,Y,11,6,COL,1.78
5,2016-04-06,03:05,OAK vs CHW,OAK,CHW,1.98,1.88,CHW,CHW,0.51,N,4,5,CHW,1.98
6,2016-04-06,03:10,SDP vs LAD,SDP,LAD,2.04,1.84,LAD,LAD,0.596,N,0,3,LAD,2.04
7,2016-04-06,18:10,TBR vs TOR,TBR,TOR,2.13,1.78,TOR,TOR,0.547,N,5,3,TOR,2.13
8,2016-04-06,18:40,MIL vs SFG,MIL,SFG,2.19,1.73,SFG,MIL,0.508,Y,4,3,SFG,2.19
9,2016-04-06,19:05,TEX vs SEA,TEX,SEA,2.09,1.81,SEA,TEX,0.573,Y,5,9,SEA,2.09
10,2016-04-06,20:40,ARI vs COL,ARI,COL,1.67,2.31,ARI,COL,0.515,Y,3,4,COL,1.67
11,2016-04-06,21:55,MIA vs DET,MIA,DET,1.62,2.42,MIA,MIA,0.5,N,3,7,DET,1.62
12,2016-04-06,23:10,CLE vs BOS,CLE,BOS,1.74,2.19,CLE,CLE,0.521,N,7,6,BOS,1.74
13,2016-04-07,00:05,BAL vs MIN,BAL,MIN,1.85,2.02,BAL,BAL,0.666,N,4,2,MIN,1.85
14,2016-04-07,00:05,NYY vs HOU,NYY,HOU,1.8,2.1,NYY,NYY,0.548,N,16,6,HOU,1.8
15,2016-04-07,00:10,CIN vs PHI,CIN,PHI,1.76,2.15,CIN,CIN,0.54,N,3,2,PHI,1.76
