ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
0,2016-10-29,00:30,Cleveland Cavaliers vs Orlando Magic,Cleveland Cavaliers,Orlando Magic,1.13,6.9,Cleveland Cavaliers,Cleveland Cavaliers,0.963,N,Cleveland Cavaliers,1.13
1,2016-10-29,00:30,New York Knicks vs Memphis Grizzlies,New York Knicks,Memphis Grizzlies,1.69,2.26,New York Knicks,New York Knicks,0.706,N,New York Knicks,1.69
2,2016-10-29,02:00,Chicago Bulls vs Indiana Pacers,Chicago Bulls,Indiana Pacers,1.65,2.3,Chicago Bulls,Chicago Bulls,0.834,N,Chicago Bulls,1.65
3,2016-10-29,02:00,Denver Nuggets vs Portland Trail Blazers,Denver Nuggets,Portland Trail Blazers,2.02,1.87,Portland Trail Blazers,Denver Nuggets,0.614,Y,Portland Trail Blazers,1.87
4,2016-10-29,02:00,Milwaukee Bucks vs Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets,1.28,3.85,Milwaukee Bucks,Milwaukee Bucks,0.766,N,Milwaukee Bucks,1.28
5,2016-10-29,02:00,San Antonio Spurs vs New Orleans Pelicans,San Antonio Spurs,New Orleans Pelicans,1.06,10.71,San Antonio Spurs,San Antonio Spurs,0.953,N,San Antonio Spurs,1.06
6,2016-10-29,02:30,Sacramento Kings vs Minnesota Timberwolves,Sacramento Kings,Minnesota Timberwolves,1.91,1.96,Sacramento Kings,Sacramento Kings,0.586,N,Sacramento Kings,1.91
7,2016-10-30,00:00,Houston Rockets vs Dallas Mavericks,Houston Rockets,Dallas Mavericks,1.52,2.67,Houston Rockets,Houston Rockets,0.847,N,Houston Rockets,1.52
8,2016-10-30,00:00,Memphis Grizzlies vs Washington Wizards,Memphis Grizzlies,Washington Wizards,2.38,1.63,Washington Wizards,Washington Wizards,0.519,N,Memphis Grizzlies,2.38
9,2016-10-30,20:30,Los Angeles Clippers vs Utah Jazz,Los Angeles Clippers,Utah Jazz,1.31,3.68,Los Angeles Clippers,Los Angeles Clippers,0.932,N,Los Angeles Clippers,1.31
10,2016-10-30,22:00,Detroit Pistons vs Milwaukee Bucks,Detroit Pistons,Milwaukee Bucks,1.28,3.95,Detroit Pistons,Detroit Pistons,0.698,N,Detroit Pistons,1.28
11,2016-10-30,22:00,Miami Heat vs San Antonio Spurs,Miami Heat,San Antonio Spurs,3.22,1.38,San Antonio Spurs,San Antonio Spurs,0.647,N,San Antonio Spurs,1.38
12,2016-10-30,22:00,Phoenix Suns vs Golden State Warriors,Phoenix Suns,Golden State Warriors,7.27,1.11,Golden State Warriors,Golden State Warriors,0.687,N,Golden State Warriors,1.11
13,2016-10-30,23:00,Oklahoma City Thunder vs Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,1.24,4.45,Oklahoma City Thunder,Oklahoma City Thunder,0.753,N,Oklahoma City Thunder,1.24
14,2016-10-31,02:30,Los Angeles Clippers vs Phoenix Suns,Los Angeles Clippers,Phoenix Suns,1.1,8.28,Los Angeles Clippers,Los Angeles Clippers,0.984,N,Los Angeles Clippers,1.1
15,2016-10-31,23:30,Atlanta Hawks vs Sacramento Kings,Atlanta Hawks,Sacramento Kings,1.33,3.52,Atlanta Hawks,Atlanta Hawks,0.93,N,Atlanta Hawks,1.33
16,2016-10-31,23:30,Brooklyn Nets vs Chicago Bulls,Brooklyn Nets,Chicago Bulls,3.41,1.35,Chicago Bulls,Chicago Bulls,0.603,N,Chicago Bulls,1.35
17,2016-10-31,23:30,Toronto Raptors vs Denver Nuggets,Toronto Raptors,Denver Nuggets,1.34,3.46,Toronto Raptors,Toronto Raptors,0.872,N,Toronto Raptors,1.34
18,2016-11-01,00:00,Minnesota Timberwolves vs Memphis Grizzlies,Minnesota Timberwolves,Memphis Grizzlies,1.35,3.47,Minnesota Timberwolves,Minnesota Timberwolves,0.756,N,Minnesota Timberwolves,1.35
19,2016-11-01,00:00,New Orleans Pelicans vs Milwaukee Bucks,New Orleans Pelicans,Milwaukee Bucks,1.6,2.45,New Orleans Pelicans,Milwaukee Bucks,0.621,Y,Milwaukee Bucks,2.45
20,2016-11-01,00:30,San Antonio Spurs vs Utah Jazz,San Antonio Spurs,Utah Jazz,1.18,5.4,San Antonio Spurs,San Antonio Spurs,0.719,N,Utah Jazz,5.4
