ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
0,2016-10-13,00:30,Florida Panthers vs New Jersey Devils,Florida Panthers,New Jersey Devils,2.16,3.88,Florida Panthers,New Jersey Devils,0.513,Y,Florida Panthers,2.16
1,2016-10-13,00:30,Tampa Bay Lightning vs Detroit Red Wings,Tampa Bay Lightning,Detroit Red Wings,2.91,3.06,Tampa Bay Lightning,Tampa Bay Lightning,0.68,N,Tampa Bay Lightning,2.91
2,2016-10-13,01:00,Pittsburgh Penguins vs Washington Capitals,Pittsburgh Penguins,Washington Capitals,2.61,3.91,Pittsburgh Penguins,Washington Capitals,0.51,Y,Pittsburgh Penguins,2.61
3,2016-10-13,01:00,St. Louis Blues vs Minnesota Wild,St. Louis Blues,Minnesota Wild,2.35,2.22,Minnesota Wild,Minnesota Wild,0.553,N,St. Louis Blues,2.35
4,2016-10-13,01:00,Winnipeg Jets vs Carolina Hurricanes,Winnipeg Jets,Carolina Hurricanes,3.8,2.84,Carolina Hurricanes,Winnipeg Jets,0.629,Y,Winnipeg Jets,3.8
5,2016-10-13,01:30,Dallas Stars vs Anaheim Ducks,Dallas Stars,Anaheim Ducks,3.85,2.49,Anaheim Ducks,Anaheim Ducks,0.603,N,Dallas Stars,3.85
6,2016-10-14,01:00,Nashville Predators vs Chicago Blackhawks,Nashville Predators,Chicago Blackhawks,2.72,2.48,Chicago Blackhawks,Chicago Blackhawks,0.549,N,Nashville Predators,2.72
7,2016-10-14,02:00,Calgary Flames vs Edmonton Oilers,Calgary Flames,Edmonton Oilers,2.29,3.86,Calgary Flames,Edmonton Oilers,0.62,Y,Edmonton Oilers,3.86
8,2016-10-14,03:30,Los Angeles Kings vs Philadelphia Flyers,Los Angeles Kings,Philadelphia Flyers,3.84,2.67,Philadelphia Flyers,Los Angeles Kings,0.607,Y,Philadelphia Flyers,2.67
9,2016-10-15,00:00,Columbus Blue Jackets vs San Jose Sharks,Columbus Blue Jackets,San Jose Sharks,2.1,4.0,Columbus Blue Jackets,Columbus Blue Jackets,0.648,N,San Jose Sharks,4.0
10,2016-10-15,00:00,Florida Panthers vs Detroit Red Wings,Florida Panthers,Detroit Red Wings,2.96,2.74,Detroit Red Wings,Florida Panthers,0.574,Y,Florida Panthers,2.96
11,2016-10-15,00:00,Minnesota Wild vs Winnipeg Jets,Minnesota Wild,Winnipeg Jets,3.84,2.25,Winnipeg Jets,Minnesota Wild,0.669,Y,Minnesota Wild,3.84
12,2016-10-15,00:00,Ottawa Senators vs Montreal Canadiens,Ottawa Senators,Montreal Canadiens,1.84,4.12,Ottawa Senators,Montreal Canadiens,0.67,Y,Ottawa Senators,1.84
13,2016-10-15,00:00,Pittsburgh Penguins vs Anaheim Ducks,Pittsburgh Penguins,Anaheim Ducks,3.61,2.69,Anaheim Ducks,Pittsburgh Penguins,0.56,Y,Pittsburgh Penguins,3.61
14,2016-10-15,00:00,Tampa Bay Lightning vs New Jersey Devils,Tampa Bay Lightning,New Jersey Devils,3.77,2.34,New Jersey Devils,Tampa Bay Lightning,0.6,Y,Tampa Bay Lightning,3.77
15,2016-10-15,00:00,Toronto Maple Leafs vs Boston Bruins,Toronto Maple Leafs,Boston Bruins,1.86,4.06,Toronto Maple Leafs,Boston Bruins,0.647,Y,Toronto Maple Leafs,1.86
16,2016-10-15,00:00,Washington Capitals vs New York Islanders,Washington Capitals,New York Islanders,3.53,2.32,New York Islanders,Washington Capitals,0.722,Y,Washington Capitals,3.53
17,2016-10-15,01:00,St. Louis Blues vs New York Rangers,St. Louis Blues,New York Rangers,3.82,2.62,New York Rangers,New York Rangers,0.713,N,St. Louis Blues,3.82
18,2016-10-15,01:30,Chicago Blackhawks vs Nashville Predators,Chicago Blackhawks,Nashville Predators,3.98,2.37,Nashville Predators,Chicago Blackhawks,0.652,Y,Chicago Blackhawks,3.98
19,2016-10-15,02:00,Arizona Coyotes vs Philadelphia Flyers,Arizona Coyotes,Philadelphia Flyers,3.85,2.53,Philadelphia Flyers,Philadelphia Flyers,0.552,N,Arizona Coyotes,3.85
20,2016-10-15,02:00,Colorado Avalanche vs Dallas Stars,Colorado Avalanche,Dallas Stars,1.74,4.19,Colorado Avalanche,Colorado Avalanche,0.549,N,Colorado Avalanche,1.74
21,2016-10-15,03:00,Vancouver Canucks vs Calgary Flames,Vancouver Canucks,Calgary Flames,2.45,2.45,,Vancouver Canucks,0.571,Y,Vancouver Canucks,2.45
22,2016-10-16,00:00,Edmonton Oilers vs Buffalo Sabres,Edmonton Oilers,Buffalo Sabres,3.84,3.17,Buffalo Sabres,Edmonton Oilers,0.68,Y,Buffalo Sabres,3.17
23,2016-10-16,03:00,Vancouver Canucks vs Carolina Hurricanes,Vancouver Canucks,Carolina Hurricanes,2.67,2.04,Carolina Hurricanes,Carolina Hurricanes,0.518,N,Vancouver Canucks,2.67
24,2016-10-16,23:00,New York Islanders vs Anaheim Ducks,New York Islanders,Anaheim Ducks,2.58,3.71,New York Islanders,Anaheim Ducks,0.56,Y,New York Islanders,2.58
25,2016-10-17,00:00,New York Rangers vs San Jose Sharks,New York Rangers,San Jose Sharks,3.87,2.65,San Jose Sharks,New York Rangers,0.74,Y,New York Rangers,3.87
26,2016-10-17,00:00,Pittsburgh Penguins vs Colorado Avalanche,Pittsburgh Penguins,Colorado Avalanche,2.31,3.88,Pittsburgh Penguins,Pittsburgh Penguins,0.71,N,Colorado Avalanche,3.88
27,2016-10-17,00:30,Detroit Red Wings vs Ottawa Senators,Detroit Red Wings,Ottawa Senators,2.99,2.34,Ottawa Senators,Detroit Red Wings,0.579,Y,Detroit Red Wings,2.99
28,2016-10-17,01:00,Winnipeg Jets vs Boston Bruins,Winnipeg Jets,Boston Bruins,2.08,4.01,Winnipeg Jets,Boston Bruins,0.624,Y,Boston Bruins,4.01
29,2016-10-18,00:00,New Jersey Devils vs Anaheim Ducks,New Jersey Devils,Anaheim Ducks,2.03,3.94,New Jersey Devils,New Jersey Devils,0.594,N,New Jersey Devils,2.03
30,2016-10-18,00:00,New York Islanders vs San Jose Sharks,New York Islanders,San Jose Sharks,3.16,2.29,San Jose Sharks,San Jose Sharks,0.594,N,San Jose Sharks,2.29
31,2016-10-18,00:00,Washington Capitals vs Colorado Avalanche,Washington Capitals,Colorado Avalanche,3.78,2.74,Colorado Avalanche,Washington Capitals,0.76,Y,Washington Capitals,3.78
32,2016-10-18,00:30,Montreal Canadiens vs Pittsburgh Penguins,Montreal Canadiens,Pittsburgh Penguins,2.07,3.95,Montreal Canadiens,Montreal Canadiens,0.694,N,Montreal Canadiens,2.07
33,2016-10-18,00:30,Ottawa Senators vs Arizona Coyotes,Ottawa Senators,Arizona Coyotes,3.03,2.17,Arizona Coyotes,Ottawa Senators,0.699,Y,Ottawa Senators,3.03
34,2016-10-18,00:30,Tampa Bay Lightning vs Florida Panthers,Tampa Bay Lightning,Florida Panthers,3.87,2.9,Florida Panthers,Tampa Bay Lightning,0.662,Y,Tampa Bay Lightning,3.87
