ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,Visi_Team_PTS,True_Result,Winner_Odd
36,serie-a,2016-08-20,19:45,Juventus vs Fiorentina,Juventus,Fiorentina,1.5,4.06,8.06,Juventus,Juventus,0.573,N,2,1,Juventus,1.5
42,serie-a,2016-08-21,17:00,AC Milan vs Torino,AC Milan,Torino,1.9,3.47,4.44,AC Milan,AC Milan,0.503,N,3,2,AC Milan,1.9
45,serie-a,2016-08-21,19:45,Empoli vs Sampdoria,Empoli,Sampdoria,2.16,3.32,3.62,Empoli,Sampdoria,0.436,Y,0,1,Sampdoria,3.62
46,serie-a,2016-08-21,19:45,Genoa vs Cagliari,Genoa,Cagliari,1.99,3.43,4.11,Genoa,Genoa,0.518,N,3,1,Genoa,1.99
47,serie-a,2016-08-21,19:45,Bologna vs Crotone,Bologna,Crotone,1.75,3.45,5.66,Bologna,Bologna,0.601,N,1,0,Bologna,1.75
48,serie-a,2016-08-21,19:45,Palermo vs Sassuolo,Palermo,Sassuolo,3.32,3.13,2.39,Sassuolo,Sassuolo,0.395,N,0,1,Sassuolo,2.39
49,serie-a,2016-08-21,19:45,Pescara vs Napoli,Pescara,Napoli,8.31,4.59,1.43,Napoli,Napoli,0.577,N,2,2,Draw,4.59
50,serie-a,2016-08-21,19:45,Chievo vs Inter Milan,Chievo,Inter Milan,3.95,3.28,2.08,Inter Milan,Chievo,0.471,Y,2,0,Chievo,3.95
51,serie-a,2016-08-21,19:45,Atalanta vs Lazio Roma,Atalanta,Lazio Roma,2.88,3.18,2.65,Lazio Roma,Atalanta,0.451,Y,3,4,Lazio Roma,2.65
70,serie-a,2016-08-27,17:00,Lazio Roma vs Juventus,Lazio Roma,Juventus,4.18,3.23,2.04,Juventus,Juventus,0.406,N,0,1,Juventus,2.04
81,serie-a,2016-08-27,19:45,Napoli vs AC Milan,Napoli,AC Milan,1.61,4.02,5.93,Napoli,Napoli,0.446,N,4,2,Napoli,1.61
89,serie-a,2016-08-28,17:00,Inter Milan vs Palermo,Inter Milan,Palermo,1.31,5.47,10.67,Inter Milan,Inter Milan,0.606,N,1,1,Draw,5.47
93,serie-a,2016-08-28,19:45,Crotone vs Genoa,Crotone,Genoa,6.18,3.89,1.61,Genoa,Genoa,0.494,N,1,3,Genoa,1.61
94,serie-a,2016-08-28,19:45,Udinese vs Empoli,Udinese,Empoli,2.05,3.33,3.95,Udinese,Udinese,0.499,N,2,0,Udinese,2.05
95,serie-a,2016-08-28,19:45,Torino vs Bologna,Torino,Bologna,1.89,3.37,4.64,Torino,Torino,0.553,N,5,1,Torino,1.89
96,serie-a,2016-08-28,19:45,Cagliari vs AS Roma,Cagliari,AS Roma,5.19,4.1,1.66,AS Roma,AS Roma,0.456,N,2,2,Draw,4.1
97,serie-a,2016-08-28,19:45,Fiorentina vs Chievo,Fiorentina,Chievo,1.65,3.7,6.12,Fiorentina,Fiorentina,0.528,N,1,0,Fiorentina,1.65
98,serie-a,2016-08-28,19:45,Sampdoria vs Atalanta,Sampdoria,Atalanta,2.49,3.22,3.05,Sampdoria,Atalanta,0.389,Y,2,1,Sampdoria,2.49
117,serie-a,2016-09-10,17:00,Juventus vs Sassuolo,Juventus,Sassuolo,1.31,5.27,11.76,Juventus,Juventus,0.659,N,3,1,Juventus,1.31
128,serie-a,2016-09-10,19:45,Palermo vs Napoli,Palermo,Napoli,8.92,5.07,1.37,Napoli,Napoli,0.578,N,0,3,Napoli,1.37
130,serie-a,2016-09-11,11:30,Bologna vs Cagliari,Bologna,Cagliari,2.21,3.24,3.6,Bologna,Bologna,0.486,N,2,1,Bologna,2.21
131,serie-a,2016-09-11,14:00,Atalanta vs Torino,Atalanta,Torino,2.62,3.22,2.87,Atalanta,Atalanta,0.487,N,2,1,Atalanta,2.62
132,serie-a,2016-09-11,14:00,AC Milan vs Udinese,AC Milan,Udinese,1.58,4.11,6.03,AC Milan,AC Milan,0.59,N,0,1,Udinese,6.03
