ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Visi_Team_PTS,Home_Team_PTS,True_Result,Winner_Odd
0,2016-04-06,22:10,BOS @ CLE,BOS,CLE,2.18,1.74,CLE,CLE,0.521,N,6,7,CLE,1.74
1,2016-04-06,23:05,MIN @ BAL,MIN,BAL,2.02,1.85,BAL,BAL,0.666,N,2,4,BAL,1.85
2,2016-04-06,23:05,HOU @ NYY,HOU,NYY,2.09,1.79,NYY,NYY,0.548,N,6,16,NYY,1.79
3,2016-04-06,23:05,STL @ PIT,STL,PIT,1.94,1.92,PIT,PIT,0.515,N,1,5,PIT,1.92
4,2016-04-06,23:10,WSN @ ATL,WSN,ATL,1.5,2.71,WSN,WSN,0.657,N,3,1,WSN,2.71
5,2016-04-06,23:10,PHI @ CIN,PHI,CIN,2.15,1.76,CIN,CIN,0.54,N,2,3,CIN,1.76
6,2016-04-07,02:05,CHW @ OAK,CHW,OAK,2.12,1.78,OAK,CHW,0.51,Y,1,2,CHW,1.78
7,2016-04-07,16:35,PHI @ CIN,PHI,CIN,2.11,1.78,CIN,CIN,0.54,N,6,10,CIN,1.78
8,2016-04-07,19:35,CHW @ OAK,CHW,OAK,2.01,1.86,OAK,CHW,0.51,Y,6,1,CHW,1.86
9,2016-04-07,20:05,MIA @ WSN,MIA,WSN,2.21,1.72,WSN,WSN,0.633,N,6,4,MIA,1.72
10,2016-04-07,20:05,HOU @ NYY,HOU,NYY,1.97,1.89,NYY,NYY,0.548,N,5,8,NYY,1.89
11,2016-04-07,20:35,LAD @ SFG,LAD,SFG,2.05,1.82,SFG,LAD,0.511,Y,6,12,SFG,1.82
12,2016-04-07,23:05,MIN @ BAL,MIN,BAL,2.17,1.73,BAL,BAL,0.666,N,2,4,BAL,1.73
13,2016-04-08,01:40,CHC @ ARI,CHC,ARI,1.59,2.42,CHC,CHC,0.667,N,14,6,ARI,2.42
14,2016-04-08,02:05,TEX @ LAA,TEX,LAA,2.22,1.71,LAA,TEX,0.584,Y,3,4,TEX,1.71
15,2016-04-08,17:10,NYY @ DET,NYY,DET,2.04,1.83,DET,DET,0.541,N,0,4,DET,1.83
16,2016-04-08,17:10,PHI @ NYM,PHI,NYM,3.27,1.37,NYM,NYM,0.636,N,2,7,NYM,1.37
17,2016-04-08,20:10,CLE @ CHW,CLE,CHW,1.72,2.22,CLE,CLE,0.521,N,7,1,CLE,2.22
18,2016-04-08,20:10,SDP @ COL,SDP,COL,2.29,1.67,COL,COL,0.591,N,13,6,SDP,1.67
19,2016-04-08,23:05,TBR @ BAL,TBR,BAL,1.77,2.14,TBR,BAL,0.6,Y,1,6,BAL,2.14
20,2016-04-08,23:07,BOS @ TOR,BOS,TOR,2.42,1.61,TOR,TOR,0.507,N,8,7,BOS,1.61
21,2016-04-08,23:10,PIT @ CIN,PIT,CIN,1.69,2.26,PIT,PIT,0.536,N,6,5,PIT,2.26
22,2016-04-08,23:35,STL @ ATL,STL,ATL,1.62,2.39,STL,STL,0.599,N,7,4,STL,2.39
23,2016-04-09,00:10,HOU @ MIL,HOU,MIL,1.82,2.07,HOU,HOU,0.508,N,4,6,HOU,2.07
24,2016-04-09,00:15,MIN @ KCR,MIN,KCR,2.38,1.63,KCR,KCR,0.621,N,3,4,KCR,1.63
25,2016-04-09,01:40,CHC @ ARI,CHC,ARI,1.77,2.12,CHC,CHC,0.667,N,2,3,CHC,2.12
26,2016-04-09,02:05,TEX @ LAA,TEX,LAA,2.15,1.76,LAA,TEX,0.584,Y,7,3,TEX,1.76
27,2016-04-09,02:10,OAK @ SEA,OAK,SEA,2.33,1.66,SEA,SEA,0.613,N,3,2,OAK,1.66
28,2016-04-09,02:15,LAD @ SFG,LAD,SFG,1.97,1.9,SFG,LAD,0.511,Y,2,3,LAD,1.9
29,2016-04-09,17:07,BOS @ TOR,BOS,TOR,2.07,1.81,TOR,TOR,0.507,N,8,4,BOS,1.81
30,2016-04-09,17:10,PIT @ CIN,PIT,CIN,1.76,2.14,PIT,PIT,0.536,N,1,5,CIN,2.14
31,2016-04-09,17:10,NYY @ DET,NYY,DET,1.96,1.9,DET,DET,0.541,N,8,4,NYY,1.9
32,2016-04-09,18:10,CLE @ CHW,CLE,CHW,2.47,1.59,CHW,CLE,0.521,Y,3,7,CHW,1.59
33,2016-04-09,20:05,LAD @ SFG,LAD,SFG,1.7,2.2,LAD,LAD,0.511,N,3,2,LAD,2.2
34,2016-04-09,23:10,STL @ ATL,STL,ATL,1.7,2.25,STL,STL,0.599,N,12,2,STL,2.25
35,2016-04-09,23:10,HOU @ MIL,HOU,MIL,1.67,2.3,HOU,HOU,0.508,N,6,4,HOU,2.3
36,2016-04-09,23:10,PHI @ NYM,PHI,NYM,2.44,1.61,NYM,NYM,0.636,N,1,0,PHI,1.61
37,2016-04-09,23:15,MIN @ KCR,MIN,KCR,2.13,1.77,KCR,KCR,0.621,N,0,7,KCR,1.77
38,2016-04-10,00:10,CHC @ ARI,CHC,ARI,1.92,1.93,CHC,CHC,0.667,N,4,2,CHC,1.93
39,2016-04-10,00:10,SDP @ COL,SDP,COL,2.09,1.79,COL,COL,0.591,N,16,3,COL,1.79
40,2016-04-10,01:05,TEX @ LAA,TEX,LAA,2.07,1.82,LAA,TEX,0.584,Y,4,1,LAA,1.82
41,2016-04-10,01:10,OAK @ SEA,OAK,SEA,2.12,1.78,SEA,SEA,0.613,N,6,1,OAK,1.78
42,2016-04-10,17:07,BOS @ TOR,BOS,TOR,2.28,1.68,TOR,TOR,0.507,N,0,3,TOR,1.68
43,2016-04-10,17:10,PIT @ CIN,PIT,CIN,1.84,2.03,PIT,PIT,0.536,N,1,2,CIN,2.03
44,2016-04-10,17:10,PHI @ NYM,PHI,NYM,3.17,1.39,NYM,NYM,0.636,N,5,2,PHI,1.39
45,2016-04-10,17:35,STL @ ATL,STL,ATL,1.59,2.45,STL,STL,0.599,N,12,7,STL,2.45
46,2016-04-10,17:35,TBR @ BAL,TBR,BAL,1.88,1.99,TBR,BAL,0.6,Y,3,5,BAL,1.99
47,2016-04-10,17:35,MIA @ WSN,MIA,WSN,2.32,1.66,WSN,WSN,0.633,N,2,4,WSN,1.66
48,2016-04-10,18:15,MIN @ KCR,MIN,KCR,2.47,1.58,KCR,KCR,0.621,N,3,4,KCR,1.58
49,2016-04-10,19:35,TEX @ LAA,TEX,LAA,2.05,1.83,LAA,TEX,0.584,Y,1,3,LAA,1.83
50,2016-04-10,20:05,LAD @ SFG,LAD,SFG,2.2,1.72,SFG,LAD,0.511,Y,6,9,SFG,1.72
51,2016-04-10,20:10,CHC @ ARI,CHC,ARI,1.46,2.83,CHC,CHC,0.667,N,7,3,CHC,2.83
52,2016-04-10,20:10,SDP @ COL,SDP,COL,2.18,1.74,COL,COL,0.591,N,3,6,COL,1.74
53,2016-04-10,20:10,OAK @ SEA,OAK,SEA,2.38,1.63,SEA,SEA,0.613,N,2,1,OAK,1.63
54,2016-04-11,17:10,PIT @ DET,PIT,DET,2.42,1.61,DET,DET,0.572,N,7,4,PIT,1.61
55,2016-04-11,18:05,BAL @ BOS,BAL,BOS,2.68,1.51,BOS,BOS,0.598,N,9,7,BAL,1.51
56,2016-04-11,19:05,SDP @ PHI,SDP,PHI,2.08,1.81,PHI,PHI,0.543,N,4,3,SDP,1.81
57,2016-04-11,20:10,CHW @ MIN,CHW,MIN,1.85,2.01,CHW,CHW,0.571,N,4,1,CHW,2.01
58,2016-04-11,20:15,MIL @ STL,MIL,STL,2.49,1.58,STL,STL,0.59,N,1,10,STL,1.58
59,2016-04-11,23:05,ATL @ WSN,ATL,WSN,2.99,1.43,WSN,WSN,0.726,N,4,6,WSN,1.43
60,2016-04-11,23:10,MIA @ NYM,MIA,NYM,2.38,1.63,NYM,NYM,0.571,N,10,3,MIA,1.63
61,2016-04-12,00:10,KCR @ HOU,KCR,HOU,2.19,1.73,HOU,HOU,0.588,N,2,8,KCR,1.73
62,2016-04-12,02:05,LAA @ OAK,LAA,OAK,2.23,1.7,OAK,OAK,0.557,N,4,1,LAA,1.7
63,2016-04-12,02:10,TEX @ SEA,TEX,SEA,2.5,1.56,SEA,SEA,0.507,N,7,3,TEX,1.56
64,2016-04-12,17:10,PIT @ DET,PIT,DET,2.03,1.83,DET,DET,0.572,N,2,8,DET,1.83
