ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Visi_Team_PTS,Home_Team_PTS,True_Result,Winner_Odd
59,bundesliga,2016-08-27,14:30,Wolfsburg @ Augsburg,Wolfsburg,Augsburg,2.54,3.33,2.89,Wolfsburg,Augsburg,0.499,Y,2,0,Wolfsburg,2.54
60,bundesliga,2016-08-27,14:30,Ingolstadt @ Hamburger SV,Ingolstadt,Hamburger SV,3.26,3.2,2.38,Hamburger SV,Hamburger SV,0.448,N,1,1,Draw,3.2
61,bundesliga,2016-08-27,14:30,Schalke 04 @ Frankfurt,Schalke 04,Frankfurt,2.22,3.47,3.3,Schalke 04,Frankfurt,0.558,Y,0,1,Frankfurt,3.3
62,bundesliga,2016-08-27,14:30,Darmstadt @ FC Koln,Darmstadt,FC Koln,6.69,4.09,1.55,FC Koln,FC Koln,0.603,N,0,2,FC Koln,1.55
73,bundesliga,2016-08-27,17:30,Leverkusen @ Monchengladb.,Leverkusen,Monchengladb.,2.88,3.48,2.47,Monchengladb.,Monchengladb.,0.424,N,1,2,Monchengladb.,2.47
85,bundesliga,2016-08-28,14:30,Freiburg @ Hertha Berlin,Freiburg,Hertha Berlin,4.0,3.45,2.0,Hertha Berlin,Hertha Berlin,0.569,N,1,2,Hertha Berlin,2.0
88,bundesliga,2016-08-28,16:30,RB Leipzig @ Hoffenheim,RB Leipzig,Hoffenheim,2.98,3.41,2.43,Hoffenheim,Hoffenheim,0.393,N,2,2,Draw,3.41
101,bundesliga,2016-09-09,19:30,Bayern Munich @ Schalke 04,Bayern Munich,Schalke 04,1.29,5.79,10.81,Bayern Munich,Bayern Munich,0.487,N,2,0,Bayern Munich,1.29
104,bundesliga,2016-09-10,14:30,Hamburger SV @ Leverkusen,Hamburger SV,Leverkusen,6.38,4.35,1.53,Leverkusen,Leverkusen,0.581,N,1,3,Leverkusen,1.53
105,bundesliga,2016-09-10,14:30,Frankfurt @ Darmstadt,Frankfurt,Darmstadt,2.29,3.34,3.29,Frankfurt,Frankfurt,0.544,N,0,1,Darmstadt,3.29
106,bundesliga,2016-09-10,14:30,Hertha Berlin @ Ingolstadt,Hertha Berlin,Ingolstadt,3.38,3.14,2.35,Ingolstadt,Hertha Berlin,0.589,Y,2,0,Hertha Berlin,3.38
107,bundesliga,2016-09-10,14:30,Monchengladb. @ Freiburg,Monchengladb.,Freiburg,2.01,3.69,3.68,Monchengladb.,Freiburg,0.481,Y,1,3,Freiburg,3.68
108,bundesliga,2016-09-10,14:30,FC Koln @ Wolfsburg,FC Koln,Wolfsburg,4.54,3.76,1.81,Wolfsburg,FC Koln,0.511,Y,0,0,Draw,3.76
120,bundesliga,2016-09-10,17:30,Dortmund @ RB Leipzig,Dortmund,RB Leipzig,1.6,4.25,5.68,Dortmund,RB Leipzig,0.525,Y,0,1,RB Leipzig,5.68
136,bundesliga,2016-09-11,14:30,Augsburg @ Werder Bremen,Augsburg,Werder Bremen,2.97,3.47,2.41,Werder Bremen,Augsburg,0.377,Y,2,1,Augsburg,2.97
146,bundesliga,2016-09-16,19:30,Freiburg @ FC Koln,Freiburg,FC Koln,4.93,3.84,1.74,FC Koln,FC Koln,0.566,N,0,3,FC Koln,1.74
151,bundesliga,2016-09-17,14:30,Wolfsburg @ Hoffenheim,Wolfsburg,Hoffenheim,2.5,3.62,2.74,Wolfsburg,Hoffenheim,0.603,Y,0,0,Draw,3.62
