ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Visi_Team_PTS,Home_Team_PTS,True_Result,Winner_Odd
0,ligue-1,2016-08-12,19:30,Guingamp @ Monaco,Guingamp,Monaco,5.5,3.7,1.69,Monaco,Monaco,0.559,N,2,2,Draw,3.7
1,premier-league,2016-08-13,15:00,Tottenham @ Everton,Tottenham,Everton,2.19,3.4,3.55,Tottenham,Everton,0.385,Y,1,1,Draw,3.4
2,premier-league,2016-08-13,15:00,Swansea City @ Burnley,Swansea City,Burnley,2.82,3.15,2.77,Burnley,Burnley,0.577,N,1,0,Swansea City,2.82
3,premier-league,2016-08-13,15:00,West Bromwich @ Crystal Palace,West Bromwich,Crystal Palace,3.91,3.17,2.17,Crystal Palace,Crystal Palace,0.385,N,1,0,West Bromwich,3.91
4,premier-league,2016-08-13,15:00,Watford @ Southampton,Watford,Southampton,4.86,3.71,1.79,Southampton,Southampton,0.427,N,1,1,Draw,3.71
5,premier-league,2016-08-13,15:00,Stoke City @ Middlesbrough,Stoke City,Middlesbrough,3.61,3.25,2.24,Middlesbrough,Middlesbrough,0.449,N,1,1,Draw,3.25
6,ligue-1,2016-08-13,16:00,Saint-Etienne @ Bordeaux,Saint-Etienne,Bordeaux,3.41,3.03,2.36,Bordeaux,Bordeaux,0.486,N,2,3,Bordeaux,2.36
7,premier-league,2016-08-13,17:30,Sunderland @ Manchester City,Sunderland,Manchester City,14.1,6.44,1.24,Manchester City,Manchester City,0.647,N,1,2,Manchester City,1.24
8,ligue-1,2016-08-13,19:00,Lorient @ Caen,Lorient,Caen,3.33,3.2,2.3,Caen,Caen,0.546,N,2,3,Caen,2.3
9,ligue-1,2016-08-13,19:00,Angers @ Montpellier,Angers,Montpellier,4.91,3.21,1.88,Montpellier,Montpellier,0.429,N,0,1,Montpellier,1.88
10,ligue-1,2016-08-13,19:00,Lille @ Metz,Lille,Metz,2.23,3.08,3.67,Lille,Metz,0.567,Y,2,3,Metz,3.67
11,ligue-1,2016-08-13,19:00,Nantes @ Dijon,Nantes,Dijon,3.17,2.98,2.52,Dijon,Dijon,0.515,N,1,0,Nantes,3.17
12,premier-league,2016-08-14,13:30,Manchester Utd @ Bournemouth,Manchester Utd,Bournemouth,1.76,3.62,5.3,Manchester Utd,Bournemouth,0.406,Y,3,1,Manchester Utd,1.76
