ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Visi_Team_PTS,Home_Team_PTS,True_Result,Winner_Odd
0,ligue-1,2016-08-12,19:30,Guingamp @ Monaco,Guingamp,Monaco,5.5,3.7,1.69,Monaco,Monaco,0.559,N,2,2,Draw,3.7
6,ligue-1,2016-08-13,16:00,Saint-Etienne @ Bordeaux,Saint-Etienne,Bordeaux,3.41,3.03,2.36,Bordeaux,Bordeaux,0.486,N,2,3,Bordeaux,2.36
8,ligue-1,2016-08-13,19:00,Lorient @ Caen,Lorient,Caen,3.33,3.2,2.3,Caen,Caen,0.546,N,2,3,Caen,2.3
9,ligue-1,2016-08-13,19:00,Angers @ Montpellier,Angers,Montpellier,4.91,3.21,1.88,Montpellier,Montpellier,0.429,N,0,1,Montpellier,1.88
10,ligue-1,2016-08-13,19:00,Lille @ Metz,Lille,Metz,2.23,3.08,3.67,Lille,Metz,0.567,Y,2,3,Metz,3.67
11,ligue-1,2016-08-13,19:00,Nantes @ Dijon,Nantes,Dijon,3.17,2.98,2.52,Dijon,Dijon,0.515,N,1,0,Nantes,3.17
13,ligue-1,2016-08-14,14:00,Lyon @ Nancy,Lyon,Nancy,2.45,3.23,3.06,Lyon,Lyon,0.458,N,3,0,Lyon,2.45
15,ligue-1,2016-08-14,16:00,Rennes @ Nice,Rennes,Nice,3.24,3.12,2.41,Nice,Nice,0.584,N,0,1,Nice,2.41
16,ligue-1,2016-08-14,19:45,Toulouse @ Marseille,Toulouse,Marseille,3.93,3.24,2.07,Marseille,Marseille,0.441,N,0,0,Draw,3.24
18,ligue-1,2016-08-19,19:45,Caen @ Lyon,Caen,Lyon,8.48,5.0,1.38,Lyon,Lyon,0.566,N,0,2,Lyon,1.38
27,ligue-1,2016-08-20,16:00,Monaco @ Nantes,Monaco,Nantes,3.34,3.0,2.43,Nantes,Monaco,0.571,Y,1,0,Monaco,3.34
30,ligue-1,2016-08-20,19:00,Nice @ Angers,Nice,Angers,3.16,2.86,2.65,Angers,Nice,0.532,Y,1,0,Nice,3.16
31,ligue-1,2016-08-20,19:00,Bordeaux @ Toulouse,Bordeaux,Toulouse,2.95,3.09,2.6,Toulouse,Toulouse,0.451,N,1,4,Toulouse,2.6
32,ligue-1,2016-08-20,19:00,Dijon @ Lille,Dijon,Lille,5.76,3.36,1.75,Lille,Lille,0.382,N,0,1,Lille,1.75
33,ligue-1,2016-08-20,19:00,Nancy @ Rennes,Nancy,Rennes,4.04,3.25,2.05,Rennes,Rennes,0.565,N,0,2,Rennes,2.05
34,ligue-1,2016-08-20,19:00,Bastia @ Lorient,Bastia,Lorient,3.89,3.08,2.16,Lorient,Lorient,0.383,N,3,0,Bastia,3.89
39,ligue-1,2016-08-21,14:00,Marseille @ Guingamp,Marseille,Guingamp,2.69,3.11,2.86,Marseille,Guingamp,0.522,Y,1,2,Guingamp,2.86
41,ligue-1,2016-08-21,16:00,Montpellier @ Saint-Etienne,Montpellier,Saint-Etienne,3.47,3.01,2.37,Saint-Etienne,Saint-Etienne,0.522,N,1,3,Saint-Etienne,2.37
52,ligue-1,2016-08-21,19:45,Metz @ Paris SG,Metz,Paris SG,25.04,9.74,1.11,Paris SG,Paris SG,0.587,N,0,3,Paris SG,1.11
57,ligue-1,2016-08-26,19:45,Lorient @ Marseille,Lorient,Marseille,4.62,3.63,1.81,Marseille,Marseille,0.593,N,0,2,Marseille,1.81
69,ligue-1,2016-08-27,16:00,Lyon @ Dijon,Lyon,Dijon,1.76,3.66,4.94,Lyon,Lyon,0.411,N,2,4,Dijon,4.94
75,ligue-1,2016-08-27,19:00,Angers @ Metz,Angers,Metz,3.03,3.01,2.62,Metz,Metz,0.453,N,0,2,Metz,2.62
76,ligue-1,2016-08-27,19:00,Bastia @ Caen,Bastia,Caen,3.73,3.07,2.22,Caen,Caen,0.47,N,0,2,Caen,2.22
77,ligue-1,2016-08-27,19:00,Lille @ Nice,Lille,Nice,3.13,2.91,2.62,Nice,Nice,0.652,N,1,1,Draw,2.91
78,ligue-1,2016-08-27,19:00,Guingamp @ Nancy,Guingamp,Nancy,4.03,3.28,2.04,Nancy,Guingamp,0.47,Y,2,0,Guingamp,4.03
79,ligue-1,2016-08-27,19:00,Rennes @ Montpellier,Rennes,Montpellier,3.88,3.2,2.11,Montpellier,Montpellier,0.391,N,1,1,Draw,3.2
84,ligue-1,2016-08-28,14:00,Nantes @ Bordeaux,Nantes,Bordeaux,4.01,3.09,2.12,Bordeaux,Bordeaux,0.576,N,0,1,Bordeaux,2.12
87,ligue-1,2016-08-28,16:00,Toulouse @ Saint-Etienne,Toulouse,Saint-Etienne,3.73,3.14,2.18,Saint-Etienne,Saint-Etienne,0.465,N,0,0,Draw,3.14
99,ligue-1,2016-08-28,19:45,Paris SG @ Monaco,Paris SG,Monaco,1.82,3.68,4.55,Paris SG,Monaco,0.473,Y,1,3,Monaco,4.55
116,ligue-1,2016-09-10,16:00,Bordeaux @ Lyon,Bordeaux,Lyon,5.59,4.13,1.61,Lyon,Lyon,0.473,N,3,1,Bordeaux,5.59
122,ligue-1,2016-09-10,19:00,Toulouse @ Bastia,Toulouse,Bastia,2.82,2.92,2.88,Toulouse,Toulouse,0.403,N,1,2,Bastia,2.88
123,ligue-1,2016-09-10,19:00,Nancy @ Lorient,Nancy,Lorient,3.13,3.13,2.48,Lorient,Lorient,0.385,N,2,0,Nancy,3.13
124,ligue-1,2016-09-10,19:00,Dijon @ Angers,Dijon,Angers,3.64,3.04,2.27,Angers,Angers,0.503,N,1,3,Angers,2.27
125,ligue-1,2016-09-10,19:00,Montpellier @ Guingamp,Montpellier,Guingamp,3.27,3.15,2.38,Guingamp,Guingamp,0.55,N,1,1,Draw,3.15
126,ligue-1,2016-09-10,19:00,Monaco @ Lille,Monaco,Lille,3.27,3.05,2.44,Lille,Monaco,0.604,Y,4,1,Monaco,3.27
135,ligue-1,2016-09-11,14:00,Metz @ Nantes,Metz,Nantes,5.64,3.5,1.72,Nantes,Nantes,0.395,N,3,0,Metz,5.64
139,ligue-1,2016-09-11,16:00,Caen @ Rennes,Caen,Rennes,3.85,3.35,2.06,Rennes,Rennes,0.564,N,0,2,Rennes,2.06
143,ligue-1,2016-09-11,19:45,Marseille @ Nice,Marseille,Nice,3.54,3.27,2.2,Nice,Nice,0.61,N,2,3,Nice,2.2
148,ligue-1,2016-09-16,19:45,Paris SG @ Caen,Paris SG,Caen,1.42,4.78,7.81,Paris SG,Paris SG,0.577,N,6,0,Paris SG,1.42
161,ligue-1,2016-09-17,16:00,Rennes @ Monaco,Rennes,Monaco,4.87,3.61,1.78,Monaco,Monaco,0.57,N,0,3,Monaco,1.78
166,ligue-1,2016-09-17,19:00,Angers @ Bordeaux,Angers,Bordeaux,5.15,3.44,1.79,Bordeaux,Bordeaux,0.503,N,1,0,Angers,5.15
167,ligue-1,2016-09-17,19:00,Nantes @ Nancy,Nantes,Nancy,3.67,2.97,2.3,Nancy,Nancy,0.473,N,1,1,Draw,2.97
168,ligue-1,2016-09-17,19:00,Lille @ Lorient,Lille,Lorient,2.24,3.19,3.52,Lille,Lorient,0.427,Y,0,1,Lorient,3.52
169,ligue-1,2016-09-17,19:00,Metz @ Dijon,Metz,Dijon,4.03,3.49,1.96,Dijon,Dijon,0.443,N,0,0,Draw,3.49
170,ligue-1,2016-09-17,19:00,Guingamp @ Toulouse,Guingamp,Toulouse,3.79,3.28,2.11,Toulouse,Toulouse,0.433,N,1,2,Toulouse,2.11
180,ligue-1,2016-09-18,14:00,Nice @ Montpellier,Nice,Montpellier,3.52,3.33,2.17,Montpellier,Nice,0.556,Y,1,1,Draw,3.33
