ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Visi_Team_PTS,Home_Team_PTS,True_Result,Winner_Odd
0,2016-04-06,00:10,DET @ MIA,DET,MIA,1.89,1.98,DET,MIA,0.5,Y,8,7,DET,1.98
1,2016-04-06,00:10,TOR @ TBR,TOR,TBR,1.92,1.95,TOR,TOR,0.547,N,2,3,TBR,1.95
2,2016-04-06,01:05,SEA @ TEX,SEA,TEX,1.95,1.92,TEX,TEX,0.573,N,10,2,SEA,1.92
3,2016-04-06,01:10,SFG @ MIL,SFG,MIL,1.63,2.38,SFG,MIL,0.508,Y,2,1,MIL,2.38
4,2016-04-06,02:40,COL @ ARI,COL,ARI,2.12,1.78,ARI,COL,0.515,Y,6,11,COL,1.78
5,2016-04-06,03:05,CHW @ OAK,CHW,OAK,1.88,1.98,CHW,CHW,0.51,N,5,4,OAK,1.98
6,2016-04-06,03:10,LAD @ SDP,LAD,SDP,1.84,2.04,LAD,LAD,0.596,N,3,0,LAD,2.04
7,2016-04-06,18:10,TOR @ TBR,TOR,TBR,1.78,2.13,TOR,TOR,0.547,N,3,5,TBR,2.13
8,2016-04-06,18:40,SFG @ MIL,SFG,MIL,1.73,2.19,SFG,MIL,0.508,Y,3,4,MIL,2.19
9,2016-04-06,19:05,SEA @ TEX,SEA,TEX,1.81,2.09,SEA,TEX,0.573,Y,9,5,SEA,2.09
10,2016-04-06,20:40,COL @ ARI,COL,ARI,2.31,1.67,ARI,COL,0.515,Y,4,3,COL,1.67
11,2016-04-06,21:55,DET @ MIA,DET,MIA,2.42,1.62,MIA,MIA,0.5,N,7,3,DET,1.62
12,2016-04-06,23:10,BOS @ CLE,BOS,CLE,2.19,1.74,CLE,CLE,0.521,N,6,7,CLE,1.74
13,2016-04-07,00:05,MIN @ BAL,MIN,BAL,2.02,1.85,BAL,BAL,0.666,N,2,4,BAL,1.85
14,2016-04-07,00:05,HOU @ NYY,HOU,NYY,2.1,1.8,NYY,NYY,0.548,N,6,16,NYY,1.8
15,2016-04-07,00:10,PHI @ CIN,PHI,CIN,2.15,1.76,CIN,CIN,0.54,N,2,3,CIN,1.76
16,2016-04-07,03:05,CHW @ OAK,CHW,OAK,2.13,1.77,OAK,CHW,0.51,Y,1,2,CHW,1.77
17,2016-04-07,17:35,PHI @ CIN,PHI,CIN,2.12,1.78,CIN,CIN,0.54,N,6,10,CIN,1.78
18,2016-04-07,20:35,CHW @ OAK,CHW,OAK,2.02,1.86,OAK,CHW,0.51,Y,6,1,CHW,1.86
19,2016-04-07,21:05,MIA @ WSN,MIA,WSN,2.22,1.72,WSN,WSN,0.633,N,6,4,MIA,1.72
20,2016-04-07,21:05,HOU @ NYY,HOU,NYY,1.98,1.89,NYY,NYY,0.548,N,5,8,NYY,1.89
21,2016-04-07,21:35,LAD @ SFG,LAD,SFG,2.06,1.82,SFG,LAD,0.511,Y,6,12,SFG,1.82
22,2016-04-08,02:40,CHC @ ARI,CHC,ARI,1.6,2.41,CHC,CHC,0.667,N,14,6,ARI,2.41
23,2016-04-08,03:05,TEX @ LAA,TEX,LAA,2.22,1.71,LAA,TEX,0.584,Y,3,4,TEX,1.71
24,2016-04-08,18:10,NYY @ DET,NYY,DET,2.04,1.84,DET,DET,0.541,N,0,4,DET,1.84
25,2016-04-08,18:10,PHI @ NYM,PHI,NYM,3.27,1.37,NYM,NYM,0.636,N,2,7,NYM,1.37
26,2016-04-08,21:10,CLE @ CHW,CLE,CHW,1.72,2.22,CLE,CLE,0.521,N,7,1,CLE,2.22
27,2016-04-08,21:10,SDP @ COL,SDP,COL,2.3,1.68,COL,COL,0.591,N,13,6,SDP,1.68
28,2016-04-09,00:07,BOS @ TOR,BOS,TOR,2.43,1.61,TOR,TOR,0.507,N,8,7,BOS,1.61
29,2016-04-09,00:10,PIT @ CIN,PIT,CIN,1.7,2.26,PIT,PIT,0.536,N,6,5,CIN,2.26
30,2016-04-09,00:35,STL @ ATL,STL,ATL,1.62,2.39,STL,STL,0.599,N,7,4,STL,2.39
31,2016-04-09,01:10,HOU @ MIL,HOU,MIL,1.82,2.07,HOU,HOU,0.508,N,4,6,HOU,2.07
32,2016-04-09,01:15,MIN @ KCR,MIN,KCR,2.38,1.63,KCR,KCR,0.621,N,3,4,KCR,1.63
33,2016-04-09,02:40,CHC @ ARI,CHC,ARI,1.78,2.13,CHC,CHC,0.667,N,2,3,CHC,2.13
34,2016-04-09,03:05,TEX @ LAA,TEX,LAA,2.15,1.77,LAA,TEX,0.584,Y,7,3,TEX,1.77
35,2016-04-09,03:10,OAK @ SEA,OAK,SEA,2.34,1.66,SEA,SEA,0.613,N,3,2,OAK,1.66
36,2016-04-09,03:15,LAD @ SFG,LAD,SFG,1.97,1.9,SFG,LAD,0.511,Y,2,3,LAD,1.9
37,2016-04-09,18:07,BOS @ TOR,BOS,TOR,2.07,1.82,TOR,TOR,0.507,N,8,4,BOS,1.82
38,2016-04-09,18:10,PIT @ CIN,PIT,CIN,1.77,2.14,PIT,PIT,0.536,N,1,5,CIN,2.14
39,2016-04-09,18:10,NYY @ DET,NYY,DET,1.97,1.9,DET,DET,0.541,N,8,4,NYY,1.9
40,2016-04-09,19:10,CLE @ CHW,CLE,CHW,2.47,1.59,CHW,CLE,0.521,Y,3,7,CHW,1.59
41,2016-04-09,21:05,LAD @ SFG,LAD,SFG,1.71,2.2,LAD,LAD,0.511,N,3,2,LAD,2.2
42,2016-04-10,00:10,STL @ ATL,STL,ATL,1.7,2.25,STL,STL,0.599,N,12,2,STL,2.25
43,2016-04-10,00:10,PHI @ NYM,PHI,NYM,2.45,1.61,NYM,NYM,0.636,N,1,0,PHI,1.61
44,2016-04-10,00:15,MIN @ KCR,MIN,KCR,2.14,1.77,KCR,KCR,0.621,N,0,7,KCR,1.77
45,2016-04-10,01:10,CHC @ ARI,CHC,ARI,1.93,1.93,CHC,CHC,0.667,N,4,2,CHC,1.93
46,2016-04-10,01:10,SDP @ COL,SDP,COL,2.1,1.8,COL,COL,0.591,N,16,3,COL,1.8
47,2016-04-10,02:05,TEX @ LAA,TEX,LAA,2.07,1.82,LAA,TEX,0.584,Y,4,1,LAA,1.82
48,2016-04-10,02:10,OAK @ SEA,OAK,SEA,2.13,1.78,SEA,SEA,0.613,N,6,1,OAK,1.78
49,2016-04-10,18:07,BOS @ TOR,BOS,TOR,2.28,1.68,TOR,TOR,0.507,N,0,3,TOR,1.68
50,2016-04-10,18:10,PIT @ CIN,PIT,CIN,1.85,2.04,PIT,PIT,0.536,N,1,2,CIN,2.04
51,2016-04-10,18:10,PHI @ NYM,PHI,NYM,3.17,1.39,NYM,NYM,0.636,N,5,2,PHI,1.39
52,2016-04-10,18:35,STL @ ATL,STL,ATL,1.6,2.46,STL,STL,0.599,N,12,7,STL,2.46
53,2016-04-10,18:35,TBR @ BAL,TBR,BAL,1.88,1.99,TBR,BAL,0.6,Y,3,5,BAL,1.99
54,2016-04-10,18:35,MIA @ WSN,MIA,WSN,2.33,1.66,WSN,WSN,0.633,N,2,4,WSN,1.66
55,2016-04-10,19:10,HOU @ MIL,HOU,MIL,1.59,2.47,HOU,HOU,0.508,N,2,3,MIL,2.47
56,2016-04-10,19:15,MIN @ KCR,MIN,KCR,2.48,1.59,KCR,KCR,0.621,N,3,4,KCR,1.59
57,2016-04-10,20:35,TEX @ LAA,TEX,LAA,2.05,1.83,LAA,TEX,0.584,Y,1,3,LAA,1.83
58,2016-04-10,21:05,LAD @ SFG,LAD,SFG,2.21,1.72,SFG,LAD,0.511,Y,6,9,SFG,1.72
59,2016-04-10,21:10,CHC @ ARI,CHC,ARI,1.46,2.83,CHC,CHC,0.667,N,7,3,CHC,2.83
60,2016-04-10,21:10,SDP @ COL,SDP,COL,2.18,1.74,COL,COL,0.591,N,3,6,COL,1.74
61,2016-04-10,21:10,OAK @ SEA,OAK,SEA,2.39,1.63,SEA,SEA,0.613,N,2,1,OAK,1.63
62,2016-04-11,18:10,PIT @ DET,PIT,DET,2.43,1.62,DET,DET,0.572,N,7,4,PIT,1.62
63,2016-04-11,19:05,BAL @ BOS,BAL,BOS,2.69,1.52,BOS,BOS,0.598,N,9,7,BAL,1.52
64,2016-04-11,20:05,SDP @ PHI,SDP,PHI,2.08,1.81,PHI,PHI,0.543,N,4,3,SDP,1.81
65,2016-04-11,21:10,CHW @ MIN,CHW,MIN,1.86,2.01,CHW,CHW,0.571,N,4,1,CHW,2.01
66,2016-04-11,21:15,MIL @ STL,MIL,STL,2.5,1.58,STL,STL,0.59,N,1,10,STL,1.58
67,2016-04-12,00:05,ATL @ WSN,ATL,WSN,3.0,1.43,WSN,WSN,0.726,N,4,6,WSN,1.43
68,2016-04-12,00:10,MIA @ NYM,MIA,NYM,2.38,1.63,NYM,NYM,0.571,N,10,3,MIA,1.63
69,2016-04-12,01:10,KCR @ HOU,KCR,HOU,2.2,1.73,HOU,HOU,0.588,N,2,8,KCR,1.73
70,2016-04-12,03:05,LAA @ OAK,LAA,OAK,2.23,1.7,OAK,OAK,0.557,N,4,1,LAA,1.7
71,2016-04-12,03:10,TEX @ SEA,TEX,SEA,2.51,1.57,SEA,SEA,0.507,N,7,3,TEX,1.57
72,2016-04-12,18:10,PIT @ DET,PIT,DET,2.03,1.84,DET,DET,0.572,N,2,8,DET,1.84
73,2016-04-12,21:10,ARI @ LAD,ARI,LAD,2.21,1.72,LAD,LAD,0.673,N,4,2,ARI,1.72
74,2016-04-13,00:05,ATL @ WSN,ATL,WSN,2.58,1.55,WSN,WSN,0.726,N,1,2,WSN,1.55
75,2016-04-13,00:05,SDP @ PHI,SDP,PHI,1.91,1.96,SDP,PHI,0.543,Y,0,3,PHI,1.96
76,2016-04-13,00:07,NYY @ TOR,NYY,TOR,2.03,1.85,TOR,TOR,0.559,N,3,2,TOR,1.85
77,2016-04-13,00:10,BAL @ BOS,BAL,BOS,2.38,1.63,BOS,BOS,0.598,N,9,5,BOS,1.63
78,2016-04-13,00:10,MIA @ NYM,MIA,NYM,2.14,1.76,NYM,NYM,0.571,N,2,1,NYM,1.76
79,2016-04-13,00:10,CLE @ TBR,CLE,TBR,1.82,2.07,CLE,CLE,0.561,N,1,5,CLE,2.07
80,2016-04-13,01:10,KCR @ HOU,KCR,HOU,2.15,1.76,HOU,HOU,0.588,N,3,2,KCR,1.76
81,2016-04-13,01:40,SFG @ COL,SFG,COL,1.97,1.9,COL,COL,0.506,N,7,2,COL,1.9
82,2016-04-13,03:05,LAA @ OAK,LAA,OAK,1.99,1.88,OAK,OAK,0.557,N,5,4,LAA,1.88
83,2016-04-13,03:10,TEX @ SEA,TEX,SEA,2.13,1.77,SEA,SEA,0.507,N,8,0,SEA,1.77
84,2016-04-13,18:10,MIA @ NYM,MIA,NYM,2.04,1.84,NYM,NYM,0.571,N,1,2,NYM,1.84
85,2016-04-13,20:35,LAA @ OAK,LAA,OAK,1.93,1.94,LAA,OAK,0.557,Y,5,1,LAA,1.94
86,2016-04-13,20:40,TEX @ SEA,TEX,SEA,2.27,1.68,SEA,SEA,0.507,N,2,4,SEA,1.68
