ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
0,2016-10-29,00:30,Orlando Magic @ Cleveland Cavaliers,Orlando Magic,Cleveland Cavaliers,6.9,1.13,Cleveland Cavaliers,Cleveland Cavaliers,0.963,N,Cleveland Cavaliers,1.13
1,2016-10-29,00:30,Memphis Grizzlies @ New York Knicks,Memphis Grizzlies,New York Knicks,2.26,1.69,New York Knicks,New York Knicks,0.706,N,New York Knicks,1.69
2,2016-10-29,02:00,Indiana Pacers @ Chicago Bulls,Indiana Pacers,Chicago Bulls,2.3,1.65,Chicago Bulls,Chicago Bulls,0.834,N,Chicago Bulls,1.65
3,2016-10-29,02:00,Portland Trail Blazers @ Denver Nuggets,Portland Trail Blazers,Denver Nuggets,1.87,2.02,Portland Trail Blazers,Denver Nuggets,0.614,Y,Portland Trail Blazers,1.87
4,2016-10-29,02:00,Brooklyn Nets @ Milwaukee Bucks,Brooklyn Nets,Milwaukee Bucks,3.85,1.28,Milwaukee Bucks,Milwaukee Bucks,0.766,N,Milwaukee Bucks,1.28
5,2016-10-29,02:00,New Orleans Pelicans @ San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,10.71,1.06,San Antonio Spurs,San Antonio Spurs,0.953,N,San Antonio Spurs,1.06
6,2016-10-29,02:30,Minnesota Timberwolves @ Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,1.96,1.91,Sacramento Kings,Sacramento Kings,0.586,N,Sacramento Kings,1.91
7,2016-10-30,00:00,Dallas Mavericks @ Houston Rockets,Dallas Mavericks,Houston Rockets,2.67,1.52,Houston Rockets,Houston Rockets,0.847,N,Houston Rockets,1.52
8,2016-10-30,00:00,Washington Wizards @ Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,1.63,2.38,Washington Wizards,Washington Wizards,0.519,N,Memphis Grizzlies,2.38
9,2016-10-30,20:30,Utah Jazz @ Los Angeles Clippers,Utah Jazz,Los Angeles Clippers,3.68,1.31,Los Angeles Clippers,Los Angeles Clippers,0.932,N,Los Angeles Clippers,1.31
10,2016-10-30,22:00,Milwaukee Bucks @ Detroit Pistons,Milwaukee Bucks,Detroit Pistons,3.95,1.28,Detroit Pistons,Detroit Pistons,0.698,N,Detroit Pistons,1.28
11,2016-10-30,22:00,San Antonio Spurs @ Miami Heat,San Antonio Spurs,Miami Heat,1.38,3.22,San Antonio Spurs,San Antonio Spurs,0.647,N,San Antonio Spurs,1.38
12,2016-10-30,22:00,Golden State Warriors @ Phoenix Suns,Golden State Warriors,Phoenix Suns,1.11,7.27,Golden State Warriors,Golden State Warriors,0.687,N,Golden State Warriors,1.11
13,2016-10-30,23:00,Los Angeles Lakers @ Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,4.45,1.24,Oklahoma City Thunder,Oklahoma City Thunder,0.753,N,Oklahoma City Thunder,1.24
14,2016-10-31,02:30,Phoenix Suns @ Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,8.28,1.1,Los Angeles Clippers,Los Angeles Clippers,0.984,N,Los Angeles Clippers,1.1
15,2016-10-31,23:30,Sacramento Kings @ Atlanta Hawks,Sacramento Kings,Atlanta Hawks,3.52,1.33,Atlanta Hawks,Atlanta Hawks,0.93,N,Atlanta Hawks,1.33
16,2016-10-31,23:30,Chicago Bulls @ Brooklyn Nets,Chicago Bulls,Brooklyn Nets,1.35,3.41,Chicago Bulls,Chicago Bulls,0.603,N,Chicago Bulls,1.35
17,2016-10-31,23:30,Denver Nuggets @ Toronto Raptors,Denver Nuggets,Toronto Raptors,3.46,1.34,Toronto Raptors,Toronto Raptors,0.872,N,Toronto Raptors,1.34
18,2016-11-01,00:00,Memphis Grizzlies @ Minnesota Timberwolves,Memphis Grizzlies,Minnesota Timberwolves,3.47,1.35,Minnesota Timberwolves,Minnesota Timberwolves,0.756,N,Minnesota Timberwolves,1.35
19,2016-11-01,00:00,Milwaukee Bucks @ New Orleans Pelicans,Milwaukee Bucks,New Orleans Pelicans,2.45,1.6,New Orleans Pelicans,Milwaukee Bucks,0.621,Y,Milwaukee Bucks,2.45
20,2016-11-01,00:30,Utah Jazz @ San Antonio Spurs,Utah Jazz,San Antonio Spurs,5.4,1.18,San Antonio Spurs,San Antonio Spurs,0.719,N,Utah Jazz,5.4
21,2016-11-01,02:00,Golden State Warriors @ Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,1.47,2.82,Golden State Warriors,Golden State Warriors,0.575,N,Golden State Warriors,1.47
22,2016-11-01,22:00,Houston Rockets @ Cleveland Cavaliers,Houston Rockets,Cleveland Cavaliers,5.19,1.19,Cleveland Cavaliers,Cleveland Cavaliers,0.743,N,Cleveland Cavaliers,1.19
23,2016-11-01,23:00,Los Angeles Lakers @ Indiana Pacers,Los Angeles Lakers,Indiana Pacers,4.58,1.23,Indiana Pacers,Los Angeles Lakers,0.609,Y,Indiana Pacers,1.23
24,2016-11-01,23:00,Orlando Magic @ Philadelphia 76ers,Orlando Magic,Philadelphia 76ers,1.47,2.83,Orlando Magic,Philadelphia 76ers,0.67,Y,Orlando Magic,1.47
25,2016-11-01,23:30,New York Knicks @ Detroit Pistons,New York Knicks,Detroit Pistons,2.54,1.57,Detroit Pistons,Detroit Pistons,0.794,N,Detroit Pistons,1.57
26,2016-11-01,23:30,Sacramento Kings @ Miami Heat,Sacramento Kings,Miami Heat,2.46,1.6,Miami Heat,Miami Heat,0.776,N,Miami Heat,1.6
27,2016-11-02,00:00,Chicago Bulls @ Boston Celtics,Chicago Bulls,Boston Celtics,2.35,1.65,Boston Celtics,Chicago Bulls,0.6,Y,Boston Celtics,1.65
28,2016-11-02,00:00,New Orleans Pelicans @ Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,3.01,1.42,Memphis Grizzlies,Memphis Grizzlies,0.704,N,Memphis Grizzlies,1.42
29,2016-11-02,01:00,Dallas Mavericks @ Utah Jazz,Dallas Mavericks,Utah Jazz,2.39,1.63,Utah Jazz,Utah Jazz,0.899,N,Utah Jazz,1.63
30,2016-11-02,02:00,Portland Trail Blazers @ Phoenix Suns,Portland Trail Blazers,Phoenix Suns,1.67,2.31,Portland Trail Blazers,Phoenix Suns,0.526,Y,Phoenix Suns,2.31
31,2016-11-02,02:30,Oklahoma City Thunder @ Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,3.61,1.32,Los Angeles Clippers,Los Angeles Clippers,0.936,N,Oklahoma City Thunder,3.61
