ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
0,2016-10-13,00:30,New Jersey Devils @ Florida Panthers,New Jersey Devils,Florida Panthers,3.88,2.16,Florida Panthers,New Jersey Devils,0.513,Y,Florida Panthers,2.16
1,2016-10-13,00:30,Detroit Red Wings @ Tampa Bay Lightning,Detroit Red Wings,Tampa Bay Lightning,3.06,2.91,Tampa Bay Lightning,Tampa Bay Lightning,0.68,N,Tampa Bay Lightning,2.91
2,2016-10-13,01:00,Washington Capitals @ Pittsburgh Penguins,Washington Capitals,Pittsburgh Penguins,3.91,2.61,Pittsburgh Penguins,Washington Capitals,0.51,Y,Pittsburgh Penguins,2.61
3,2016-10-13,01:00,Minnesota Wild @ St. Louis Blues,Minnesota Wild,St. Louis Blues,2.22,2.35,Minnesota Wild,Minnesota Wild,0.553,N,St. Louis Blues,2.35
4,2016-10-13,01:00,Carolina Hurricanes @ Winnipeg Jets,Carolina Hurricanes,Winnipeg Jets,2.84,3.8,Carolina Hurricanes,Winnipeg Jets,0.629,Y,Winnipeg Jets,3.8
5,2016-10-13,01:30,Anaheim Ducks @ Dallas Stars,Anaheim Ducks,Dallas Stars,2.49,3.85,Anaheim Ducks,Anaheim Ducks,0.603,N,Dallas Stars,3.85
6,2016-10-14,01:00,Chicago Blackhawks @ Nashville Predators,Chicago Blackhawks,Nashville Predators,2.48,2.72,Chicago Blackhawks,Chicago Blackhawks,0.549,N,Nashville Predators,2.72
7,2016-10-14,02:00,Edmonton Oilers @ Calgary Flames,Edmonton Oilers,Calgary Flames,3.86,2.29,Calgary Flames,Edmonton Oilers,0.62,Y,Edmonton Oilers,3.86
8,2016-10-14,03:30,Philadelphia Flyers @ Los Angeles Kings,Philadelphia Flyers,Los Angeles Kings,2.67,3.84,Philadelphia Flyers,Los Angeles Kings,0.607,Y,Philadelphia Flyers,2.67
9,2016-10-15,00:00,San Jose Sharks @ Columbus Blue Jackets,San Jose Sharks,Columbus Blue Jackets,4.0,2.1,Columbus Blue Jackets,Columbus Blue Jackets,0.648,N,San Jose Sharks,4.0
10,2016-10-15,00:00,Detroit Red Wings @ Florida Panthers,Detroit Red Wings,Florida Panthers,2.74,2.96,Detroit Red Wings,Florida Panthers,0.574,Y,Florida Panthers,2.96
11,2016-10-15,00:00,Winnipeg Jets @ Minnesota Wild,Winnipeg Jets,Minnesota Wild,2.25,3.84,Winnipeg Jets,Minnesota Wild,0.669,Y,Minnesota Wild,3.84
12,2016-10-15,00:00,Montreal Canadiens @ Ottawa Senators,Montreal Canadiens,Ottawa Senators,4.12,1.84,Ottawa Senators,Montreal Canadiens,0.67,Y,Ottawa Senators,1.84
13,2016-10-15,00:00,Anaheim Ducks @ Pittsburgh Penguins,Anaheim Ducks,Pittsburgh Penguins,2.69,3.61,Anaheim Ducks,Pittsburgh Penguins,0.56,Y,Pittsburgh Penguins,3.61
14,2016-10-15,00:00,New Jersey Devils @ Tampa Bay Lightning,New Jersey Devils,Tampa Bay Lightning,2.34,3.77,New Jersey Devils,Tampa Bay Lightning,0.6,Y,Tampa Bay Lightning,3.77
15,2016-10-15,00:00,Boston Bruins @ Toronto Maple Leafs,Boston Bruins,Toronto Maple Leafs,4.06,1.86,Toronto Maple Leafs,Boston Bruins,0.647,Y,Toronto Maple Leafs,1.86
