ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Visi_Team_PTS,Home_Team_PTS,True_Result,Winner_Odd
20,laliga,2016-08-19,21:00,Eibar @ Deportivo,Eibar,Deportivo,4.19,3.33,2.0,Deportivo,Eibar,0.438,Y,1,2,Deportivo,2.0
28,laliga,2016-08-20,17:15,Real Betis @ FC Barcelona,Real Betis,FC Barcelona,28.3,11.64,1.09,FC Barcelona,FC Barcelona,0.598,N,2,6,FC Barcelona,1.09
35,laliga,2016-08-20,19:15,Villarreal @ Granada,Villarreal,Granada,2.92,3.16,2.65,Granada,Villarreal,0.574,Y,1,1,Draw,3.16
37,laliga,2016-08-20,21:15,Espanyol @ FC Sevilla,Espanyol,FC Sevilla,5.14,3.88,1.71,FC Sevilla,FC Sevilla,0.549,N,4,6,FC Sevilla,1.71
43,laliga,2016-08-21,17:15,Athletic Bilbao @ Sporting Gijon,Athletic Bilbao,Sporting Gijon,1.89,3.51,4.46,Athletic Bilbao,Athletic Bilbao,0.48,N,1,2,Sporting Gijon,4.46
44,laliga,2016-08-21,19:15,Real Madrid @ Real Sociedad,Real Madrid,Real Sociedad,1.69,3.95,5.17,Real Madrid,Real Madrid,0.429,N,3,0,Real Madrid,1.69
53,laliga,2016-08-21,21:15,Alaves @ Atletico Madrid,Alaves,Atletico Madrid,17.59,5.9,1.24,Atletico Madrid,Atletico Madrid,0.575,N,1,1,Draw,5.9
54,laliga,2016-08-22,19:00,Leganes @ Celta Vigo,Leganes,Celta Vigo,6.0,3.85,1.64,Celta Vigo,Celta Vigo,0.538,N,1,0,Leganes,6.0
55,laliga,2016-08-22,21:00,Las Palmas @ Valencia,Las Palmas,Valencia,5.01,3.86,1.73,Valencia,Valencia,0.381,N,4,2,Las Palmas,5.01
56,laliga,2016-08-26,19:45,Deportivo @ Real Betis,Deportivo,Real Betis,3.53,3.27,2.21,Real Betis,Real Betis,0.511,N,0,0,Draw,3.27
58,laliga,2016-08-26,21:00,Malaga @ Espanyol,Malaga,Espanyol,3.37,3.22,2.31,Espanyol,Espanyol,0.465,N,2,2,Draw,3.22
71,laliga,2016-08-27,17:15,Real Sociedad @ Osasuna,Real Sociedad,Osasuna,2.54,3.12,3.09,Real Sociedad,Real Sociedad,0.549,N,2,0,Real Sociedad,2.54
72,laliga,2016-08-27,17:15,Valencia @ Eibar,Valencia,Eibar,2.68,3.28,2.77,Valencia,Eibar,0.555,Y,0,1,Eibar,2.77
80,laliga,2016-08-27,19:15,Celta Vigo @ Real Madrid,Celta Vigo,Real Madrid,16.1,7.99,1.17,Real Madrid,Real Madrid,0.601,N,1,2,Real Madrid,1.17
82,laliga,2016-08-27,21:15,Atletico Madrid @ Leganes,Atletico Madrid,Leganes,1.49,3.92,8.74,Atletico Madrid,Atletico Madrid,0.427,N,0,0,Draw,3.92
90,laliga,2016-08-28,17:15,Sporting Gijon @ Alaves,Sporting Gijon,Alaves,3.24,3.16,2.42,Alaves,Alaves,0.528,N,0,0,Draw,3.16
91,laliga,2016-08-28,17:15,Granada @ Las Palmas,Granada,Las Palmas,4.63,3.66,1.82,Las Palmas,Las Palmas,0.595,N,1,5,Las Palmas,1.82
92,laliga,2016-08-28,19:15,FC Barcelona @ Athletic Bilbao,FC Barcelona,Athletic Bilbao,1.56,4.3,6.07,FC Barcelona,FC Barcelona,0.391,N,1,0,FC Barcelona,1.56
100,laliga,2016-08-28,21:15,FC Sevilla @ Villarreal,FC Sevilla,Villarreal,3.05,3.41,2.4,Villarreal,Villarreal,0.453,N,0,0,Draw,3.41
102,laliga,2016-09-10,12:00,Atletico Madrid @ Celta Vigo,Atletico Madrid,Celta Vigo,1.72,3.53,5.82,Atletico Madrid,Celta Vigo,0.397,Y,4,0,Atletico Madrid,1.72
109,laliga,2016-09-10,15:00,Osasuna @ Real Madrid,Osasuna,Real Madrid,37.27,15.37,1.06,Real Madrid,Real Madrid,0.653,N,2,5,Real Madrid,1.06
118,laliga,2016-09-10,17:15,Villarreal @ Malaga,Villarreal,Malaga,3.27,3.09,2.45,Malaga,Villarreal,0.395,Y,2,0,Villarreal,3.27
119,laliga,2016-09-10,17:15,Las Palmas @ FC Sevilla,Las Palmas,FC Sevilla,6.38,4.52,1.51,FC Sevilla,FC Sevilla,0.557,N,1,2,FC Sevilla,1.51
127,laliga,2016-09-10,19:30,Alaves @ FC Barcelona,Alaves,FC Barcelona,31.25,11.92,1.08,FC Barcelona,FC Barcelona,0.603,N,2,1,Alaves,31.25
129,laliga,2016-09-11,11:00,Leganes @ Sporting Gijon,Leganes,Sporting Gijon,3.22,3.07,2.48,Sporting Gijon,Sporting Gijon,0.419,N,1,2,Sporting Gijon,2.48
137,laliga,2016-09-11,15:00,Real Betis @ Valencia,Real Betis,Valencia,6.22,4.32,1.55,Valencia,Valencia,0.417,N,3,2,Real Betis,6.22
140,laliga,2016-09-11,17:15,Eibar @ Granada,Eibar,Granada,3.09,3.24,2.46,Granada,Eibar,0.514,Y,2,1,Eibar,3.09
141,laliga,2016-09-11,19:30,Athletic Bilbao @ Deportivo,Athletic Bilbao,Deportivo,2.22,3.27,3.54,Athletic Bilbao,Athletic Bilbao,0.465,N,1,0,Athletic Bilbao,2.22
147,laliga,2016-09-16,19:45,Granada @ Real Betis,Granada,Real Betis,4.96,3.79,1.75,Real Betis,Real Betis,0.576,N,2,2,Draw,3.79
150,laliga,2016-09-17,12:00,FC Barcelona @ Leganes,FC Barcelona,Leganes,1.18,7.63,17.18,FC Barcelona,FC Barcelona,0.526,N,5,1,FC Barcelona,1.18
160,laliga,2016-09-17,15:15,Sporting Gijon @ Atletico Madrid,Sporting Gijon,Atletico Madrid,18.48,6.94,1.19,Atletico Madrid,Atletico Madrid,0.618,N,0,5,Atletico Madrid,1.19
164,laliga,2016-09-17,17:30,FC Sevilla @ Eibar,FC Sevilla,Eibar,2.5,3.34,2.93,FC Sevilla,Eibar,0.379,Y,1,1,Draw,3.34
171,laliga,2016-09-17,19:45,Malaga @ Las Palmas,Malaga,Las Palmas,3.41,3.39,2.21,Las Palmas,Las Palmas,0.461,N,0,1,Las Palmas,2.21
173,laliga,2016-09-18,11:00,Celta Vigo @ Osasuna,Celta Vigo,Osasuna,2.32,3.22,3.37,Celta Vigo,Celta Vigo,0.444,N,0,0,Draw,3.22
183,laliga,2016-09-18,15:15,Valencia @ Athletic Bilbao,Valencia,Athletic Bilbao,4.42,3.67,1.85,Athletic Bilbao,Athletic Bilbao,0.576,N,1,2,Athletic Bilbao,1.85
188,laliga,2016-09-18,17:30,Real Sociedad @ Villarreal,Real Sociedad,Villarreal,5.02,3.38,1.84,Villarreal,Villarreal,0.487,N,1,2,Villarreal,1.84
189,laliga,2016-09-18,19:45,Real Madrid @ Espanyol,Real Madrid,Espanyol,1.41,5.0,7.81,Real Madrid,Real Madrid,0.547,N,2,0,Real Madrid,1.41
192,laliga,2016-09-19,19:45,Deportivo @ Alaves,Deportivo,Alaves,3.47,3.05,2.36,Alaves,Alaves,0.504,N,0,0,Draw,3.05
198,laliga,2016-09-20,19:00,Eibar @ Malaga,Eibar,Malaga,5.17,3.43,1.8,Malaga,Malaga,0.454,N,1,2,Malaga,1.8
201,laliga,2016-09-20,21:00,Real Betis @ FC Sevilla,Real Betis,FC Sevilla,6.26,4.41,1.53,FC Sevilla,FC Sevilla,0.576,N,0,1,FC Sevilla,1.53
214,laliga,2016-09-21,19:00,Sporting Gijon @ Celta Vigo,Sporting Gijon,Celta Vigo,5.82,4.07,1.61,Celta Vigo,Celta Vigo,0.575,N,1,2,Celta Vigo,1.61
215,laliga,2016-09-21,19:00,Villarreal @ Real Madrid,Villarreal,Real Madrid,11.97,6.48,1.25,Real Madrid,Real Madrid,0.56,N,1,1,Draw,6.48
225,laliga,2016-09-21,21:00,Athletic Bilbao @ Granada,Athletic Bilbao,Granada,1.95,3.56,4.12,Athletic Bilbao,Athletic Bilbao,0.538,N,2,1,Athletic Bilbao,1.95
226,laliga,2016-09-21,21:00,Atletico Madrid @ FC Barcelona,Atletico Madrid,FC Barcelona,6.2,4.26,1.56,FC Barcelona,FC Barcelona,0.518,N,1,1,Draw,4.26
227,laliga,2016-09-21,21:00,Las Palmas @ Real Sociedad,Las Palmas,Real Sociedad,4.31,3.6,1.89,Real Sociedad,Real Sociedad,0.531,N,1,4,Real Sociedad,1.89
228,laliga,2016-09-22,19:00,Espanyol @ Osasuna,Espanyol,Osasuna,2.39,3.23,3.22,Espanyol,Espanyol,0.432,N,2,1,Espanyol,2.39
229,laliga,2016-09-22,19:00,Leganes @ Deportivo,Leganes,Deportivo,3.76,3.16,2.19,Deportivo,Deportivo,0.444,N,2,1,Leganes,3.76
