ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result_U
0,2016-09-08,16:10,CLE vs HOU,CLE,HOU,1.67,2.3,CLE,CLE,0.572,N,Upcoming
1,2016-09-08,23:05,WSN vs PHI,WSN,PHI,1.48,2.77,WSN,WSN,0.68,N,Upcoming
2,2016-09-08,23:05,NYY vs TBR,NYY,TBR,1.82,2.07,NYY,NYY,0.569,N,Upcoming
3,2016-09-08,23:05,PIT vs CIN,PIT,CIN,1.67,2.29,PIT,PIT,0.638,N,Upcoming
4,2016-09-08,23:15,STL vs MIL,STL,MIL,1.63,2.39,STL,STL,0.609,N,Upcoming
5,2016-09-09,02:10,SDP vs COL,SDP,COL,1.83,2.04,SDP,COL,0.505,Y,Upcoming
6,2016-09-10,00:15,STL vs MIL,STL,MIL,1.72,2.23,STL,STL,0.609,N,Upcoming
7,2016-09-10,01:40,ARI vs SFG,ARI,SFG,2.44,1.61,SFG,SFG,0.566,N,Upcoming
8,2016-09-10,23:05,WSN vs PHI,WSN,PHI,1.52,2.68,WSN,WSN,0.68,N,Upcoming
9,2016-09-10,23:05,PIT vs CIN,PIT,CIN,1.67,2.32,PIT,PIT,0.638,N,Upcoming
10,2016-09-11,00:10,ARI vs SFG,ARI,SFG,2.49,1.59,SFG,SFG,0.566,N,Upcoming
11,2016-09-11,17:35,WSN vs PHI,WSN,PHI,1.48,2.81,WSN,WSN,0.68,N,Upcoming
12,2016-09-11,18:15,STL vs MIL,STL,MIL,1.65,2.35,STL,STL,0.609,N,Upcoming
13,2016-09-15,01:40,ARI vs LAD,ARI,LAD,2.23,1.72,LAD,LAD,0.598,N,Upcoming
14,2016-09-15,01:40,ARI vs LAD,ARI,LAD,2.4,1.63,LAD,LAD,0.598,N,Upcoming
15,2016-09-15,20:05,CHC vs MIL,CHC,MIL,1.61,2.45,CHC,CHC,0.703,N,Upcoming
16,2016-09-15,23:05,BAL vs TBR,BAL,TBR,2.19,1.74,TBR,BAL,0.591,Y,Upcoming
17,2016-09-16,17:35,PHI vs MIA,PHI,MIA,2.15,1.77,MIA,MIA,0.541,N,Upcoming
