ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result_U
0,2016-09-08,16:10,HOU @ CLE,HOU,CLE,2.3,1.67,CLE,CLE,0.572,N,Upcoming
1,2016-09-08,23:05,PHI @ WSN,PHI,WSN,2.77,1.48,WSN,WSN,0.68,N,Upcoming
2,2016-09-08,23:05,TBR @ NYY,TBR,NYY,2.07,1.82,NYY,NYY,0.569,N,Upcoming
3,2016-09-08,23:05,CIN @ PIT,CIN,PIT,2.29,1.67,PIT,PIT,0.638,N,Upcoming
4,2016-09-08,23:15,MIL @ STL,MIL,STL,2.39,1.63,STL,STL,0.609,N,Upcoming
5,2016-09-09,02:10,COL @ SDP,COL,SDP,2.04,1.83,SDP,COL,0.505,Y,Upcoming
6,2016-09-10,00:15,MIL @ STL,MIL,STL,2.23,1.72,STL,STL,0.609,N,Upcoming
7,2016-09-10,01:40,SFG @ ARI,SFG,ARI,1.61,2.44,SFG,SFG,0.566,N,Upcoming
8,2016-09-10,23:05,PHI @ WSN,PHI,WSN,2.68,1.52,WSN,WSN,0.68,N,Upcoming
9,2016-09-10,23:05,CIN @ PIT,CIN,PIT,2.32,1.67,PIT,PIT,0.638,N,Upcoming
10,2016-09-11,00:10,SFG @ ARI,SFG,ARI,1.59,2.49,SFG,SFG,0.566,N,Upcoming
11,2016-09-11,17:35,PHI @ WSN,PHI,WSN,2.81,1.48,WSN,WSN,0.68,N,Upcoming
12,2016-09-11,18:15,MIL @ STL,MIL,STL,2.35,1.65,STL,STL,0.609,N,Upcoming
13,2016-09-15,01:40,LAD @ ARI,LAD,ARI,1.72,2.23,LAD,LAD,0.598,N,Upcoming
14,2016-09-15,01:40,LAD @ ARI,LAD,ARI,1.63,2.4,LAD,LAD,0.598,N,Upcoming
15,2016-09-15,20:05,MIL @ CHC,MIL,CHC,2.45,1.61,CHC,CHC,0.703,N,Upcoming
16,2016-09-15,23:05,TBR @ BAL,TBR,BAL,1.74,2.19,TBR,BAL,0.591,Y,Upcoming
17,2016-09-16,17:35,MIA @ PHI,MIA,PHI,1.77,2.15,MIA,MIA,0.541,N,Upcoming
