Season_Yr,Visitor_Team,Home_Team,Visitor_Team_PTS,Home_Team_PTS
2013,Werder Bremen, Dortmund,1,2
2013,Hoffenheim, Mönchengladbach,1,2
2013,FSV Mainz 05, Freiburg,1,1
2013,Düsseldorf, FC Augsburg,2,0
2013,FC Nürnberg, Hamburger SV,1,0
2013,Bayern Munich, Greuther Fürth,3,0
2013,Leverkusen, Frankfurt,1,2
2013,Wolfsburg, Stuttgart,1,0
2013,Schalke 04, Hannover 96,2,2
2013,Greuther Fürth, FSV Mainz 05,1,0
2013,FC Augsburg, Schalke 04,1,3
2013,Mönchengladbach, Düsseldorf,0,0
2013,Frankfurt, Hoffenheim,4,0
2013,Dortmund, FC Nürnberg,1,1
2013,Freiburg, Leverkusen,0,2
2013,Hamburger SV, Werder Bremen,0,2
2013,Hannover 96, Wolfsburg,4,0
2013,Stuttgart, Bayern Munich,1,6
2013,Wolfsburg, FC Augsburg,0,0
2013,Düsseldorf, Stuttgart,0,0
2013,Schalke 04, Greuther Fürth,2,0
2013,Werder Bremen, Hannover 96,2,3
2013,Leverkusen, Dortmund,0,3
2013,FSV Mainz 05, Bayern Munich,1,3
2013,FC Nürnberg, Mönchengladbach,3,2
2013,Hoffenheim, Freiburg,3,5
2013,Hamburger SV, Frankfurt,2,3
2013,Frankfurt, FC Nürnberg,2,1
2013,Greuther Fürth, Wolfsburg,1,1
2013,Freiburg, Düsseldorf,0,0
2013,FC Augsburg, FSV Mainz 05,0,2
2013,Bayern Munich, Schalke 04,2,0
2013,Dortmund, Hamburger SV,2,3
2013,Mönchengladbach, Leverkusen,1,1
2013,Stuttgart, Werder Bremen,2,2
2013,Hannover 96, Hoffenheim,1,3
2013,Dortmund, Frankfurt,3,3
2013,Düsseldorf, Greuther Fürth,2,0
2013,FSV Mainz 05, Schalke 04,0,3
2013,Wolfsburg, Bayern Munich,0,3
2013,Hoffenheim, Stuttgart,3,0
2013,FC Nürnberg, Hannover 96,1,4
2013,Werder Bremen, Freiburg,2,1
2013,Leverkusen, FC Augsburg,3,1
2013,Hamburger SV, Mönchengladbach,2,2
2013,Schalke 04, Düsseldorf,2,2
2013,Stuttgart, FC Nürnberg,2,0
2013,Mönchengladbach, Dortmund,0,5
2013,FC Augsburg, Hoffenheim,0,0
2013,Bayern Munich, Werder Bremen,2,0
2013,Greuther Fürth, Leverkusen,0,2
2013,Hannover 96, Hamburger SV,0,1
2013,Freiburg, Frankfurt,1,2
2013,FSV Mainz 05, Wolfsburg,2,0
2013,Werder Bremen, FC Augsburg,1,3
2013,FC Nürnberg, Freiburg,0,3
