Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2016,Hamburger SV,0,Bayern Munich,5
2016,Hoffenheim,1,Leverkusen,2
2016,Hertha Berlin,1,FC Augsburg,0
2016,Schalke 04,3,Werder Bremen,0
2016,Ingolstadt,1,FSV Mainz 05,0
2016,Hannover 96,2,Darmstadt,2
2016,Monchengladb.,0,Dortmund,4
2016,Frankfurt,1,Wolfsburg,2
2016,FC Koln,3,Stuttgart,1
2016,Werder Bremen,1,Hertha Berlin,1
2016,FC Augsburg,1,Frankfurt,1
2016,Darmstadt,1,Schalke 04,1
2016,Bayern Munich,2,Hoffenheim,1
2016,Wolfsburg,1,FC Koln,1
2016,Leverkusen,1,Hannover 96,0
2016,Stuttgart,2,Hamburger SV,3
2016,Dortmund,4,Ingolstadt,0
2016,FSV Mainz 05,2,Monchengladb.,1
2016,Schalke 04,0,Wolfsburg,3
2016,Hamburger SV,1,FC Koln,2
2016,Hoffenheim,0,Darmstadt,0
2016,Hannover 96,0,FSV Mainz 05,3
2016,Frankfurt,4,Stuttgart,1
2016,Ingolstadt,1,FC Augsburg,0
2016,Leverkusen,0,Bayern Munich,3
2016,Hertha Berlin,1,Dortmund,3
2016,Monchengladb.,1,Werder Bremen,2
2016,Hamburger SV,3,Monchengladb.,0
2016,Wolfsburg,0,Ingolstadt,0
2016,Stuttgart,1,Hertha Berlin,2
2016,Dortmund,4,Hannover 96,2
2016,Darmstadt,1,Leverkusen,0
2016,FC Augsburg,1,Bayern Munich,2
2016,FC Koln,2,Frankfurt,6
2016,Werder Bremen,3,Hoffenheim,1
2016,FSV Mainz 05,1,Schalke 04,2
2016,Hoffenheim,1,FSV Mainz 05,3
2016,Hertha Berlin,0,Wolfsburg,2
2016,Ingolstadt,1,Werder Bremen,0
2016,Bayern Munich,3,Darmstadt,0
2016,Monchengladb.,0,FC Koln,1
2016,Frankfurt,0,Hamburger SV,0
2016,Schalke 04,1,Stuttgart,0
2016,Leverkusen,0,Dortmund,3
2016,Hannover 96,0,FC Augsburg,2
2016,FC Koln,0,Hertha Berlin,2
2016,Wolfsburg,1,Bayern Munich,5
2016,Werder Bremen,1,Darmstadt,2
2016,Hamburger SV,1,Ingolstadt,0
2016,Dortmund,1,Hoffenheim,1
2016,FC Augsburg,2,Monchengladb.,4
2016,FSV Mainz 05,0,Leverkusen,1
2016,Frankfurt,0,Schalke 04,2
2016,Stuttgart,3,Hannover 96,1
2016,Ingolstadt,1,FC Koln,1
2016,Monchengladb.,3,Stuttgart,1
2016,Bayern Munich,3,FSV Mainz 05,0
2016,Hoffenheim,3,FC Augsburg,1
2016,Hannover 96,1,Wolfsburg,1
2016,Leverkusen,3,Werder Bremen,0
2016,Schalke 04,1,Hamburger SV,0
2016,Hertha Berlin,1,Frankfurt,1
2016,Darmstadt,2,Dortmund,2
2016,FSV Mainz 05,3,Darmstadt,2
2016,Wolfsburg,0,Monchengladb.,2
2016,Frankfurt,0,Ingolstadt,2
2016,Stuttgart,2,Hoffenheim,2
2016,Hamburger SV,0,Hertha Berlin,3
2016,Werder Bremen,0,Hannover 96,1
2016,FC Koln,3,Schalke 04,0
2016,Dortmund,1,Bayern Munich,5
2016,FC Augsburg,1,Leverkusen,1
2016,Dortmund,2,FSV Mainz 05,0
2016,Bayern Munich,1,Werder Bremen,0
2016,Darmstadt,2,FC Augsburg,0
2016,Leverkusen,0,Hamburger SV,0
2016,Hertha Berlin,1,Schalke 04,2
2016,Hoffenheim,2,Wolfsburg,4
2016,Monchengladb.,5,Frankfurt,1
2016,Hannover 96,1,FC Koln,0
2016,Ingolstadt,0,Stuttgart,1
2016,Hamburger SV,1,Hoffenheim,0
2016,Wolfsburg,1,Darmstadt,0
2016,Frankfurt,2,Hannover 96,1
2016,Stuttgart,3,Leverkusen,4
2016,FC Koln,0,Bayern Munich,4
2016,Werder Bremen,3,FSV Mainz 05,1
2016,Hertha Berlin,1,Ingolstadt,0
2016,FC Augsburg,1,Dortmund,5
2016,Schalke 04,1,Monchengladb.,3
2016,Bayern Munich,0,Frankfurt,0
2016,FSV Mainz 05,3,FC Augsburg,3
2016,Ingolstadt,1,Schalke 04,1
2016,Monchengladb.,4,Hertha Berlin,1
2016,Hoffenheim,0,FC Koln,0
2016,Dortmund,3,Werder Bremen,1
2016,Leverkusen,1,Wolfsburg,2
2016,Darmstadt,0,Stuttgart,2
2016,Hannover 96,2,Hamburger SV,1
2016,Hertha Berlin,3,Hannover 96,1
2016,Stuttgart,0,Bayern Munich,4
2016,FC Koln,2,Leverkusen,1
2016,Ingolstadt,0,Monchengladb.,0
2016,Frankfurt,0,Hoffenheim,0
2016,Wolfsburg,0,FSV Mainz 05,2
2016,Hamburger SV,1,Darmstadt,1
2016,Schalke 04,2,Dortmund,3
2016,Werder Bremen,2,FC Augsburg,1
2016,Dortmund,1,Hamburger SV,3
2016,FC Augsburg,4,Stuttgart,0
2016,Leverkusen,3,Frankfurt,1
2016,Werder Bremen,0,Wolfsburg,6
2016,Hannover 96,1,Monchengladb.,2
2016,FSV Mainz 05,0,FC Koln,0
2016,Bayern Munich,3,Schalke 04,1
2016,Hoffenheim,0,Hertha Berlin,1
2016,Darmstadt,1,Ingolstadt,3
2016,FC Koln,0,Darmstadt,0
2016,Hamburger SV,3,Werder Bremen,1
2016,Ingolstadt,0,Hannover 96,4
2016,Hertha Berlin,0,Bayern Munich,2
2016,Monchengladb.,3,Hoffenheim,3
2016,Frankfurt,1,FSV Mainz 05,2
2016,Stuttgart,1,Dortmund,4
2016,Wolfsburg,0,FC Augsburg,0
2016,Schalke 04,1,Leverkusen,1
2016,Hannover 96,1,Schalke 04,3
2016,FC Augsburg,1,FC Koln,0
2016,Bayern Munich,1,Monchengladb.,3
2016,FSV Mainz 05,3,Hamburger SV,1
2016,Hoffenheim,1,Ingolstadt,1
2016,Leverkusen,1,Hertha Berlin,2
2016,Dortmund,2,Wolfsburg,1
2016,Werder Bremen,1,Stuttgart,1
2016,Darmstadt,1,Frankfurt,0
2016,Stuttgart,0,FSV Mainz 05,0
2016,Hannover 96,0,Hoffenheim,1
2016,FC Koln,1,Werder Bremen,1
2016,Hamburger SV,1,Wolfsburg,1
2016,Ingolstadt,0,Bayern Munich,2
2016,Hertha Berlin,4,Darmstadt,0
2016,Monchengladb.,0,Leverkusen,5
2016,Schalke 04,1,FC Augsburg,2
2016,Frankfurt,1,Dortmund,4
2016,Hoffenheim,0,Schalke 04,1
2016,Leverkusen,1,Ingolstadt,0
2016,FC Augsburg,1,Hamburger SV,0
2016,Werder Bremen,1,Frankfurt,2
2016,Dortmund,1,FC Koln,2
2016,Bayern Munich,1,Hannover 96,0
2016,Wolfsburg,1,Stuttgart,3
2016,FSV Mainz 05,0,Hertha Berlin,2
2016,Darmstadt,2,Monchengladb.,3
2016,Bayern Munich,2,Hamburger SV,1
2016,Stuttgart,3,FC Koln,1
2016,Darmstadt,2,Hannover 96,1
2016,FC Augsburg,0,Hertha Berlin,0
2016,Leverkusen,1,Hoffenheim,1
2016,FSV Mainz 05,0,Ingolstadt,1
2016,Dortmund,3,Monchengladb.,1
2016,Wolfsburg,2,Frankfurt,3
2016,Werder Bremen,3,Schalke 04,1
2016,Monchengladb.,0,FSV Mainz 05,1
2016,Ingolstadt,0,Dortmund,2
2016,Schalke 04,2,Darmstadt,0
2016,Hertha Berlin,3,Werder Bremen,3
2016,Frankfurt,0,FC Augsburg,0
2016,Hannover 96,0,Leverkusen,3
2016,Hamburger SV,1,Stuttgart,2
2016,FC Koln,1,Wolfsburg,1
2016,Hoffenheim,0,Bayern Munich,2
2016,Werder Bremen,1,Monchengladb.,5
2016,FSV Mainz 05,1,Hannover 96,0
2016,Wolfsburg,0,Schalke 04,3
2016,FC Augsburg,1,Ingolstadt,2
2016,Dortmund,0,Hertha Berlin,0
2016,Stuttgart,4,Frankfurt,2
2016,Bayern Munich,0,Leverkusen,0
2016,FC Koln,1,Hamburger SV,1
2016,Darmstadt,2,Hoffenheim,0
2016,Schalke 04,1,FSV Mainz 05,2
2016,Leverkusen,2,Darmstadt,1
2016,Hoffenheim,1,Werder Bremen,1
2016,Hertha Berlin,0,Stuttgart,2
2016,Ingolstadt,0,Wolfsburg,2
2016,Hannover 96,0,Dortmund,1
2016,Frankfurt,1,FC Koln,3
2016,Monchengladb.,2,Hamburger SV,3
2016,Bayern Munich,3,FC Augsburg,1
2016,Hamburger SV,0,Frankfurt,0
2016,Wolfsburg,1,Hertha Berlin,1
2016,Werder Bremen,0,Ingolstadt,2
2016,FSV Mainz 05,2,Hoffenheim,3
2016,Darmstadt,1,Bayern Munich,3
2016,FC Koln,0,Monchengladb.,1
2016,Dortmund,1,Leverkusen,0
2016,Stuttgart,1,Schalke 04,1
2016,FC Augsburg,1,Hannover 96,0
2016,Hertha Berlin,1,FC Koln,0
2016,Darmstadt,2,Werder Bremen,2
2016,Bayern Munich,2,Wolfsburg,0
2016,Ingolstadt,1,Hamburger SV,1
2016,Hannover 96,2,Stuttgart,1
2016,Monchengladb.,2,FC Augsburg,2
2016,Hoffenheim,1,Dortmund,3
2016,Leverkusen,1,FSV Mainz 05,3
2016,Schalke 04,0,Frankfurt,0
2016,Wolfsburg,4,Hannover 96,0
2016,FC Koln,1,Ingolstadt,1
2016,Dortmund,2,Darmstadt,0
2016,Frankfurt,0,Hertha Berlin,2
2016,Werder Bremen,4,Leverkusen,1
2016,Hamburger SV,2,Schalke 04,3
2016,FSV Mainz 05,2,Bayern Munich,1
2016,FC Augsburg,1,Hoffenheim,2
2016,Stuttgart,0,Monchengladb.,4
2016,Hoffenheim,1,Stuttgart,5
2016,Schalke 04,3,FC Koln,1
2016,Ingolstadt,1,Frankfurt,1
2016,Leverkusen,3,FC Augsburg,3
2016,Monchengladb.,1,Wolfsburg,2
2016,Hannover 96,1,Werder Bremen,4
2016,Bayern Munich,0,Dortmund,0
2016,Darmstadt,0,FSV Mainz 05,0
2016,Hertha Berlin,0,Hamburger SV,2
2016,Schalke 04,0,Hertha Berlin,2
2016,FC Augsburg,2,Darmstadt,2
2016,Stuttgart,3,Ingolstadt,3
2016,Wolfsburg,0,Hoffenheim,1
2016,Frankfurt,0,Monchengladb.,3
2016,FC Koln,2,Hannover 96,0
2016,Werder Bremen,0,Bayern Munich,5
2016,Hamburger SV,0,Leverkusen,1
2016,FSV Mainz 05,0,Dortmund,2
2016,Monchengladb.,1,Schalke 04,2
2016,FSV Mainz 05,1,Werder Bremen,1
2016,Darmstadt,1,Wolfsburg,1
2016,Hoffenheim,3,Hamburger SV,1
2016,Ingolstadt,1,Hertha Berlin,2
2016,Bayern Munich,1,FC Koln,0
2016,Hannover 96,0,Frankfurt,1
2016,Leverkusen,2,Stuttgart,0
2016,Dortmund,3,FC Augsburg,1
2016,Wolfsburg,0,Leverkusen,3
2016,FC Augsburg,2,FSV Mainz 05,4
2016,Hamburger SV,3,Hannover 96,0
2016,Frankfurt,0,Bayern Munich,1
2016,Stuttgart,2,Darmstadt,2
2016,Schalke 04,0,Ingolstadt,3
2016,Werder Bremen,2,Dortmund,3
2016,Hertha Berlin,0,Monchengladb.,5
2016,FC Koln,1,Hoffenheim,1
2016,Hannover 96,2,Hertha Berlin,2
2016,Darmstadt,2,Hamburger SV,1
2016,Bayern Munich,3,Stuttgart,1
2016,FC Augsburg,2,Werder Bremen,1
2016,Hoffenheim,2,Frankfurt,0
2016,Monchengladb.,0,Ingolstadt,1
2016,FSV Mainz 05,1,Wolfsburg,1
2016,Dortmund,2,Schalke 04,2
2016,Leverkusen,2,FC Koln,0
2016,Monchengladb.,0,Hannover 96,2
2016,Wolfsburg,2,Werder Bremen,3
2016,Hertha Berlin,1,Hoffenheim,2
2016,Ingolstadt,0,Darmstadt,2
2016,Frankfurt,0,Leverkusen,3
2016,Stuttgart,0,FC Augsburg,1
2016,Schalke 04,0,Bayern Munich,3
2016,Hamburger SV,0,Dortmund,3
2016,FC Koln,3,FSV Mainz 05,2
2016,Werder Bremen,1,Hamburger SV,2
2016,Hannover 96,2,Ingolstadt,2
2016,Bayern Munich,2,Hertha Berlin,0
2016,Darmstadt,1,FC Koln,4
2016,Dortmund,3,Stuttgart,0
2016,FC Augsburg,2,Wolfsburg,0
2016,Leverkusen,3,Schalke 04,2
2016,Hoffenheim,1,Monchengladb.,3
2016,FSV Mainz 05,1,Frankfurt,2
2016,FC Koln,0,FC Augsburg,0
2016,Schalke 04,3,Hannover 96,1
2016,Ingolstadt,1,Hoffenheim,2
2016,Frankfurt,2,Darmstadt,1
2016,Wolfsburg,1,Dortmund,5
2016,Monchengladb.,1,Bayern Munich,1
2016,Hamburger SV,0,FSV Mainz 05,0
2016,Hertha Berlin,1,Leverkusen,2
2016,Stuttgart,2,Werder Bremen,6
2016,Werder Bremen,0,FC Koln,0
2016,Bayern Munich,2,Ingolstadt,1
2016,Hoffenheim,0,Hannover 96,1
2016,Dortmund,0,Frankfurt,1
2016,FSV Mainz 05,3,Stuttgart,1
2016,Wolfsburg,1,Hamburger SV,0
2016,Leverkusen,1,Monchengladb.,2
2016,FC Augsburg,1,Schalke 04,1
2016,Darmstadt,2,Hertha Berlin,1
2016,Monchengladb.,2,Darmstadt,0
2016,Hannover 96,1,Bayern Munich,3
2016,FC Koln,2,Dortmund,2
2016,Ingolstadt,2,Leverkusen,3
2016,Stuttgart,1,Wolfsburg,3
2016,Hamburger SV,3,FC Augsburg,1
2016,Frankfurt,0,Werder Bremen,1
2016,Schalke 04,4,Hoffenheim,1
2016,Hertha Berlin,0,FSV Mainz 05,0
2016,FC Sevilla,0,Malaga,0
2016,Real Sociedad,0,Deportivo,0
2016,Getafe,0,Espanyol,1
2016,Las Palmas,0,Atletico Madrid,1
2016,Valencia,0,Rayo Vallecano,0
2016,FC Barcelona,1,Athletic Bilbao,0
2016,Real Madrid,0,Sporting Gijon,0
2016,Celta Vigo,2,Levante,1
2016,Villarreal,1,Real Betis,1
2016,Eibar,3,Granada,1
2016,Espanyol,1,Villarreal,3
2016,Sporting Gijon,0,Real Sociedad,0
2016,Malaga,0,FC Barcelona,1
2016,Rayo Vallecano,0,Celta Vigo,3
2016,Real Betis,0,Real Madrid,5
2016,Athletic Bilbao,0,Eibar,2
2016,Deportivo,1,Valencia,1
2016,Atletico Madrid,3,FC Sevilla,0
2016,Granada,2,Getafe,1
2016,Levante,0,Las Palmas,0
2016,FC Sevilla,1,Levante,1
2016,Real Madrid,6,Espanyol,0
2016,Valencia,1,Sporting Gijon,0
2016,FC Barcelona,2,Atletico Madrid,1
2016,Real Sociedad,0,Real Betis,1
2016,Villarreal,3,Granada,1
2016,Getafe,1,Athletic Bilbao,3
2016,Las Palmas,3,Celta Vigo,3
2016,Eibar,0,Malaga,0
2016,Deportivo,3,Rayo Vallecano,1
2016,Malaga,0,Getafe,1
2016,Granada,0,Real Madrid,1
2016,Real Betis,0,Valencia,0
2016,Atletico Madrid,2,Eibar,0
2016,Espanyol,3,Real Sociedad,2
2016,Celta Vigo,2,FC Sevilla,1
2016,Sporting Gijon,3,Deportivo,2
2016,Athletic Bilbao,1,Villarreal,3
2016,Rayo Vallecano,1,Las Palmas,0
2016,Levante,1,FC Barcelona,4
2016,Getafe,0,Atletico Madrid,2
2016,Valencia,0,Espanyol,1
2016,Real Sociedad,3,Granada,0
2016,FC Barcelona,1,Celta Vigo,4
2016,Sporting Gijon,1,Rayo Vallecano,2
2016,Eibar,2,Levante,2
2016,Real Madrid,2,Athletic Bilbao,1
2016,Villarreal,1,Malaga,0
2016,FC Sevilla,0,Las Palmas,2
2016,Deportivo,2,Real Betis,1
2016,Granada,0,Valencia,1
2016,Las Palmas,1,FC Barcelona,2
2016,Malaga,0,Real Madrid,0
2016,Atletico Madrid,0,Villarreal,1
2016,Rayo Vallecano,2,FC Sevilla,3
2016,Celta Vigo,1,Eibar,1
2016,Real Betis,2,Sporting Gijon,1
2016,Espanyol,0,Deportivo,3
2016,Levante,0,Getafe,3
2016,Athletic Bilbao,0,Real Sociedad,0
2016,Getafe,0,Celta Vigo,0
2016,FC Barcelona,1,FC Sevilla,2
2016,Deportivo,1,Granada,1
2016,Sporting Gijon,2,Espanyol,1
2016,Eibar,2,Las Palmas,0
2016,Real Sociedad,1,Malaga,3
2016,Real Betis,2,Rayo Vallecano,0
2016,Valencia,1,Athletic Bilbao,3
2016,Villarreal,0,Levante,1
2016,Real Madrid,1,Atletico Madrid,1
2016,Levante,0,Real Madrid,3
2016,FC Sevilla,1,Eibar,1
2016,Rayo Vallecano,2,FC Barcelona,5
2016,Malaga,0,Valencia,3
2016,Espanyol,3,Real Betis,1
2016,Celta Vigo,2,Villarreal,1
2016,Atletico Madrid,2,Real Sociedad,0
2016,Las Palmas,0,Getafe,4
2016,Athletic Bilbao,2,Deportivo,2
2016,Granada,3,Sporting Gijon,3
2016,Espanyol,0,Rayo Vallecano,3
2016,Real Madrid,3,Celta Vigo,1
2016,Real Betis,1,Granada,1
2016,Getafe,0,FC Sevilla,5
2016,Deportivo,0,Malaga,2
2016,Real Sociedad,4,Levante,0
2016,Villarreal,0,Las Palmas,0
2016,Eibar,1,FC Barcelona,3
2016,Valencia,1,Atletico Madrid,2
2016,Sporting Gijon,0,Athletic Bilbao,3
2016,Atletico Madrid,1,Deportivo,1
2016,Las Palmas,1,Real Madrid,3
2016,Levante,0,Valencia,3
2016,FC Sevilla,1,Villarreal,2
2016,FC Barcelona,2,Getafe,0
2016,Celta Vigo,3,Real Sociedad,2
2016,Rayo Vallecano,0,Eibar,1
2016,Granada,1,Espanyol,1
2016,Malaga,0,Sporting Gijon,1
2016,Athletic Bilbao,3,Real Betis,1
2016,Real Sociedad,0,Las Palmas,2
2016,Valencia,5,Celta Vigo,1
2016,Deportivo,1,Levante,1
2016,Granada,1,Rayo Vallecano,2
2016,Getafe,1,Eibar,3
2016,Real Betis,1,Malaga,0
2016,Espanyol,1,Athletic Bilbao,2
2016,Villarreal,0,FC Barcelona,3
2016,Sporting Gijon,0,Atletico Madrid,1
2016,Real Madrid,2,FC Sevilla,3
2016,FC Sevilla,0,Real Sociedad,2
2016,FC Barcelona,4,Real Madrid,0
2016,Malaga,0,Espanyol,2
2016,Las Palmas,1,Valencia,1
2016,Celta Vigo,0,Deportivo,2
2016,Levante,3,Sporting Gijon,0
2016,Eibar,1,Villarreal,1
2016,Athletic Bilbao,0,Granada,2
2016,Atletico Madrid,1,Real Betis,0
2016,Rayo Vallecano,1,Getafe,1
2016,Real Betis,1,Levante,0
2016,Real Sociedad,0,FC Barcelona,4
2016,Espanyol,0,Atletico Madrid,1
2016,Granada,2,Malaga,2
2016,Deportivo,2,Las Palmas,0
2016,Sporting Gijon,1,Celta Vigo,2
2016,Villarreal,0,Getafe,2
2016,Real Madrid,2,Eibar,0
2016,Athletic Bilbao,3,Rayo Vallecano,0
2016,Valencia,0,FC Sevilla,1
2016,Getafe,1,Real Madrid,4
2016,Atletico Madrid,2,Granada,0
2016,FC Barcelona,1,Valencia,1
2016,FC Sevilla,1,Deportivo,1
2016,Celta Vigo,1,Real Betis,1
2016,Eibar,1,Real Sociedad,2
2016,Rayo Vallecano,1,Villarreal,2
2016,Las Palmas,1,Sporting Gijon,3
2016,Malaga,0,Athletic Bilbao,0
2016,Levante,1,Espanyol,1
2016,Real Sociedad,1,Getafe,1
2016,Deportivo,2,FC Barcelona,2
2016,Espanyol,0,Celta Vigo,1
2016,Granada,2,Levante,1
2016,Sporting Gijon,0,FC Sevilla,2
2016,Real Betis,0,Las Palmas,1
2016,Malaga,2,Rayo Vallecano,1
2016,Valencia,1,Eibar,1
2016,Athletic Bilbao,1,Atletico Madrid,2
2016,Real Madrid,0,Villarreal,1
2016,Getafe,2,Valencia,2
2016,Las Palmas,0,Espanyol,1
2016,FC Sevilla,0,Real Betis,0
2016,Eibar,0,Deportivo,2
2016,Rayo Vallecano,2,Real Madrid,10
2016,Villarreal,2,Real Sociedad,0
2016,Levante,0,Athletic Bilbao,2
2016,Celta Vigo,2,Granada,0
2016,Atletico Madrid,0,Malaga,1
2016,Malaga,1,Levante,0
2016,Real Sociedad,1,Real Madrid,3
2016,Espanyol,0,FC Sevilla,2
2016,Atletico Madrid,2,Rayo Vallecano,0
2016,Sporting Gijon,0,Eibar,2
2016,Athletic Bilbao,1,Celta Vigo,0
2016,Deportivo,0,Getafe,0
2016,Real Betis,0,FC Barcelona,4
2016,Granada,1,Las Palmas,4
2016,Valencia,0,Villarreal,1
2016,FC Barcelona,0,Espanyol,0
2016,Levante,0,Atletico Madrid,1
2016,Celta Vigo,0,Malaga,2
2016,Real Sociedad,2,Rayo Vallecano,2
2016,FC Sevilla,1,Granada,2
2016,Eibar,4,Real Betis,0
2016,Villarreal,2,Deportivo,1
2016,Las Palmas,2,Athletic Bilbao,2
2016,Real Madrid,2,Valencia,2
2016,Getafe,2,Sporting Gijon,1
2016,Granada,0,FC Barcelona,4
2016,Real Betis,0,Getafe,1
2016,Athletic Bilbao,0,FC Sevilla,2
2016,Deportivo,0,Real Madrid,5
2016,Rayo Vallecano,1,Levante,2
2016,Sporting Gijon,0,Villarreal,2
2016,Valencia,0,Real Sociedad,2
2016,Espanyol,1,Eibar,2
2016,Malaga,1,Las Palmas,1
2016,Atletico Madrid,2,Celta Vigo,0
2016,Malaga,1,FC Sevilla,2
