ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date,League_T
0,Werder Bremen,0,Bayern Munich,6,1,1,0.652780179424,2016-08-26,bundesliga
1,Wolfsburg,2,Augsburg,0,2,1,0.499477610453,2016-08-27,bundesliga
2,Ingolstadt,1,Hamburger SV,1,0,1,0.447670432633,2016-08-27,bundesliga
3,FSV Mainz,1,Dortmund,2,1,1,0.539286961961,2016-08-27,bundesliga
4,Schalke 04,0,Frankfurt,1,1,1,0.55761840111,2016-08-27,bundesliga
5,Darmstadt,0,FC Koln,2,1,1,0.602826382359,2016-08-27,bundesliga
6,Leverkusen,1,Monchengladb.,2,1,1,0.423813242336,2016-08-27,bundesliga
7,Freiburg,1,Hertha Berlin,2,1,1,0.569157715714,2016-08-28,bundesliga
8,RB Leipzig,2,Hoffenheim,2,0,1,0.393088067957,2016-08-28,bundesliga
9,Bayern Munich,2,Schalke 04,0,2,2,0.486536046072,2016-09-09,bundesliga
10,Hamburger SV,1,Leverkusen,3,1,1,0.581242640709,2016-09-10,bundesliga
11,Frankfurt,0,Darmstadt,1,1,2,0.543825564419,2016-09-10,bundesliga
12,Hertha Berlin,2,Ingolstadt,0,2,2,0.589283996984,2016-09-10,bundesliga
13,Monchengladb.,1,Freiburg,3,1,1,0.481104669007,2016-09-10,bundesliga
14,FC Koln,0,Wolfsburg,0,0,2,0.510714217255,2016-09-10,bundesliga
15,Dortmund,0,RB Leipzig,1,1,1,0.524760321359,2016-09-10,bundesliga
16,Augsburg,2,Werder Bremen,1,2,2,0.377395348073,2016-09-11,bundesliga
17,Hoffenheim,4,FSV Mainz,4,0,1,0.389902673573,2016-09-11,bundesliga
18,Freiburg,0,FC Koln,3,1,1,0.566386019643,2016-09-16,bundesliga
19,Wolfsburg,0,Hoffenheim,0,0,1,0.60343273578,2016-09-17,bundesliga
20,Leverkusen,1,Frankfurt,2,1,1,0.548676753714,2016-09-17,bundesliga
21,RB Leipzig,4,Hamburger SV,0,2,2,0.694979833821,2016-09-17,bundesliga
22,Darmstadt,0,Dortmund,6,1,1,0.618057085914,2016-09-17,bundesliga
23,Ingolstadt,1,Bayern Munich,3,1,1,0.632078070618,2016-09-17,bundesliga
24,Werder Bremen,1,Monchengladb.,4,1,1,0.565272297124,2016-09-17,bundesliga
25,FSV Mainz,3,Augsburg,1,2,1,0.395481560628,2016-09-18,bundesliga
26,Schalke 04,0,Hertha Berlin,2,1,1,0.558193036991,2016-09-18,bundesliga
27,Hoffenheim,1,Darmstadt,1,0,2,0.554797668938,2016-09-20,bundesliga
