,Season_Yr,Team,W,D,L,GF,GA,Pts,PPG,CS,FTS
0,2013, Bayern Munich,29,4,1,98,18,91,2.68,0.62,0.0
1,2013, Dortmund,19,9,6,81,42,66,1.94,0.24,0.03
2,2013, Leverkusen,19,8,7,65,39,65,1.91,0.32,0.12
3,2013, Schalke 04,16,7,11,58,50,55,1.62,0.24,0.18
4,2013, Freiburg,14,9,11,45,40,51,1.5,0.38,0.26
5,2013, Frankfurt,14,9,11,49,46,51,1.5,0.24,0.32
6,2013, Hamburger SV,14,6,14,42,53,48,1.41,0.24,0.32
7,2013, Mönchengladbach,12,11,11,45,49,47,1.38,0.26,0.24
8,2013, Hannover 96,13,6,15,60,62,45,1.32,0.24,0.18
9,2013, FC Nürnberg,11,11,12,39,47,44,1.29,0.21,0.32
10,2013, Wolfsburg,10,13,11,47,52,43,1.26,0.15,0.29
11,2013, Stuttgart,12,7,15,37,55,43,1.26,0.24,0.32
12,2013, FSV Mainz 05,10,12,12,42,44,42,1.24,0.26,0.26
13,2013, Werder Bremen,8,10,16,50,66,34,1.0,0.09,0.18
14,2013, FC Augsburg,8,9,17,33,51,33,0.97,0.24,0.38
15,2013, Hoffenheim,8,7,19,42,67,31,0.91,0.18,0.35
16,2013, Düsseldorf,7,9,18,39,57,30,0.88,0.24,0.26
17,2013, Greuther Fürth,4,9,21,26,60,21,0.62,0.15,0.47
18,2014, Bayern Munich,29,3,2,94,23,90,2.65,0.5,0.06
19,2014, Dortmund,22,5,7,80,38,71,2.09,0.32,0.15
20,2014, Schalke 04,19,7,8,63,43,64,1.88,0.41,0.18
21,2014, Leverkusen,19,4,11,60,41,61,1.79,0.21,0.15
22,2014, Wolfsburg,18,6,10,63,50,60,1.76,0.15,0.12
23,2014, Mönchengladb.,16,7,11,59,43,55,1.62,0.26,0.15
24,2014, FSV Mainz 05,16,5,13,52,54,53,1.56,0.32,0.18
25,2014, FC Augsburg,15,7,12,47,47,52,1.53,0.21,0.24
26,2014, Hoffenheim,11,11,12,72,70,44,1.29,0.09,0.15
27,2014, Hannover 96,12,6,16,46,59,42,1.24,0.18,0.32
28,2014, Hertha Berlin,11,8,15,40,48,41,1.21,0.24,0.38
29,2014, Werder Bremen,10,9,15,42,66,39,1.15,0.29,0.24
30,2014, Frankfurt,9,9,16,40,57,36,1.06,0.26,0.26
31,2014, Freiburg,9,9,16,43,61,36,1.06,0.15,0.35
32,2014, Stuttgart,8,8,18,49,62,32,0.94,0.15,0.18
33,2014, Hamburger SV,7,6,21,51,75,27,0.79,0.12,0.26
34,2014, FC Nürnberg,5,11,18,37,70,26,0.76,0.12,0.35
35,2014, Braunschweig,6,7,21,29,60,25,0.74,0.18,0.44
36,2015, Bayern Munich,25,4,5,80,18,79,2.32,0.65,0.15
37,2015, Wolfsburg,20,9,5,72,38,69,2.03,0.24,0.09
38,2015, Mönchengladb.,19,9,6,53,26,66,1.94,0.44,0.21
39,2015, Leverkusen,17,10,7,62,37,61,1.79,0.47,0.18
40,2015, FC Augsburg,15,4,15,43,43,49,1.44,0.29,0.32
41,2015, Schalke 04,13,9,12,42,40,48,1.41,0.29,0.32
42,2015, Dortmund,13,7,14,47,42,46,1.35,0.29,0.32
43,2015, Hoffenheim,12,8,14,49,55,44,1.29,0.24,0.24
44,2015, Frankfurt,11,10,13,56,62,43,1.26,0.18,0.24
45,2015, Werder Bremen,11,10,13,50,65,43,1.26,0.21,0.21
46,2015, FSV Mainz 05,9,13,12,45,47,40,1.18,0.29,0.29
47,2015, FC Köln,9,13,12,34,40,40,1.18,0.38,0.44
48,2015, Hannover 96,9,10,15,40,56,37,1.09,0.21,0.24
49,2015, Stuttgart,9,9,16,42,60,36,1.06,0.18,0.38
50,2015, Hertha Berlin,9,8,17,36,52,35,1.03,0.29,0.38
51,2015, Hamburger SV,9,8,17,25,50,35,1.03,0.29,0.53
52,2015, Freiburg,7,13,14,36,47,34,1.0,0.26,0.35
53,2015, Paderborn,7,10,17,31,65,31,0.91,0.18,0.5
54,2013, FC Barcelona,32,4,2,115,40,100,2.63,0.26,0.0
55,2013, Real Madrid,26,7,5,103,42,85,2.24,0.29,0.11
56,2013, Atletico Madrid,23,7,8,65,31,76,2.0,0.53,0.21
57,2013, Real Sociedad,18,12,8,70,49,66,1.74,0.26,0.18
58,2013, Valencia,19,8,11,67,54,65,1.71,0.29,0.21
59,2013, Malaga,16,9,13,53,50,57,1.5,0.34,0.26
60,2013, Betis Sevilla,16,8,14,57,56,56,1.47,0.34,0.24
61,2013, Rayo Vallecano,16,5,17,50,66,53,1.39,0.24,0.32
62,2013, FC Sevilla,14,8,16,58,54,50,1.32,0.24,0.24
63,2013, Getafe,13,8,17,43,57,47,1.24,0.24,0.26
64,2013, Levante,12,10,16,40,57,46,1.21,0.26,0.34
65,2013, Athletic Bilbao,12,9,17,44,65,45,1.18,0.24,0.24
66,2013, Espanyol,11,11,16,43,52,44,1.16,0.32,0.42
67,2013, Valladolid,11,10,17,49,58,43,1.13,0.24,0.18
68,2013, Granada,11,9,18,37,54,42,1.11,0.26,0.34
69,2013, Osasuna,10,9,19,33,50,39,1.03,0.32,0.45
70,2013, Celta Vigo,10,7,21,37,52,37,0.97,0.16,0.29
71,2013, Mallorca,9,9,20,43,72,36,0.95,0.13,0.26
72,2013, Deportivo,8,11,19,47,70,35,0.92,0.21,0.29
73,2013, Zaragoza,9,7,22,37,62,34,0.89,0.16,0.47
74,2014, Atletico Madrid,28,6,4,77,26,90,2.37,0.53,0.13
75,2014, FC Barcelona,27,6,5,100,33,87,2.29,0.42,0.16
76,2014, Real Madrid,27,6,5,104,38,87,2.29,0.42,0.05
77,2014, Athletic Bilbao,20,10,8,66,39,70,1.84,0.32,0.16
78,2014, FC Sevilla,18,9,11,69,52,63,1.66,0.24,0.16
79,2014, Villarreal,17,8,13,60,44,59,1.55,0.26,0.26
80,2014, Real Sociedad,16,11,11,62,55,59,1.55,0.32,0.18
81,2014, Valencia,13,10,15,51,53,49,1.29,0.26,0.21
82,2014, Celta Vigo,14,7,17,49,54,49,1.29,0.24,0.39
83,2014, Levante,12,12,14,35,43,48,1.26,0.42,0.42
84,2014, Malaga,12,9,17,39,46,45,1.18,0.32,0.45
85,2014, Rayo Vallecano,13,4,21,46,80,43,1.13,0.26,0.34
86,2014, Getafe,11,9,18,35,54,42,1.11,0.26,0.5
87,2014, Espanyol,11,9,18,41,51,42,1.11,0.24,0.37
88,2014, Granada,12,5,21,32,56,41,1.08,0.32,0.45
89,2014, Elche,9,13,16,30,50,40,1.05,0.29,0.39
90,2014, Almeria,11,7,20,43,71,40,1.05,0.26,0.34
91,2014, Osasuna,10,9,19,32,62,39,1.03,0.24,0.42
92,2014, Valladolid,7,15,16,38,60,36,0.95,0.32,0.34
93,2014, Real Betis,6,7,25,36,78,25,0.66,0.21,0.39
94,2015, FC Barcelona,30,4,4,110,21,94,2.47,0.61,0.13
95,2015, Real Madrid,30,2,6,118,38,92,2.42,0.39,0.05
96,2015, Atletico Madrid,23,9,6,67,29,78,2.05,0.5,0.21
97,2015, Valencia,22,11,5,70,32,77,2.03,0.34,0.16
98,2015, FC Sevilla,23,7,8,71,45,76,2.0,0.37,0.11
99,2015, Villarreal,16,12,10,48,37,60,1.58,0.42,0.32
100,2015, Athletic Bilbao,15,10,13,42,41,55,1.45,0.37,0.34
101,2015, Celta Vigo,13,12,13,47,44,51,1.34,0.26,0.24
102,2015, Malaga,14,8,16,42,48,50,1.32,0.26,0.26
103,2015, Espanyol,13,10,15,47,51,49,1.29,0.34,0.21
104,2015, Rayo Vallecano,15,4,19,46,68,49,1.29,0.26,0.26
105,2015, Real Sociedad,11,13,14,44,51,46,1.21,0.21,0.34
106,2015, Elche,11,8,19,35,62,41,1.08,0.24,0.45
107,2015, Levante,9,10,19,34,67,37,0.97,0.18,0.5
108,2015, Getafe,10,7,21,33,64,37,0.97,0.13,0.39
109,2015, Deportivo,7,14,17,35,60,35,0.92,0.32,0.39
110,2015, Granada,7,14,17,29,64,35,0.92,0.29,0.39
111,2015, Eibar,9,8,21,34,55,35,0.92,0.21,0.45
112,2015, Almeria,8,8,22,35,64,32,0.84,0.21,0.39
113,2015, Cordoba,3,11,24,22,68,20,0.53,0.18,0.5
114,2013, Juventus,27,6,5,71,24,87,2.29,0.5,0.11
115,2013, Napoli,23,9,6,73,36,78,2.05,0.37,0.16
116,2013, AC Milan,21,9,8,67,39,72,1.89,0.32,0.16
117,2013, Fiorentina,21,7,10,72,44,70,1.84,0.32,0.11
118,2013, Udinese,18,12,8,59,45,66,1.74,0.34,0.18
119,2013, AS Roma,18,8,12,71,56,62,1.63,0.24,0.13
120,2013, Lazio Roma,18,7,13,51,42,61,1.61,0.34,0.39
121,2013, Catania,15,11,12,50,46,56,1.47,0.34,0.32
122,2013, Inter Milan,16,6,16,55,57,54,1.42,0.26,0.21
123,2013, Parma,13,10,15,45,46,49,1.29,0.24,0.34
124,2013, Cagliari,12,11,15,43,55,47,1.24,0.26,0.32
125,2013, Chievo Verona,12,9,17,37,52,45,1.18,0.34,0.32
126,2013, Bologna,11,11,16,46,52,44,1.16,0.24,0.37
127,2013, Sampdoria,11,10,17,43,51,42,1.13,0.24,0.34
128,2013, Atalanta,11,9,18,39,56,40,1.11,0.18,0.34
129,2013, Torino,8,16,14,46,55,39,1.05,0.32,0.37
130,2013, Genoa,8,14,16,38,52,38,1.0,0.32,0.34
131,2013, Palermo,6,14,18,34,54,32,0.84,0.18,0.42
132,2013, Siena,9,9,20,36,57,30,0.95,0.32,0.37
133,2013, Pescara,6,4,28,27,84,22,0.58,0.13,0.5
134,2014, Juventus,33,3,2,80,23,102,2.68,0.58,0.03
135,2014, AS Roma,26,7,5,72,25,85,2.24,0.55,0.18
136,2014, Napoli,23,9,6,77,39,78,2.05,0.34,0.18
137,2014, Fiorentina,19,8,11,65,44,65,1.71,0.34,0.24
138,2014, Inter Milan,15,15,8,62,39,60,1.58,0.39,0.21
139,2014, Parma,15,13,10,58,46,58,1.53,0.34,0.21
140,2014, AC Milan,16,9,13,57,49,57,1.5,0.32,0.16
141,2014, Torino,15,12,11,58,48,57,1.5,0.21,0.21
142,2014, Lazio Roma,15,11,12,54,54,56,1.47,0.34,0.21
143,2014, Hellas Verona,16,6,16,62,68,54,1.42,0.18,0.29
144,2014, Atalanta,15,5,18,43,51,50,1.32,0.24,0.29
145,2014, Sampdoria,12,9,17,48,62,45,1.18,0.24,0.34
146,2014, Udinese,12,8,18,46,57,44,1.16,0.24,0.34
147,2014, Genoa,11,11,16,41,50,44,1.16,0.32,0.29
148,2014, Cagliari,9,12,17,34,53,39,1.03,0.18,0.34
149,2014, Chievo,10,6,22,34,54,36,0.95,0.26,0.42
150,2014, Sassuolo,9,7,22,43,72,34,0.89,0.13,0.39
151,2014, Catania,8,8,22,34,66,32,0.84,0.21,0.45
152,2014, Bologna,5,14,19,28,58,29,0.76,0.24,0.47
153,2014, Livorno,6,7,25,39,77,25,0.66,0.08,0.47
154,2015, Juventus,26,9,3,72,24,87,2.29,0.5,0.11
155,2015, AS Roma,19,13,6,54,31,70,1.84,0.45,0.16
156,2015, Lazio Roma,21,6,11,71,38,69,1.82,0.37,0.18
157,2015, Fiorentina,18,10,10,61,46,64,1.68,0.29,0.26
158,2015, Napoli,18,9,11,70,54,63,1.66,0.24,0.16
159,2015, Genoa,16,11,11,62,47,59,1.55,0.21,0.16
160,2015, Sampdoria,13,17,8,48,42,56,1.47,0.29,0.21
161,2015, Inter Milan,14,13,11,59,48,55,1.45,0.29,0.24
162,2015, Torino,14,12,12,48,45,54,1.42,0.29,0.29
163,2015, AC Milan,13,13,12,56,50,52,1.37,0.21,0.21
164,2015, Palermo,12,13,13,53,55,49,1.29,0.18,0.26
165,2015, Sassuolo,12,13,13,49,57,49,1.29,0.21,0.29
166,2015, Hellas Verona,11,13,14,49,65,46,1.21,0.18,0.21
167,2015, Chievo,10,13,15,28,41,43,1.13,0.37,0.42
168,2015, Empoli,8,18,12,46,52,42,1.11,0.26,0.32
169,2015, Udinese,10,11,17,43,56,41,1.08,0.18,0.29
170,2015, Atalanta,7,16,15,38,57,37,0.97,0.21,0.34
171,2015, Cagliari,8,10,20,48,68,34,0.89,0.11,0.29
172,2015, Cesena,4,12,22,36,73,24,0.63,0.11,0.34
173,2015, Parma,6,8,24,33,75,19,0.68,0.21,0.42
174,2013, Manchester Utd,28,5,5,86,43,89,2.34,0.34,0.08
175,2013, Manchester City,23,9,6,66,34,78,2.05,0.47,0.16
176,2013, Chelsea,22,9,7,75,39,75,1.97,0.37,0.13
177,2013, Arsenal,21,10,7,72,37,73,1.92,0.37,0.18
178,2013, Tottenham,21,9,8,66,46,72,1.89,0.24,0.11
179,2013, Everton,16,15,7,55,40,63,1.66,0.29,0.18
180,2013, Liverpool,16,13,9,71,43,61,1.61,0.42,0.21
181,2013, West Bromwich,14,7,17,53,57,49,1.29,0.21,0.26
182,2013, Swansea City,11,13,14,47,51,46,1.21,0.26,0.42
183,2013, West Ham Utd,12,10,16,45,53,46,1.21,0.29,0.29
184,2013, Norwich City,10,14,14,41,58,44,1.16,0.26,0.34
185,2013, Fulham,11,10,17,50,60,43,1.13,0.21,0.32
186,2013, Stoke City,9,15,14,34,45,42,1.11,0.32,0.39
187,2013, Southampton,9,14,15,49,60,41,1.08,0.18,0.24
188,2013, Aston Villa,10,11,17,47,69,41,1.08,0.13,0.32
189,2013, Newcastle Utd,11,8,19,45,68,41,1.08,0.16,0.29
190,2013, Sunderland,9,12,17,41,54,39,1.03,0.29,0.26
191,2013, Wigan Athletic,9,9,20,47,73,36,0.95,0.13,0.29
192,2013, Reading,6,10,22,43,73,28,0.74,0.13,0.37
193,2013, QP Rangers,4,13,21,30,60,25,0.66,0.18,0.42
194,2014, Manchester City,27,5,6,102,37,86,2.26,0.42,0.11
195,2014, Liverpool,26,6,6,101,50,84,2.21,0.26,0.08
196,2014, Chelsea,25,7,6,71,27,82,2.16,0.47,0.21
197,2014, Arsenal,24,7,7,68,41,79,2.08,0.45,0.16
198,2014, Everton,21,9,8,61,39,72,1.89,0.39,0.24
199,2014, Tottenham,21,6,11,55,51,69,1.82,0.37,0.29
200,2014, Manchester Utd,19,7,12,64,43,64,1.68,0.34,0.24
201,2014, Southampton,15,11,12,54,46,56,1.47,0.39,0.18
202,2014, Stoke City,13,11,14,45,52,50,1.32,0.24,0.37
203,2014, Newcastle Utd,15,4,19,43,59,49,1.29,0.26,0.42
204,2014, Crystal Palace,13,6,19,33,48,45,1.18,0.32,0.45
205,2014, Swansea City,11,9,18,54,54,42,1.11,0.21,0.29
206,2014, West Ham Utd,11,7,20,40,51,40,1.05,0.37,0.39
207,2014, Sunderland,10,8,20,41,60,38,1.0,0.29,0.34
208,2014, Aston Villa,10,8,20,39,61,38,1.0,0.24,0.42
209,2014, Hull City,10,7,21,38,53,37,0.97,0.26,0.42
210,2014, West Bromwich,7,15,16,43,59,36,0.95,0.18,0.29
211,2014, Norwich City,8,9,21,28,62,33,0.87,0.32,0.45
212,2014, Fulham,9,5,24,40,85,32,0.84,0.13,0.26
213,2014, Cardiff City,7,9,22,32,74,30,0.79,0.18,0.5
214,2015, Chelsea,26,9,3,73,32,87,2.29,0.45,0.08
215,2015, Manchester City,24,7,7,83,38,79,2.08,0.37,0.08
216,2015, Arsenal,22,9,7,71,36,75,1.97,0.34,0.13
217,2015, Manchester Utd,20,10,8,62,37,70,1.84,0.29,0.21
218,2015, Tottenham,19,7,12,58,53,64,1.68,0.24,0.26
219,2015, Liverpool,18,8,12,52,48,62,1.63,0.37,0.21
220,2015, Southampton,18,6,14,54,33,60,1.58,0.39,0.32
221,2015, Swansea City,16,8,14,46,49,56,1.47,0.34,0.21
222,2015, Stoke City,15,9,14,48,45,54,1.42,0.24,0.24
223,2015, Crystal Palace,13,9,16,47,51,48,1.26,0.18,0.34
224,2015, Everton,12,11,15,48,50,47,1.24,0.26,0.32
225,2015, West Ham Utd,12,11,15,44,47,47,1.24,0.24,0.29
226,2015, West Bromwich,11,11,16,38,51,44,1.16,0.42,0.34
227,2015, Leicester City,11,8,19,46,55,41,1.08,0.26,0.37
228,2015, Newcastle Utd,10,9,19,40,63,39,1.03,0.21,0.34
229,2015, Sunderland,7,17,14,31,53,38,1.0,0.34,0.45
230,2015, Aston Villa,10,8,20,31,57,38,1.0,0.26,0.47
231,2015, Hull City,8,11,19,33,51,35,0.92,0.26,0.45
232,2015, Burnley,7,12,19,28,53,33,0.87,0.26,0.47
233,2015, QP Rangers,8,6,24,42,73,30,0.79,0.16,0.32
234,2013, Paris SG,25,8,5,69,23,83,2.18,0.61,0.11
235,2013, Marseille,21,8,9,42,36,71,1.87,0.47,0.26
236,2013, Lyon,19,10,9,61,38,67,1.76,0.34,0.18
237,2013, Nice,18,10,10,57,46,64,1.68,0.34,0.24
238,2013, Saint-Etienne,16,15,7,60,32,63,1.66,0.45,0.24
239,2013, Lille,16,14,8,59,40,62,1.63,0.26,0.21
240,2013, Bordeaux,13,16,9,40,34,55,1.45,0.45,0.39
241,2013, Lorient,14,11,13,57,58,53,1.39,0.21,0.21
242,2013, Montpellier,15,7,16,54,51,52,1.37,0.26,0.16
243,2013, Toulouse,13,12,13,49,47,51,1.34,0.32,0.37
244,2013, Valenciennes,12,12,14,49,53,48,1.26,0.24,0.34
245,2013, Bastia,13,8,17,50,66,47,1.24,0.24,0.42
246,2013, Rennes,13,7,18,48,59,46,1.21,0.18,0.34
247,2013, Reims,10,13,15,33,42,43,1.13,0.32,0.39
248,2013, Sochaux,10,11,17,41,57,41,1.08,0.21,0.32
249,2013, Evian TG,10,10,18,46,53,40,1.05,0.21,0.37
250,2013, Ajaccio,9,15,14,39,51,40,1.11,0.32,0.39
251,2013, Nancy,9,11,18,38,58,38,1.0,0.16,0.29
252,2013, Troyes,8,13,17,43,61,37,0.97,0.18,0.26
253,2013, Brest,8,5,25,32,62,29,0.76,0.16,0.42
254,2014, Paris SG,27,8,3,84,23,89,2.34,0.53,0.05
255,2014, Monaco,23,11,4,63,31,80,2.11,0.37,0.11
256,2014, Lille,20,11,7,46,26,71,1.87,0.55,0.26
257,2014, Saint-Etienne,20,9,9,56,34,69,1.82,0.42,0.21
258,2014, Lyon,17,10,11,56,44,61,1.61,0.34,0.24
259,2014, Marseille,16,12,10,53,40,60,1.58,0.24,0.24
260,2014, Bordeaux,13,14,11,49,43,53,1.39,0.24,0.26
261,2014, Lorient,13,10,15,48,53,49,1.29,0.26,0.29
262,2014, Toulouse,12,13,13,46,53,49,1.29,0.21,0.29
263,2014, Bastia,13,10,15,42,56,49,1.34,0.29,0.34
264,2014, Reims,12,12,14,44,52,48,1.26,0.26,0.32
265,2014, Rennes,11,13,14,47,45,46,1.21,0.32,0.32
266,2014, Nantes,12,10,16,38,43,46,1.21,0.39,0.39
267,2014, Evian TG,11,11,16,39,51,44,1.16,0.21,0.29
