,Tm,Season_Yr,W,D,L,GF,GA,Pts,PPG,CS,FTS
0,Bayern Munich,2017,7,2,0,23,5,23,2.56,0.56,0.0
1,RB Leipzig,2017,6,3,0,17,6,21,2.33,0.44,0.0
2,Hertha Berlin,2017,6,2,2,17,10,20,2.0,0.4,0.2
3,Hoffenheim,2017,5,4,0,17,10,19,2.11,0.33,0.11
4,FC Koln,2017,5,3,1,16,6,18,2.0,0.44,0.11
5,Dortmund,2017,4,3,2,20,10,15,1.67,0.22,0.33
6,Frankfurt,2017,4,3,2,13,8,15,1.67,0.44,0.33
7,Freiburg,2017,5,0,4,13,13,15,1.67,0.22,0.11
8,FSV Mainz 05,2017,4,2,3,16,15,14,1.56,0.22,0.22
9,Leverkusen,2017,4,1,4,13,13,13,1.44,0.22,0.22
10,Monchengladb.,2017,3,3,4,10,15,12,1.2,0.3,0.5
11,Schalke 04,2017,2,2,5,10,11,8,0.89,0.33,0.44
12,FC Augsburg,2017,2,2,5,8,14,8,0.89,0.22,0.22
13,Darmstadt,2017,2,2,5,8,17,8,0.89,0.11,0.44
14,Werder Bremen,2017,2,1,6,11,24,7,0.78,0.0,0.11
15,Wolfsburg,2017,1,3,5,6,13,6,0.67,0.44,0.44
16,Ingolstadt,2017,0,2,7,7,19,2,0.22,0.0,0.44
17,Hamburger SV,2017,0,2,7,2,18,2,0.22,0.11,0.78
18,Real Madrid,2017,7,3,0,28,10,24,2.4,0.2,0.0
19,FC Barcelona,2017,7,1,2,30,12,22,2.2,0.4,0.0
20,FC Sevilla,2017,6,3,1,18,13,21,2.1,0.3,0.1
21,Atletico Madrid,2017,6,3,1,25,6,21,2.1,0.5,0.2
22,Villarreal,2017,5,4,1,17,7,19,1.9,0.4,0.2
23,Athletic Bilbao,2017,5,1,4,15,13,16,1.6,0.1,0.1
24,Real Sociedad,2017,5,1,4,16,12,16,1.6,0.4,0.2
25,Malaga,2017,4,3,4,17,16,15,1.36,0.09,0.27
26,Eibar,2017,4,3,3,16,14,15,1.5,0.2,0.0
27,Celta Vigo,2017,4,2,4,16,20,14,1.4,0.2,0.4
28,Las Palmas,2017,3,4,3,20,18,13,1.3,0.2,0.1
29,Espanyol,2017,2,5,3,13,17,11,1.1,0.3,0.4
30,Real Betis,2017,3,2,5,11,20,11,1.1,0.2,0.4
31,Valencia,2017,3,1,6,14,19,10,1.0,0.0,0.2
32,Alaves,2017,2,4,4,10,15,10,1.0,0.2,0.3
